model,match_type,scale,metric,n,mean,std,median,p25,p75,p90,min,max
REF,oracle_best_same_class_nonexclusive,small,best_iou,26586,0.6288572405741786,0.28157064100144696,0.7304651752918201,0.5658494711068458,0.8192884727261863,0.8770371892866144,0.0,0.9843950109971722
REF,oracle_best_same_class_nonexclusive,small,score,26518,0.4115175214007589,0.2752236246037769,0.44942329823970795,0.12499067187309265,0.662549614906311,0.7539464652538299,0.0010013770079240203,0.931430459022522
REF,oracle_best_same_class_nonexclusive,small,abs_center_dx_over_w,26518,3.9398818814440575,16.402367055400386,0.058757662816044574,0.024294853209956245,0.13831103726926286,4.057652588498392,4.9906012645560785e-06,413.4244274686958
REF,oracle_best_same_class_nonexclusive,small,abs_center_dy_over_h,26518,2.0410339039706304,8.271088999838744,0.049624985022934984,0.020751301797104688,0.1185122132053774,2.2179937735086943,2.191999066016879e-06,155.87767568674604
REF,oracle_best_same_class_nonexclusive,small,center_dx_over_w,26518,0.1462993654332273,16.86828120335587,0.015753831198299484,-0.03853913623948549,0.07451602394168284,0.21326688139124755,-329.576362020999,413.4244274686958
REF,oracle_best_same_class_nonexclusive,small,center_dy_over_h,26518,1.7126289141763367,8.3452761993081,0.010572741121699697,-0.03307912159069023,0.06838940160892946,0.6699001913313211,-74.38229904459014,155.87767568674604
REF,oracle_best_same_class_nonexclusive,small,abs_log_w_ratio,26518,0.23607192490764925,0.35332624370337257,0.1203164914204646,0.05075308361411493,0.25567293717521034,0.5447587170512026,2.117021058615334e-05,3.36362910011505
REF,oracle_best_same_class_nonexclusive,small,abs_log_h_ratio,26518,0.19607815189763209,0.32793114469807694,0.0933672357679819,0.04070429774654613,0.19251140378916098,0.42682988994427773,7.096799375676929e-06,3.350171654759997
REF,oracle_best_same_class_nonexclusive,small,log_w_ratio,26518,0.14860763958560147,0.39810194382335506,0.058158811841993174,-0.041750765552821714,0.20868681454858226,0.5071815009856415,-1.5661159902841344,3.36362910011505
REF,oracle_best_same_class_nonexclusive,small,log_h_ratio,26518,0.12122930401979494,0.3623381475382603,0.03652679426009696,-0.046579830259773976,0.15097003927603897,0.40742826138480326,-1.5849612297502067,3.350171654759997
REF,oracle_best_same_class_nonexclusive,small,abs_left_error_over_w,26518,3.9736748071713213,16.43628124927784,0.07790361535204626,0.031857672495669544,0.1908754178077369,4.1841810779155715,0.0,406.49730784344433
REF,oracle_best_same_class_nonexclusive,small,abs_right_error_over_w,26518,3.965042632121499,16.37693859522786,0.08288550976747756,0.0336122973230122,0.20780410780161926,4.242000595019713,0.0,420.35154709394726
