model,iou,scale,AP,AR,valid_precision_entries,valid_recall_entries
REF,0.5,small,0.42481018927338887,0.634053477728242,1010,10
REF,0.5,medium,0.6273190242016005,0.7977420701544594,1010,10
REF,0.5,large,0.7002824121299764,0.8687515928790603,1010,10
REF,0.55,small,0.40741843820470847,0.6085015702712001,1010,10
REF,0.55,medium,0.6196103998307965,0.7888240734698287,1010,10
REF,0.55,large,0.6992237597929248,0.8687515928790603,1010,10
REF,0.6,small,0.3799139210151614,0.574089061959157,1010,10
REF,0.6,medium,0.6026273143148084,0.7741882262760695,1010,10
REF,0.6,large,0.6942395677583106,0.8579910392662645,1010,10
REF,0.65,small,0.3393780401715257,0.5254351442657951,1010,10
REF,0.65,medium,0.575495584880824,0.7453124962253561,1010,10
REF,0.65,large,0.6855323336783167,0.83287299495081,1010,10
REF,0.7,small,0.28697757401355317,0.4596688897453526,1010,10
REF,0.7,medium,0.5363779422218652,0.7042550787559432,1010,10
REF,0.7,large,0.6814277710308821,0.8156697022271002,1010,10
REF,0.75,small,0.21872128210023883,0.3701384931995183,1010,10
REF,0.75,medium,0.4783151207284588,0.6397044084411839,1010,10
REF,0.75,large,0.6372742980257028,0.7690670985225341,1010,10
REF,0.8,small,0.13938305708271673,0.2580277352659472,1010,10
REF,0.8,medium,0.39496925582123105,0.5426567592226339,1010,10
REF,0.8,large,0.5616542923119447,0.6748320200229061,1010,10
REF,0.85,small,0.07319143198114487,0.14775790484602985,1010,10
REF,0.85,medium,0.2712156664565822,0.40015547213973085,1010,10
REF,0.85,large,0.49448987332133004,0.6138153972825617,1010,10
REF,0.9,small,0.018499821495937416,0.055580378233552344,1010,10
REF,0.9,medium,0.12642046881656133,0.22892109216417222,1010,10
REF,0.9,large,0.39434080020335,0.5056702920889637,1010,10
REF,0.95,small,0.000877107291766824,0.005822102569745496,1010,10
REF,0.95,medium,0.01613453895286361,0.05442674453817955,1010,10
REF,0.95,large,0.1150325124936768,0.20633455479073226,1010,10
A,0.5,small,0.43174690870295584,0.642874745281725,1010,10
A,0.5,medium,0.6325583985511151,0.7937061123948485,1010,10
A,0.5,large,0.6453307500508536,0.8046258324280918,1010,10
A,0.55,small,0.4141275576406015,0.6179154188074432,1010,10
A,0.55,medium,0.6223630467536279,0.7816938176614017,1010,10
A,0.55,large,0.6392878642062179,0.8033480374359858,1010,10
A,0.6,small,0.3851052991190293,0.5829091442737808,1010,10
A,0.6,medium,0.6054241844310608,0.7640228326938298,1010,10
A,0.6,large,0.6210885591497295,0.7722210188803452,1010,10
A,0.65,small,0.34538167779622697,0.5323700009727893,1010,10
A,0.65,medium,0.5796711019311451,0.7390557377212044,1010,10
A,0.65,large,0.5984906786559939,0.7720926491755955,1010,10
A,0.7,small,0.29307811694905844,0.46521397113733665,1010,10
A,0.7,medium,0.5394206667192133,0.6998504516683852,1010,10
A,0.7,large,0.5474593402806613,0.7138227468995193,1010,10
A,0.75,small,0.22077116097836919,0.37228797286379256,1010,10
A,0.75,medium,0.4827436431399492,0.631202589263326,1010,10
A,0.75,large,0.5050731549421188,0.6759447649295652,1010,10
A,0.8,small,0.14343172229775358,0.2636270779983236,1010,10
A,0.8,medium,0.3929717495375397,0.5326889041914693,1010,10
A,0.8,large,0.4874548009720302,0.620096812782404,1010,10
A,0.85,small,0.06784857572976687,0.1498536226265894,1010,10
A,0.85,medium,0.27608595393202356,0.39676417216648685,1010,10
A,0.85,large,0.41945678587829216,0.5588552988772439,1010,10
A,0.9,small,0.013906071385379942,0.050321972605394935,1010,10
A,0.9,medium,0.13614133039539641,0.23305797296673,1010,10
A,0.9,large,0.31277769170380415,0.4238773938952035,1010,10
A,0.95,small,0.0009691103062688614,0.005358922337753953,1010,10
A,0.95,medium,0.016485457888275427,0.049718313367366644,1010,10
A,0.95,large,0.10932588209815894,0.1975826131382319,1010,10
