model,category_id,class,large_pred_fp_count,score_mean,score_median,score_p90,reason_duplicate_same_class,reason_wrong_class_near_gt,reason_same_class_localization_below_threshold,reason_no_same_class_overlap
REF,1,pedestrian,66,0.0859269548655544,0.008615953847765923,0.224637933075428,14,11,9,32
REF,2,people,46,0.04228223170629581,0.005271473666653037,0.19870413094758987,1,15,4,26
REF,3,bicycle,67,0.040947433124963586,0.004506400786340237,0.14532886892557137,5,15,7,40
REF,4,car,782,0.07273250519949466,0.004795188782736659,0.12626266032457314,32,67,192,491
REF,5,van,82,0.2687116793964467,0.06626507639884949,0.8494819879531861,2,41,8,31
REF,6,truck,310,0.06742929388889142,0.006597734987735748,0.21412023305892958,43,33,60,174
REF,7,tricycle,40,0.05660792092967313,0.01042248448356986,0.10038610547780992,1,7,2,30
REF,8,awning-tricycle,26,0.08080265368334949,0.012085279449820518,0.2727074921131134,0,9,0,17
REF,9,bus,58,0.04785086302656744,0.004847449483349919,0.12667944878339782,2,7,0,49
REF,10,motor,55,0.07636868393217976,0.0098631102591753,0.28066692352294925,6,11,14,24
A,1,pedestrian,56,0.08339590499235783,0.011183058377355337,0.36026373505592346,13,8,13,22
A,2,people,55,0.05670090239622037,0.00797191821038723,0.1783911645412446,3,14,4,34
A,3,bicycle,58,0.04325465072179213,0.008253602543845773,0.1416985705494882,3,11,3,41
A,4,car,535,0.09729285280799023,0.0054754409939050674,0.44078347086906466,34,60,110,331
A,5,van,89,0.2548234099600715,0.033803798258304596,0.8339325428009033,3,39,5,42
A,6,truck,288,0.0606211816011637,0.005750264506787062,0.13812436908483533,28,22,55,183
A,7,tricycle,66,0.060381411513045546,0.012593519873917103,0.18058759719133377,5,8,7,46
A,8,awning-tricycle,35,0.13330829846672715,0.019749918952584267,0.49256392717361464,0,11,0,24
A,9,bus,64,0.025588173572032247,0.0035972062032669783,0.03088575284928085,1,4,1,58
A,10,motor,34,0.09049743403310832,0.024409111589193344,0.20922837406396866,7,4,14,9
