model,iou,category_id,class,AP_large
REF,0.5,1,pedestrian,0.9032972151457468
REF,0.5,2,people,0.489025825659489
REF,0.5,3,bicycle,0.6633663366336634
REF,0.5,4,car,0.9506086357575549
REF,0.5,5,van,0.49968212972036685
REF,0.5,6,truck,0.7968311199542432
REF,0.5,7,tricycle,0.7760918949037762
REF,0.5,8,awning-tricycle,0.3444130127298443
REF,0.5,9,bus,0.9511551155115511
REF,0.5,10,motor,0.6283528352835284
REF,0.55,1,pedestrian,0.892812588951203
REF,0.55,2,people,0.489025825659489
REF,0.55,3,bicycle,0.6633663366336634
REF,0.55,4,car,0.9505732148951137
REF,0.55,5,van,0.49968212972036685
REF,0.55,6,truck,0.7967646436407126
REF,0.55,7,tricycle,0.7760918949037762
REF,0.55,8,awning-tricycle,0.3444130127298443
REF,0.55,9,bus,0.9511551155115511
REF,0.55,10,motor,0.6283528352835284
REF,0.6,1,pedestrian,0.880163752639
REF,0.6,2,people,0.489025825659489
REF,0.6,3,bicycle,0.6633663366336634
REF,0.6,4,car,0.9505732148951137
REF,0.6,5,van,0.49968212972036685
REF,0.6,6,truck,0.7859741998708005
REF,0.6,7,tricycle,0.7496892546397498
REF,0.6,8,awning-tricycle,0.3444130127298443
REF,0.6,9,bus,0.9511551155115511
REF,0.6,10,motor,0.6283528352835284
REF,0.65,1,pedestrian,0.8445178803594646
REF,0.65,2,people,0.4509450945094508
REF,0.65,3,bicycle,0.6633663366336634
REF,0.65,4,car,0.9413164057646758
REF,0.65,5,van,0.49968212972036685
REF,0.65,6,truck,0.7823300987222762
REF,0.65,7,tricycle,0.7496892546397498
REF,0.65,8,awning-tricycle,0.3444130127298443
REF,0.65,9,bus,0.9507102884201465
REF,0.65,10,motor,0.6283528352835284
REF,0.7,1,pedestrian,0.8445178803594646
REF,0.7,2,people,0.4509450945094508
REF,0.7,3,bicycle,0.6633663366336634
REF,0.7,4,car,0.9317893048714708
REF,0.7,5,van,0.4970148123375647
REF,0.7,6,truck,0.7742709697318593
REF,0.7,7,tricycle,0.7496892546397498
REF,0.7,8,awning-tricycle,0.3444130127298443
REF,0.7,9,bus,0.9507102884201465
REF,0.7,10,motor,0.6075607560756076
REF,0.75,1,pedestrian,0.8203154601174403
REF,0.75,2,people,0.4509450945094508
REF,0.75,3,bicycle,0.33663366336633654
REF,0.75,4,car,0.9204212301557492
REF,0.75,5,van,0.48978226079144155
REF,0.75,6,truck,0.7022719594512622
REF,0.75,7,tricycle,0.7496892546397498
REF,0.75,8,awning-tricycle,0.3444130127298443
REF,0.75,9,bus,0.9507102884201465
REF,0.75,10,motor,0.6075607560756076
REF,0.8,1,pedestrian,0.7773451630877373
REF,0.8,2,people,0.3663366336633662
REF,0.8,3,bicycle,0.0
REF,0.8,4,car,0.9079661955962307
REF,0.8,5,van,0.48186780186019695
REF,0.8,6,truck,0.6720350980318083
REF,0.8,7,tricycle,0.5713142742845712
REF,0.8,8,awning-tricycle,0.3444130127298443
REF,0.8,9,bus,0.9507102884201465
REF,0.8,10,motor,0.5445544554455446
REF,0.85,1,pedestrian,0.6848032055952846
REF,0.85,2,people,0.3663366336633662
REF,0.85,3,bicycle,0.0
REF,0.85,4,car,0.8598980903244765
REF,0.85,5,van,0.4464937740417931
REF,0.85,6,truck,0.6080530267595251
REF,0.85,7,tricycle,0.3500825082508251
REF,0.85,8,awning-tricycle,0.3444130127298443
REF,0.85,9,bus,0.8937293729372938
REF,0.85,10,motor,0.3910891089108911
REF,0.9,1,pedestrian,0.484015077331909
REF,0.9,2,people,0.30693069306930687
REF,0.9,3,bicycle,0.0
REF,0.9,4,car,0.7422362090464075
REF,0.9,5,van,0.42911145669731704
REF,0.9,6,truck,0.40412129513291234
REF,0.9,7,tricycle,0.21287128712871287
REF,0.9,8,awning-tricycle,0.3444130127298443
REF,0.9,9,bus,0.7325802580258026
REF,0.9,10,motor,0.2871287128712871
REF,0.95,1,pedestrian,0.08161244695898162
REF,0.95,2,people,0.0
REF,0.95,3,bicycle,0.0
REF,0.95,4,car,0.35074205685680776
REF,0.95,5,van,0.1687325576171046
REF,0.95,6,truck,0.10606587610257805
REF,0.95,7,tricycle,0.0
REF,0.95,8,awning-tricycle,0.01485148514851485
REF,0.95,9,bus,0.14119198938149394
REF,0.95,10,motor,0.2871287128712871
A,0.5,1,pedestrian,0.969938298177644
A,0.5,2,people,0.2524752475247525
