mode,iou,scale,full1000_matched,paired_top500_matched,lost_when_truncated_to_500,matched_at_rank_501_1000,full1000_score_mean,full1000_rank_mean
REF,iou_0.50,small,21801,21038,763,763,0.4298180638099327,105.24714462639328
REF,iou_0.50,medium,10221,10087,134,134,0.6776815889190895,45.29860091967518
REF,iou_0.50,large,991,988,3,3,0.8243332632796653,14.170534813319879
REF,iou_0.75,small,12280,11887,393,393,0.49351073300072706,91.56555374592834
REF,iou_0.75,medium,8919,8796,123,123,0.7089581137848402,41.466980603206636
REF,iou_0.75,large,951,948,3,3,0.8372624120096012,11.798107255520504
A,iou_0.50,small,21802,21103,699,699,0.4371649001722199,102.97124117053481
A,iou_0.50,medium,10214,10095,119,119,0.689849542988502,44.48453103583317
A,iou_0.50,large,989,988,1,1,0.8355907126889198,11.99494438827098
A,iou_0.75,small,12345,11970,375,375,0.501486714728527,90.05686512758201
A,iou_0.75,medium,8874,8782,92,92,0.7235421911780364,38.41244083840433
A,iou_0.75,large,946,945,1,1,0.8450731672134928,11.33615221987315
B,iou_0.50,small,21846,21150,696,696,0.41402593105938057,103.95967225121304
B,iou_0.50,medium,10227,10111,116,116,0.6837605238690588,43.490857533978684
B,iou_0.50,large,989,988,1,1,0.8355907126889198,11.24974721941355
B,iou_0.75,small,12424,12057,367,367,0.4798238149699472,89.71273341918867
B,iou_0.75,medium,8872,8775,97,97,0.7189743062438901,37.81221821460775
B,iou_0.75,large,946,945,1,1,0.8450731672134928,10.593023255813954
C,iou_0.50,small,21769,21048,721,721,0.39041506893511696,106.79388120722128
C,iou_0.50,medium,10226,10111,115,115,0.6790005253705332,43.21181302562097
C,iou_0.50,large,989,989,0,0,0.8355907126889198,10.945399393326593
C,iou_0.75,small,12277,11902,375,375,0.45855003289668317,91.57334853791643
C,iou_0.75,medium,8836,8744,92,92,0.7164546816496414,37.70156179266637
C,iou_0.75,large,946,945,1,1,0.8450731672134928,10.3276955602537
D,iou_0.50,small,21705,20941,764,764,0.4541186534469993,104.20893803271136
D,iou_0.50,medium,10199,10064,135,135,0.6838282112202524,46.14746543778802
D,iou_0.50,large,991,987,4,4,0.8243332632796653,15.599394550958628
D,iou_0.75,small,12167,11772,395,395,0.5153131337919704,90.70239171529548
D,iou_0.75,medium,8884,8759,125,125,0.7150319499480446,41.2448221521837
D,iou_0.75,large,951,948,3,3,0.8372624120096012,12.773922187171399
