mode,region,instance_count,macro_R_over_P2_l2_mean,macro_R_over_P2_l2_std,macro_cos_R_P2_mean,macro_cos_R_P2_std,macro_gate_mean_mean,macro_gate_mean_std,macro_logit_mean_mean,macro_logit_mean_std,macro_mean_abs_R_mean,macro_mean_abs_R_std,macro_rms_R_mean,macro_rms_R_std,weighted_spatial_pixels,weighted_gate_mean,weighted_logit_mean,weighted_elements,weighted_mean_abs_R,weighted_rms_R,weighted_R_over_P2_l2,weighted_cos_R_P2
REF,small,26586,0.31597554345935686,0.10193567651476683,0.08595614973049248,0.03254033323273439,0.7601504058109883,0.06867441361384205,1.290760542694915,0.44625173175122296,0.15330820701490055,0.04431292358872191,0.22048347416995825,0.06631345033543619,623022,0.7500422285015484,1.2415860565879646,79746816,0.15842151755616246,0.24229324453603623,0.3586590939922125,0.08440552130826771
REF,medium,11105,0.47612526945253686,0.14389634067319265,0.08101743374027186,0.03359214907884593,0.7024598219597571,0.065651635740254,0.9945669999092026,0.4216535584713052,0.15480222609120545,0.05291677466095249,0.24058739109182806,0.08362216032827258,1362044,0.6758429126060883,0.8367627187663781,174341632,0.1341603406532398,0.22427970778418108,0.4682497120991013,0.0756717694467471
REF,large,1068,0.220982272449986,0.07021618374272329,0.05047696427016935,0.02800983120953713,0.5985343028766832,0.02084494477429385,0.41470314972521216,0.10454532147717843,0.06406634880320522,0.017950803424208947,0.09775665687126821,0.02922701995059848,713305,0.5963569029231144,0.40356318810532377,91303040,0.058094615989649705,0.09276444038162167,0.19648400253754358,0.04600030417712469
REF,outside_labeled_gt,548,0.2653125971210696,0.014813372319692588,0.06409827495112233,0.008767839170968565,0.6224576831951628,0.0043578599704545695,0.5474235173994607,0.02032299010575643,0.07579790774977556,0.002901735856983171,0.14057674389689082,0.00391367996597963,33571245,0.6224707713345207,0.547429284916019,4297119360,0.07576820762672179,0.14056828122247197,0.264103003775258,0.06355482362331291
A,small,26586,0.38465570232589225,0.10501540689314366,0.10454106809144208,0.03544316363541869,0.9991246830737323,0.00481478514430767,13.633445566259047,2.6345467940851064,0.19864606223442768,0.04009846204741093,0.27313853795593457,0.058175989538659705,623022,0.9982901785694153,12.943612509220884,79746816,0.20441661387804178,0.2907693326545122,0.4193147829240641,0.0920965578491558
A,medium,11105,0.5581321653862975,0.12737952078933565,0.09479860764710245,0.026279289324506547,0.9729012192932671,0.042617657784084,8.757683723056601,3.1625241948880203,0.1904537726534159,0.051432422938832933,0.27811478531542255,0.07464496344771794,1362044,0.9511580143967986,7.194187822289263,174341632,0.167191463388348,0.2572005236919499,0.5427087884563969,0.0922213762295179
A,large,1068,0.2742250540051214,0.08680349616827648,0.06184401123720421,0.024599346547173773,0.7685918918486392,0.0917756071461043,2.1960262970315214,1.284629018307398,0.0770818449989352,0.024587045125794703,0.11972412885887025,0.03505749636213407,713305,0.7282198773735078,1.8103086889235929,91303040,0.06799261152822196,0.11294774559580394,0.2397622361101768,0.0524052587442457
A,outside_labeled_gt,548,0.32109457528685736,0.0166075088386437,0.06346879458122487,0.005691397299170459,0.7859446782700337,0.025022270659773218,2.9542793909998704,0.2963861238085141,0.10277548025831254,0.005027112526647064,0.17471271573382355,0.005545759826896034,33571245,0.7860145720143749,2.952660014398954,4297119360,0.10271972114064822,0.17471268951903268,0.3200056808217069,0.06313110082496562
B,small,26586,0.3108484900183265,0.09213829822837732,0.10459584927576893,0.036063931672002385,0.7801790672881891,0.06228649802522098,1.4020368401878962,0.4177382496183236,0.15890820339806352,0.04038875235580224,0.22255659699922514,0.059119138841433244,623022,0.7670092464597764,1.3270123301541803,79746816,0.16207123693114037,0.23930147717620873,0.3450936384504327,0.09115500468098586
B,medium,11105,0.43362301606438686,0.12781416899670758,0.09334069081136999,0.026969873332108336,0.6963019052157258,0.06518606331306415,0.9314878792925925,0.3790021816389942,0.1433367315572441,0.048873792430665225,0.21804292298457786,0.0758118020762126,1362044,0.6662499369052904,0.7658566987178819,174341632,0.12207235812625551,0.20036248819447894,0.4227770677106837,0.08936796427139417
B,large,1068,0.19531848090075102,0.0577501551532195,0.05960932061896534,0.026310474043158213,0.5905838452474901,0.016475524144445156,0.37817920906266916,0.08162849679982702,0.05635450945029991,0.01453521827836807,0.08559922666147536,0.024062268695329143,713305,0.5916497518187656,0.3816872380496997,91303040,0.05180021147195581,0.08225392268027798,0.17460626882480862,0.04953809517187892
