mode,max_det,Precision,Recall,mAP50,mAP75,mAP50_95,AP_all,AR_all,AP_small,AR_small,AP_medium,AR_medium,AP_large,AR_large,hit_limit_images,hit_limit_fraction
REF,500,0.6133680947840817,0.5168854107093871,0.54583722074581,0.3556219092783082,0.3411289446225219,0.31499942108659135,0.4501281156150888,0.22891708626301424,0.363907475808454,0.4248485316225591,0.5676186421387558,0.5663497620746415,0.7013756284909993,418,0.7627737226277372
REF,1000,,,,,,0.31644900311836943,0.46566552690554813,0.23030595189306557,0.38026397445989524,0.42669289610311867,0.5824590759125723,0.5666702355868006,0.7035737463768575,224,0.40875912408759124
A,500,0.6288706922839491,0.5168109100343823,0.5501999497347869,0.35829575942813696,0.34356410580119623,0.31656709679317774,0.4492832371990657,0.23163662009054103,0.368273284890493,0.4283865533279346,0.5621760904095048,0.4885745507937861,0.6342467168442186,412,0.7518248175182481
A,1000,,,,,,0.31770896775757634,0.4630754925098451,0.23272154353720192,0.38369787860368115,0.42998951857532985,0.5740616203035617,0.4886727406138803,0.6351662570741037,213,0.3886861313868613
B,500,0.6227840517822215,0.5201199989292185,0.5488444923714746,0.3589329601221355,0.34344705326301683,0.31630272195168,0.4509341655250207,0.23184804492714836,0.3701793374532172,0.42796523101167,0.5633345794893975,0.48853670450547715,0.6342467168442186,366,0.6678832116788321
B,1000,,,,,,0.31755664539927664,0.4640236010969555,0.23304540629258663,0.38451906424975585,0.4293950286021452,0.5746787915389172,0.48867291227725407,0.6352940365733144,147,0.26824817518248173
C,500,0.61156997584069,0.501964476846571,0.5355176628129117,0.3540697437423036,0.33647486601090415,0.3103919064079851,0.44809990808125455,0.2235659718420333,0.3635937999181732,0.4241866777174606,0.5661511586945305,0.48865549459899665,0.6345915444304255,364,0.6642335766423357
C,1000,,,,,,0.31166440725415184,0.46134811624083516,0.22493545617806798,0.3783598311548546,0.4259248277263139,0.5772634419563937,0.4886603633735226,0.6352940365733144,134,0.24452554744525548
D,500,0.6226711365171129,0.5093454049189986,0.5421798177290688,0.35176595180427145,0.33784262804442894,0.31254650941590817,0.44717316508407357,0.22630106843908482,0.36127911504257426,0.42283868783125156,0.5639385294786603,0.5664998852372854,0.7011457434335281,438,0.7992700729927007
D,1000,,,,,,0.31406166409567454,0.463650164729893,0.22763270317054496,0.37868353121641607,0.42500593293951494,0.5798142501268335,0.5666936791886071,0.7035737463768575,285,0.5200729927007299
