model,mode,max_det,prediction_count,AP_all,AR_all,AP_small,AR_small,AP_medium,AR_medium,AP_large,AR_large
E1,paired500,500,244200,0.3112897138616605,0.448873753893199,0.2263379898701116,0.3656655402438562,0.41899938246218577,0.5654620032054231,0.5069767637643231,0.6212172576374567
E1,full1000,1000,406672,0.3127105006376514,0.4648623831231188,0.22745187762685976,0.3809992069962196,0.42106572751414834,0.5824697154489872,0.5098437931696073,0.6406965064597722
E5a,paired500,500,245252,0.31442908005116227,0.45169817107118876,0.22806988025044655,0.36602715962162025,0.42527851798177396,0.57133036373147,0.5374622899583545,0.6799229594067353
E5a,full1000,1000,407035,0.31589502630300076,0.4671277590568288,0.22921659153043158,0.381102525516232,0.42725318458957434,0.5869079866788638,0.5391740609697974,0.6846101373197042
E10a,paired500,500,243002,0.31499942108659135,0.4501281156150888,0.22891708626301424,0.363907475808454,0.4248485316225591,0.5676186421387558,0.5663497620746415,0.7013756284909993
E10a,full1000,1000,405904,0.31644900311836943,0.46566552690554813,0.23030595189306557,0.38026397445989524,0.42669289610311867,0.5824590759125723,0.5666702355868006,0.7035737463768575
E16a,paired500,500,242312,0.3137579007022081,0.448191896137889,0.22575069388305966,0.3625863346076178,0.4255794546689282,0.5650445729482351,0.5770781709544781,0.7044332945105934
E16a,full1000,1000,402075,0.3152736066272615,0.4641200996236217,0.22703975899260265,0.3786715102278355,0.4276703597656519,0.5814510341426877,0.5770090986851162,0.706684385909695
E21a,paired500,500,242315,0.31656709679317774,0.4492832371990657,0.23163662009054103,0.368273284890493,0.4283865533279346,0.5621760904095048,0.4885745507937861,0.6342467168442186
E21a,full1000,1000,397970,0.31770896775757634,0.4630754925098451,0.23272154353720192,0.38369787860368115,0.42998951857532985,0.5740616203035617,0.4886727406138803,0.6351662570741037
