model,mode,class,AP_all,AP_small,AP_medium,AP_large
E1,paired500,pedestrian,0.318576065311967,0.28660049625376355,0.5093904173530085,0.7387026560840605
E1,full1000,pedestrian,0.3206427692966131,0.2884980209038681,0.5130673497969057,0.7387026560840605
E1,paired500,people,0.22010139266716514,0.21196322510623092,0.3202131583731595,0.32442244224422445
E1,full1000,people,0.2217795465834359,0.2136555065510003,0.32350430284495435,0.32442244224422445
E1,paired500,bicycle,0.1547936932268687,0.1168725938456449,0.32053790997319953,0.3227722772277228
E1,full1000,bicycle,0.1562441847259358,0.11811890065388644,0.32238640469037916,0.3227722772277228
E1,paired500,car,0.6298381756405402,0.47888549289067023,0.7426544355573462,0.8524888044775487
E1,full1000,car,0.6312576649505526,0.4802990956834673,0.7435073538744218,0.8548086464638259
E1,paired500,van,0.34645774265052837,0.20020685993256881,0.4829566852826139,0.45865470168912653
E1,full1000,van,0.3475563567277739,0.20108873282720258,0.4836757692588207,0.4612698788150834
E1,paired500,truck,0.3114819140672018,0.1422285766451733,0.34874087593082276,0.6684773730982634
E1,full1000,truck,0.31218021267806056,0.14235773142504501,0.349979444814822,0.6688655252504738
E1,paired500,tricycle,0.2197477069107079,0.1755963231492407,0.2902840986390858,0.4170174833723927
E1,full1000,tricycle,0.22163157288581456,0.17727644140545026,0.29229295114561277,0.4149049173347646
E1,paired500,awning-tricycle,0.11607821313495265,0.0928553097790357,0.15025482292702702,0.18712871287128707
E1,full1000,awning-tricycle,0.1180668769550254,0.09397432273524238,0.15295633702721484,0.21258840169731255
E1,paired500,bus,0.487058781396313,0.27944267703192466,0.5882731607471325,0.8222183980997569
E1,full1000,bus,0.48821323205775835,0.27993427124979564,0.5914233173692592,0.8222183980997569
E1,paired500,motor,0.3087634536103601,0.2787283440668632,0.43668825983846243,0.2778847884788479
E1,full1000,motor,0.30953258951554313,0.27931575283363985,0.43786404431909304,0.2778847884788479
E5a,paired500,pedestrian,0.32384103127993286,0.29001331502922045,0.523025184029288,0.7364514705721973
E5a,full1000,pedestrian,0.32581269467466395,0.29185019435084497,0.5263786402206105,0.7364514705721973
E5a,paired500,people,0.21943130450452025,0.20964991511655082,0.31823622259570267,0.3410366525374342
E5a,full1000,people,0.22151523670883458,0.21146224285760368,0.3226318397699194,0.3406939205717305
E5a,paired500,bicycle,0.1541679909465022,0.11400104799838978,0.3255790853290427,0.28217821782178215
E5a,full1000,bicycle,0.15525779071573528,0.11514689716132286,0.3263038539610349,0.28217821782178215
E5a,paired500,car,0.629641537357749,0.4785991324167579,0.7430739658772656,0.849144248577783
E5a,full1000,car,0.630709581712226,0.4795846151966918,0.7439200690746655,0.8506069377140745
E5a,paired500,van,0.35786655785434723,0.2027041461227114,0.5079027142806878,0.4671694045367323
E5a,full1000,van,0.35896065930071047,0.20360596034359807,0.5093929137020521,0.468090066739086
E5a,paired500,truck,0.3143978907685806,0.15287436113675468,0.358056538453084,0.6257883212517842
E5a,full1000,truck,0.31543443348518624,0.15346474180506686,0.35963011196106337,0.6253699973306244
E5a,paired500,tricycle,0.22354637769003022,0.17771065788387053,0.2882673429946594,0.5180423454433355
E5a,full1000,tricycle,0.22426959055393517,0.1784336594398435,0.2891424938878784,0.5205317372396581
E5a,paired500,awning-tricycle,0.12102712478207919,0.10091226923813827,0.14755882696747055,0.2579407391288579
E5a,full1000,awning-tricycle,0.12294270968345188,0.10157498543020602,0.15136981330756752,0.2576143328618576
E5a,paired500,bus,0.490518144682038,0.27542214227047856,0.6025208624428738,0.846746832074461
E5a,full1000,bus,0.4934216235595059,0.27741579599691557,0.6041624110673655,0.8600792612077852
E5a,paired500,motor,0.3098528406458431,0.27881181529159327,0.4385644368476642,0.45012466763917774
E5a,full1000,motor,0.3106259426357583,0.27962682272222206,0.43959969894358647,0.45012466763917774
E10a,paired500,pedestrian,0.3234470663925959,0.29075168037135934,0.5176934005597511,0.7213400670546232
E10a,full1000,pedestrian,0.3255202602208916,0.29289747879559547,0.5212208007769459,0.7213400670546232
E10a,paired500,people,0.2225520535917713,0.21203472864208395,0.3228939673010009,0.38595167209028586
E10a,full1000,people,0.2246199174727116,0.21391723555267164,0.32681882410951146,0.38595167209028586
E10a,paired500,bicycle,0.1559561449082516,0.11643719360753996,0.3226248806569857,0.36534653465346534
E10a,full1000,bicycle,0.15706104208195998,0.11752535044302383,0.32346540292992515,0.36534653465346534
E10a,paired500,car,0.6276221528349248,0.47673615863891494,0.7417714198986955,0.85061245581636
E10a,full1000,car,0.6289531112902392,0.4781130247472651,0.7426735315820123,0.85061245581636
E10a,paired500,van,0.3442322724392611,0.19551589330525268,0.48622037227083337,0.4511731182226886
E10a,full1000,van,0.34570004290018924,0.1969482747136373,0.48825223487569713,0.4546970011361931
E10a,paired500,truck,0.3132354938353304,0.14742907738883038,0.35492327629273474,0.6428718287397978
E10a,full1000,truck,0.31485120876003747,0.14862043294044625,0.35594355714691905,0.6475630905605989
E10a,paired500,tricycle,0.2283537305407377,0.17890403012205178,0.300374407320496,0.5685208878030661
E10a,full1000,tricycle,0.22999939739098504,0.18002111130238604,0.30284824345038985,0.5680808437986656
E10a,paired500,awning-tricycle,0.12137337626123987,0.09614137670257374,0.1562536234158622,0.31145685997171146
E10a,full1000,awning-tricycle,0.12309747070885295,0.09722268841229208,0.15896200188809995,0.307963224893918
