model,class,iou,n,matched500,match500_rate,sameclass_oracle1000_rate,anyclass_oracle1000_rate,unmatched,rank_budget,class_confusion,competition,coverage_localization,best_valid_sameclass_rank_mean,best_valid_sameclass_rank_p50,best_valid_sameclass_rank_p90,best_valid_sameclass_score_mean,matched500_score_mean,rank_budget_501_1000_share_of_unmatched,class_confusion_share_of_unmatched,competition_within_top500_share_of_unmatched,coverage_localization_share_of_unmatched
E1,awning-tricycle,0.5,305,126,0.4131147540983607,0.4491803278688525,0.9344262295081968,179,11,148,0,20,159.67153284671534,83.0,363.00000000000006,0.2607040678755972,0.2812240820189583,0.061452513966480445,0.8268156424581006,0.0,0.11173184357541899
E1,bicycle,0.5,1053,632,0.6001899335232669,0.6761633428300095,0.8736942070275404,421,78,208,2,133,209.05196629213484,121.0,527.6999999999999,0.25467257755494604,0.28109602821781593,0.18527315914489312,0.49406175771971494,0.004750593824228029,0.3159144893111639
E1,bus,0.5,116,69,0.5948275862068966,0.6206896551724138,0.896551724137931,47,3,32,0,12,138.80555555555554,51.0,396.9,0.41372255776594913,0.4311859348545904,0.06382978723404255,0.6808510638297872,0.0,0.2553191489361702
E1,car,0.5,6910,6420,0.9290882778581766,0.9450072358900145,0.9568740955137482,490,103,82,7,298,70.40949464012252,37.0,151.0,0.5419961080378154,0.5494495864495174,0.21020408163265306,0.1673469387755102,0.014285714285714285,0.6081632653061224
E1,motor,0.5,3978,3398,0.8541980894922071,0.8720462543991956,0.9497234791352438,580,65,309,6,200,92.31882386855001,57.0,190.0,0.39341687530877983,0.39888370121313804,0.11206896551724138,0.5327586206896552,0.010344827586206896,0.3448275862068966
E1,pedestrian,0.5,7746,6159,0.7951200619674671,0.835140717789827,0.9066615027110767,1587,250,554,60,723,118.01561292317206,64.0,280.0,0.4008183573709329,0.4128041690354433,0.1575299306868305,0.34908632640201637,0.03780718336483932,0.4555765595463138
E1,people,0.5,4631,3329,0.7188512200388685,0.7568559706326927,0.8695746059166487,1302,147,522,29,604,116.76062767475035,61.0,281.0,0.36661667259912883,0.37405539786604813,0.11290322580645161,0.4009216589861751,0.02227342549923195,0.46390168970814133
E1,tricycle,0.5,621,353,0.5684380032206119,0.605475040257649,0.9259259259259259,268,23,199,0,46,141.4494680851064,73.0,372.5,0.3229587141243602,0.34276132886733324,0.08582089552238806,0.7425373134328358,0.0,0.17164179104477612
E1,truck,0.5,289,140,0.4844290657439446,0.5051903114186851,0.9273356401384083,149,5,122,1,21,102.23287671232876,51.5,249.5,0.3168947583595482,0.3254766224451097,0.03355704697986577,0.8187919463087249,0.006711409395973154,0.14093959731543623
E1,van,0.5,937,419,0.4471718249733191,0.4578441835645678,0.9743863393810032,518,9,484,1,24,79.35198135198135,49.0,146.79999999999995,0.47937785091403967,0.48706924331903473,0.017374517374517374,0.9343629343629344,0.0019305019305019305,0.04633204633204633
E1,awning-tricycle,0.75,305,79,0.25901639344262295,0.26885245901639343,0.5475409836065573,226,3,85,0,138,113.1829268292683,61.0,294.0000000000003,0.3306945337624312,0.34314981551805535,0.01327433628318584,0.37610619469026546,0.0,0.6106194690265486
E1,bicycle,0.75,1053,252,0.23931623931623933,0.2716049382716049,0.3950617283950617,801,32,130,2,637,193.41608391608392,99.0,513.5,0.30888789640112707,0.34454750753514146,0.039950062421972535,0.16229712858926343,0.0024968789013732834,0.7952559300873908
E1,bus,0.75,116,46,0.39655172413793105,0.4051724137931034,0.5172413793103449,70,1,13,0,56,70.57446808510639,32.0,197.59999999999997,0.5241412255278928,0.5345051187778944,0.014285714285714285,0.18571428571428572,0.0,0.8
E1,car,0.75,6910,4531,0.6557163531114327,0.665123010130246,0.6806078147612157,2379,64,107,1,2207,58.31201044386423,30.0,113.5,0.6055102380951536,0.6139258443044878,0.026902059688944935,0.044976881042454814,0.0004203446826397646,0.9277007145859605
E1,motor,0.75,3978,1710,0.4298642533936652,0.4431875314228255,0.4997486173956762,2268,53,225,0,1990,97.4690867838911,52.0,208.0,0.41971785032562275,0.43243545203153805,0.023368606701940034,0.0992063492063492,0.0,0.8774250440917107
E1,pedestrian,0.75,7746,3131,0.4042086238058353,0.4206041828040279,0.46656338755486704,4615,121,356,6,4132,107.47268262737876,53.0,271.60000000000036,0.45340482608475646,0.4702269907592204,0.026218851570964246,0.0771397616468039,0.0013001083423618636,0.89534127843987
E1,people,0.75,4631,1505,0.32498380479378103,0.34398618009069315,0.3932196069963291,3126,84,228,4,2810,121.9278091650973,58.0,307.9999999999998,0.3799175721326023,0.3999406945362588,0.026871401151631478,0.07293666026871401,0.0012795905310300703,0.8989123480486244
E1,tricycle,0.75,621,205,0.33011272141706927,0.34782608695652173,0.5523349436392915,416,11,127,0,278,121.75462962962963,69.0,326.0,0.36721909089289884,0.3863034156673565,0.026442307692307692,0.30528846153846156,0.0,0.6682692307692307
