model,density_bin,iou,n,matched500,match500_rate,sameclass_oracle1000_rate,anyclass_oracle1000_rate,unmatched,rank_budget,class_confusion,competition,coverage_localization,best_valid_sameclass_rank_mean,best_valid_sameclass_rank_p50,best_valid_sameclass_rank_p90,best_valid_sameclass_score_mean,matched500_score_mean,rank_budget_501_1000_share_of_unmatched,class_confusion_share_of_unmatched,competition_within_top500_share_of_unmatched,coverage_localization_share_of_unmatched
E1,dense,0.5,6714,4643,0.6915400655347036,0.7336907953529938,0.8544831694965743,2071,193,811,90,977,122.1973203410475,69.0,275.5,0.3456108358901017,0.34705577577017377,0.09319169483341382,0.39159826170931916,0.04345726702076291,0.4717527764365041
E1,middle,0.5,14232,11587,0.8141512085441259,0.8424676784710512,0.9362001124227094,2645,387,1334,16,908,104.60175145954962,55.0,246.0,0.4285146226253678,0.44120059888815144,0.14631379962192817,0.5043478260869565,0.0060491493383742915,0.343289224952741
E1,sparse,0.5,5640,4815,0.8537234042553191,0.8739361702127659,0.9652482269503546,825,114,515,0,196,76.98620409819436,36.0,167.0,0.5197194928592829,0.5317705908518716,0.13818181818181818,0.6242424242424243,0.0,0.23757575757575758
E1,dense,0.75,6714,1865,0.2777777777777778,0.2896931784331248,0.3443550789395293,4849,67,367,13,4402,111.88997429305913,63.0,247.0,0.37889793206612005,0.3913927680128641,0.013817281913796659,0.0756857083934832,0.002680965147453083,0.9078160445452671
E1,middle,0.75,14232,6584,0.462619449128724,0.47821810005621135,0.5382237211916807,7648,222,854,0,6572,95.729356450191,46.0,228.5,0.48056504581969733,0.49621724331621186,0.029027196652719665,0.111663179916318,0.0,0.8593096234309623
E1,sparse,0.75,5640,3407,0.6040780141843972,0.6193262411347518,0.701063829787234,2233,86,461,0,1686,68.4179788147724,29.0,142.0,0.5753817094848277,0.5895993071419972,0.03851321092700403,0.206448723690103,0.0,0.755038065382893
E5a,dense,0.5,6714,4677,0.696604110813226,0.7319034852546917,0.8519511468573131,2037,150,806,87,994,117.85022385022386,70.0,267.0,0.34076311010581173,0.3386816494513334,0.07363770250368189,0.3956799214531173,0.042709867452135494,0.4879725085910653
E5a,middle,0.5,14232,11536,0.8105677346824058,0.8397273749297358,0.9344435075885329,2696,400,1348,15,933,105.62496862187264,55.0,250.0,0.42659850031530305,0.43967783882963407,0.14836795252225518,0.5,0.00556379821958457,0.3460682492581602
E5a,sparse,0.5,5640,4798,0.8507092198581561,0.87322695035461,0.9640070921985816,842,127,512,0,203,79.54091370558376,37.0,179.0,0.515204532381341,0.5285680812364804,0.1508313539192399,0.6080760095011877,0.0,0.24109263657957244
E5a,dense,0.75,6714,1890,0.28150134048257375,0.2923741435805779,0.3535895144474233,4824,59,411,14,4340,114.53795211411105,66.0,264.5999999999999,0.370264383611377,0.3802738815959957,0.012230514096185738,0.08519900497512438,0.002902155887230514,0.8996683250414593
