model,iou,kind,count,share
E1,0.5,duplicate_or_competition_near_small,15618,0.06395577395577395
E1,0.5,localization_near_small,25068,0.10265356265356265
E1,0.5,non_small_tp,11108,0.045487305487305486
E1,0.5,other_class_near_small,21780,0.0891891891891892
E1,0.5,small_tp,21045,0.08617936117936117
E1,0.5,unmatched_not_near_small,134366,0.5502293202293203
E1,0.5,wrong_class_near_small,15215,0.06230548730548731
E1,0.75,duplicate_or_competition_near_small,511,0.0020925470925470925
E1,0.75,localization_near_small,50926,0.20854217854217855
E1,0.75,non_small_tp,9708,0.039754299754299754
E1,0.75,other_class_near_small,32209,0.1318959868959869
E1,0.75,small_tp,11856,0.04855036855036855
E1,0.75,unmatched_not_near_small,135524,0.554971334971335
E1,0.75,wrong_class_near_small,3466,0.014193284193284193
E5a,0.5,duplicate_or_competition_near_small,15870,0.06470895242444506
E5a,0.5,localization_near_small,25531,0.10410108786064945
E5a,0.5,non_small_tp,11134,0.045398202665013945
E5a,0.5,other_class_near_small,21993,0.08967510968310147
E5a,0.5,small_tp,21011,0.0856710648638951
E5a,0.5,unmatched_not_near_small,134782,0.5495653450328641
E5a,0.5,wrong_class_near_small,14931,0.060880237470030824
E5a,0.75,duplicate_or_competition_near_small,474,0.00193270595142955
E5a,0.75,localization_near_small,51496,0.20997178412408463
E5a,0.75,non_small_tp,9815,0.040020060998483195
E5a,0.75,other_class_near_small,32402,0.13211716927894573
E5a,0.75,small_tp,11904,0.04853783047640794
E5a,0.75,unmatched_not_near_small,135865,0.5539812111623962
E5a,0.75,wrong_class_near_small,3296,0.013439238008252736
E10a,0.5,duplicate_or_competition_near_small,15643,0.06437395576991135
E10a,0.5,localization_near_small,25140,0.10345593863424993
E10a,0.5,non_small_tp,11075,0.04557575657813516
E10a,0.5,other_class_near_small,21732,0.0894313627048337
E10a,0.5,small_tp,21038,0.08657541913235282
E10a,0.5,unmatched_not_near_small,133834,0.5507526687023152
E10a,0.5,wrong_class_near_small,14540,0.05983489847820182
E10a,0.75,duplicate_or_competition_near_small,517,0.0021275545057242327
E10a,0.75,localization_near_small,50916,0.20952913967786274
E10a,0.75,non_small_tp,9744,0.04009843540382384
E10a,0.75,other_class_near_small,31718,0.13052567468580506
E10a,0.75,small_tp,11887,0.04891729286178714
E10a,0.75,unmatched_not_near_small,134909,0.5551765006049333
E10a,0.75,wrong_class_near_small,3311,0.013625402260063703
E16a,0.5,duplicate_or_competition_near_small,15384,0.06348839512694378
E16a,0.5,localization_near_small,25035,0.10331721086863217
E16a,0.5,non_small_tp,11071,0.045689029020436464
E16a,0.5,other_class_near_small,21303,0.08791557991349995
E16a,0.5,small_tp,21057,0.08690035986661825
E16a,0.5,unmatched_not_near_small,133571,0.5512355970814488
E16a,0.5,wrong_class_near_small,14891,0.06145382812242068
E16a,0.75,duplicate_or_competition_near_small,479,0.00197679025388755
E16a,0.75,localization_near_small,50525,0.20851216613291954
E16a,0.75,non_small_tp,9711,0.0400764303872693
E16a,0.75,other_class_near_small,31589,0.13036498398758625
E16a,0.75,small_tp,11999,0.04951880220542111
E16a,0.75,unmatched_not_near_small,134700,0.5558948793291294
E16a,0.75,wrong_class_near_small,3309,0.013655947703786853
E21a,0.5,duplicate_or_competition_near_small,15386,0.0634958628231847
E21a,0.5,localization_near_small,25046,0.10336132719806863
E21a,0.5,non_small_tp,11083,0.04573798567979696
E21a,0.5,other_class_near_small,21729,0.08967253368549202
E21a,0.5,small_tp,21103,0.08708911953449024
E21a,0.5,unmatched_not_near_small,133384,0.5504570497080247
E21a,0.5,wrong_class_near_small,14584,0.06018612137094278
E21a,0.75,duplicate_or_competition_near_small,494,0.0020386686750717043
E21a,0.75,localization_near_small,50613,0.20887274828219465
E21a,0.75,non_small_tp,9727,0.04014196397251511
E21a,0.75,other_class_near_small,31708,0.13085446629387368
E21a,0.75,small_tp,11970,0.049398510203660526
E21a,0.75,unmatched_not_near_small,134496,0.555046117656769
E21a,0.75,wrong_class_near_small,3307,0.013647524915915234
