model,iou,n_small_gt,match500_rate,match1000_rate,sameclass_oracle1000_rate,anyclass_oracle1000_rate,unmatched,rank_budget,class_confusion,competition,coverage_localization,best_sameclass_iou_mean,best_sameclass_iou_median,best_sameclass_iou_score_mean,best_valid_sameclass_score_mean,best_valid_sameclass_rank_mean,best_valid_sameclass_rank_p50,best_valid_sameclass_rank_p90,matched500_score_mean,matched500_rank_mean,matched500_rank_p90,classification_ranking_family_share,competition_share,coverage_localization_share
E1,0.5,26586,0.791582035657865,0.8188144136011435,0.821673061009554,0.9217257203039193,5541,694,2660,106,2081,0.6490039781837841,0.7364214956760406,0.3821201311271756,0.4303990241783569,102.33847562371253,54.0,241.0,0.44115213595484387,83.7640294606795,197.60000000000218,0.6053059014618299,0.01913012091680202,0.375563977621368
E1,0.75,26586,0.4459489957120289,0.460054163845633,0.46054314300759797,0.5238095238095238,14730,375,1682,13,12660,0.6490039781837841,0.7364214956760406,0.3821201311271756,0.49146443081901064,90.50506370467167,44.0,213.0,0.5065626418497566,71.35188933873144,167.0,0.13964697895451458,0.0008825526137135098,0.8594704684317719
E5a,0.5,26586,0.7903031670804183,0.8167832693899044,0.8196043030166253,0.9198826450011284,5575,677,2666,102,2130,0.6487963020503895,0.7362327873706818,0.37625594925813316,0.42726805517697336,102.48641578705828,54.0,242.0,0.43749499200395875,84.59054780829089,198.0,0.5996412556053812,0.01829596412556054,0.3820627802690583
E5a,0.75,26586,0.44775445723313023,0.46219814940194087,0.4626871285639058,0.5263672609644173,14682,383,1693,14,12592,0.6487963020503895,0.7362327873706818,0.37625594925813316,0.4876232890768111,91.68514754897976,44.0,218.0,0.5028488160806353,72.16675067204301,168.0,0.14139762975071515,0.0009535485628660946,0.8576488216864188
E10a,0.5,26586,0.7913187391860378,0.820018054615211,0.8226510193334838,0.9198074174377492,5548,738,2583,95,2132,0.6501294890246027,0.7365159690380096,0.38268160819336566,0.43333587320070527,103.41520735220155,54.0,242.0,0.4447140142873826,83.65210571347086,195.0,0.5985940879596251,0.017123287671232876,0.384282624369142
E10a,0.75,26586,0.4471150229444068,0.46189723914842395,0.4623109907470097,0.5242608891897992,14699,393,1647,11,12648,0.6501294890246027,0.7365159690380096,0.38268160819336566,0.4935654897822105,91.51932308192987,44.0,216.0,0.5092607545308346,71.36788087827038,169.0,0.13878495135723518,0.0007483502279066603,0.8604666984148581
E16a,0.5,26586,0.7920334010381404,0.8201308959602799,0.8227638606785527,0.9220266305574363,5529,708,2639,109,2073,0.6502302008975376,0.7366210520267487,0.38758144859241545,0.4368223200608771,102.59275852610405,54.0,237.0,0.4479478641841551,83.72360735147457,196.0,0.6053535901609695,0.01971423403870501,0.37493217580032556
E16a,0.75,26586,0.45132776649364326,0.4651696381554202,0.4653577070638682,0.5284736327390356,14587,367,1678,6,12536,0.6502302008975376,0.7366210520267487,0.38758144859241545,0.5008049265931517,89.35135790494665,44.0,207.0,0.5156652978885223,70.77206433869489,163.0,0.14019332282169056,0.0004113251525330774,0.8593953520257763
E21a,0.5,26586,0.7937636349958624,0.8200556683969006,0.8227638606785527,0.9222899270292635,5483,670,2646,101,2066,0.6500455720051922,0.7366308271884918,0.3920105557516321,0.4406292724890209,101.02747554173905,54.0,230.0,0.4510723718065123,83.07960953418946,192.0,0.6047784059821266,0.018420572679190225,0.3768010213386832
E21a,0.75,26586,0.45023696682464454,0.4643421349582487,0.46486872790190326,0.5255397577672459,14616,376,1613,13,12614,0.6500455720051922,0.7366308271884918,0.3920105557516321,0.5014933169813782,90.077757100089,44.0,204.0,0.5167335280527088,70.76482873851295,165.0,0.13608374384236452,0.0008894362342638204,0.8630268199233716
