model,iou,n_small_gt,sameclass_oracle_recall,anyclass_oracle_recall
E1,0.5,26586,0.821673061009554,0.9217257203039193
E1,0.55,26586,0.7889490709395922,0.886556834424133
E1,0.6,26586,0.7452042428345745,0.8388249454600165
E1,0.65,26586,0.6787783043707214,0.7662679605807567
E1,0.7,26586,0.5885052283156549,0.6660648461596329
E1,0.75,26586,0.46054314300759797,0.5238095238095238
E1,0.8,26586,0.31140449860829006,0.35646580907244413
E1,0.85,26586,0.16764462499059654,0.19175505905363724
E1,0.9,26586,0.05950500263296472,0.0682690137666441
E1,0.95,26586,0.00699616339426766,0.007786052809749492
E5a,0.5,26586,0.8196043030166253,0.9198826450011284
E5a,0.55,26586,0.7886481606860754,0.8863311517339953
E5a,0.6,26586,0.7427593470247499,0.8351764086361243
E5a,0.65,26586,0.6795305800045136,0.7645001128413451
E5a,0.7,26586,0.5879410215903107,0.6647483638004965
E5a,0.75,26586,0.4626871285639058,0.5263672609644173
E5a,0.8,26586,0.31193109155194465,0.3551869404949974
E5a,0.85,26586,0.1709170239975927,0.19423756864515157
E5a,0.9,26586,0.060520574738584215,0.06890844805536749
E5a,0.95,26586,0.006958549612578049,0.007673211464680659
E10a,0.5,26586,0.8226510193334838,0.9198074174377492
E10a,0.55,26586,0.7889114571579027,0.8848266004664109
E10a,0.6,26586,0.7435492364402317,0.8354397051079515
E10a,0.65,26586,0.6800195591664786,0.765478071165275
E10a,0.7,26586,0.5885804558790341,0.6649740464906342
E10a,0.75,26586,0.4623109907470097,0.5242608891897992
E10a,0.8,26586,0.31512826299556157,0.35748138117806366
E10a,0.85,26586,0.16708041826525238,0.19047619047619047
E10a,0.9,26586,0.058000451365380276,0.06680207628074927
E10a,0.95,26586,0.006770480704129994,0.007861280373128714
E16a,0.5,26586,0.8227638606785527,0.9220266305574363
E16a,0.55,26586,0.7903407808621079,0.8870458135860979
E16a,0.6,26586,0.7451290152711953,0.838787331678327
E16a,0.65,26586,0.6803580832016851,0.7669450086511698
E16a,0.7,26586,0.5894079590762055,0.6664033701948394
E16a,0.75,26586,0.4653577070638682,0.5284736327390356
E16a,0.8,26586,0.315955766192733,0.3593244564808546
E16a,0.85,26586,0.16993906567366282,0.19517791318739186
E16a,0.9,26586,0.05954261641465433,0.06770480704129993
E16a,0.95,26586,0.005491612126683217,0.00631911532385466
E21a,0.5,26586,0.8227638606785527,0.9222899270292635
E21a,0.55,26586,0.7918453321296923,0.8888512751071993
E21a,0.6,26586,0.7473106146091928,0.8393891521853607
E21a,0.65,26586,0.6803204694199955,0.7669826224328594
E21a,0.7,26586,0.5896336417663431,0.6649740464906342
E21a,0.75,26586,0.46486872790190326,0.5255397577672459
E21a,0.8,26586,0.31569246972090576,0.3584217257203039
E21a,0.85,26586,0.17174452719476416,0.19514029940570224
E21a,0.9,26586,0.05958023019634394,0.06770480704129993
E21a,0.95,26586,0.0065447980139923265,0.00737230121116377
