outcome,min_cell_per_group,eligible_strata,total_strata,missing_total,present_total,missing_in_common_support,present_in_common_support,missing_coverage,present_coverage,overlap_weight_sum,weighted_missing_mean,weighted_present_mean,adjusted_difference_missing_minus_present,model,scheme,strata
in_gt_total,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,14.673278277376546,17.04470520818831,-2.371426930811765,E10a,coarse_class_size_density,class|size_bin|density_bin
in_gt_cap10,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,7.853886575185357,8.564825180310814,-0.7109386051254569,E10a,coarse_class_size_density,class|size_bin|density_bin
zero_in_gt,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,0.004303031108785876,0.0004072127082553218,0.003895818400530554,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_preconflict_total,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,7.7937714917020005,8.541366950417757,-0.7475954587157565,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_final_total,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,6.90254276684539,8.048636865591028,-1.146094098745638,E10a,coarse_class_size_density,class|size_bin|density_bin
zero_final_positive,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,0.020758142114883645,0.0012237179244543582,0.019534424190429285,E10a,coarse_class_size_density,class|size_bin|density_bin
conflict_loss_fraction,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,0.12627096474913263,0.062492121552687595,0.06377884319644503,E10a,coarse_class_size_density,class|size_bin|density_bin
target_weight_mean,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,0.32888962628675367,0.4961843325745428,-0.16729470628778914,E10a,coarse_class_size_density,class|size_bin|density_bin
target_weight_max,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,0.6239871893640013,0.8326465689560837,-0.20865937959208236,E10a,coarse_class_size_density,class|size_bin|density_bin
p2_final_share,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,0.7743714529286935,0.7725643801351485,0.0018070727935449726,E10a,coarse_class_size_density,class|size_bin|density_bin
in_gt_P2,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,11.031986828584918,12.842216345205488,-1.81022951662057,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_preconflict_P2,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,6.105327329670969,6.610463057650682,-0.5051357279797131,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_final_P2,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,5.420914502493041,6.246435758269043,-0.8255212557760023,E10a,coarse_class_size_density,class|size_bin|density_bin
in_gt_P3,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,2.7646526581203372,3.207126879072315,-0.44247422095197786,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_preconflict_P3,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,1.3692531289193324,1.6187715689056528,-0.2495184399863204,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_final_P3,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,1.2012996697037546,1.5174399705444666,-0.316140300840712,E10a,coarse_class_size_density,class|size_bin|density_bin
in_gt_P4,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,0.7089947326443607,0.789493926873584,-0.08049919422922325,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_preconflict_P4,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,0.2685940085926149,0.26801820866129505,0.0005757999313198425,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_final_P4,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,0.23506047753467577,0.24521542628783913,-0.010154948753163362,E10a,coarse_class_size_density,class|size_bin|density_bin
in_gt_P5,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,0.16764405802693017,0.20586805703692806,-0.0382239990099979,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_preconflict_P5,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,0.050597024519085695,0.044114115200128846,0.006482909318956849,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_final_P5,5,90,116,8854,17732,8758,17607,0.9891574429636323,0.9929505977893075,4388.946261963932,0.0452681171139192,0.03954571048968004,0.00572240662423916,E10a,coarse_class_size_density,class|size_bin|density_bin
in_gt_total,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,14.509283208483927,16.90617568667437,-2.396892478190443,E10a,coarse_class_size_density,class|size_bin|density_bin
in_gt_cap10,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,7.863931660236536,8.58130518181457,-0.7173735215780335,E10a,coarse_class_size_density,class|size_bin|density_bin
zero_in_gt,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,0.004222143072452196,0.00041668695973783954,0.003805456112714357,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_preconflict_total,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,7.8030539997709,8.557860605025292,-0.7548066052543918,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_final_total,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,6.906783783115674,8.059758774249419,-1.1529749911337444,E10a,coarse_class_size_density,class|size_bin|density_bin
