outcome,min_cell_per_group,eligible_strata,total_strata,missing_total,present_total,missing_in_common_support,present_in_common_support,missing_coverage,present_coverage,overlap_weight_sum,weighted_missing_mean,weighted_present_mean,adjusted_difference_missing_minus_present,model,scheme,strata
in_gt_total,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,16.43540465693885,17.764193419241163,-1.3287887623023131,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
zero_in_gt,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,0.0,0.0,0.0,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_preconflict_total,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,8.552374614577147,8.586972948208146,-0.03459833363099918,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_total,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,7.574779903627663,8.120458606750338,-0.5456787031226753,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
zero_final_positive,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,0.01070193803178313,0.001175459040579376,0.009526478991203752,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
conflict_loss_fraction,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,0.12289564147838745,0.06061003865405512,0.062285602824332334,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
target_weight_mean,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,0.3249297455409482,0.4994704012202076,-0.17454065567925936,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
target_weight_max,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,0.6347765692718521,0.8339336801684923,-0.19915711089664023,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
p2_final_share,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,0.7827214649872248,0.7729826069832622,0.00973885800396268,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
in_gt_P2,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,12.374610223687794,13.370806924752923,-0.9961967010651289,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_preconflict_P2,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,6.773217913940855,6.655183782240349,0.11803413170050625,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_P2,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,6.012860206398535,6.313915567686672,-0.30105536128813704,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
in_gt_P3,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,3.0890018547108626,3.349908465735297,-0.26090661102443446,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_preconflict_P3,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,1.4573947368224038,1.6255987613150602,-0.16820402449265637,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_P3,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,1.2792523544456744,1.5269101733883783,-0.2476578189427039,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
in_gt_P4,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,0.7836468222921321,0.8278739843096006,-0.04422716201746846,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_preconflict_P4,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,0.26872623850353144,0.2628135486822638,0.005912689821267636,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_P4,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,0.234980000000551,0.2401930386879876,-0.005213038687436611,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
in_gt_P5,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,0.18814575624806482,0.21560404444334583,-0.02745828819528101,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_preconflict_P5,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,0.053035725310355976,0.04337685597047376,0.009658869339882213,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
tal_final_P5,10,124,506,8854,17732,6656,16256,0.7517506211881635,0.9167606586961425,3697.3709723899456,0.04768734278290366,0.03943982698730047,0.008247515795603191,E10a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
