model,class,size_bin,density_bin,raw075_group,n,best_raw_iou,best_raw_iou_P2,in_gt_total,in_gt_cap10,zero_in_gt,tal_preconflict_total,tal_final_total,zero_final_positive,conflict_loss_fraction,target_weight_mean,target_weight_max,p2_final_share,in_gt_P2,tal_preconflict_P2,tal_final_P2,in_gt_P3,tal_preconflict_P3,tal_final_P3,in_gt_P4,tal_preconflict_P4,tal_final_P4,in_gt_P5,tal_preconflict_P5,tal_final_P5
E10a,awning-tricycle,0-8,dense,missing,2,0.5610097497701645,0.5610097497701645,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.4771706461906433,0.5434338301420212,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E10a,awning-tricycle,0-8,middle,missing,7,0.6079333807740893,0.6075372312750135,3.142857142857143,3.142857142857143,0.0,3.142857142857143,3.142857142857143,0.0,0.0,0.3514060888971601,0.5967316882950919,0.7333333333333333,2.4285714285714284,2.4285714285714284,2.4285714285714284,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0
E10a,awning-tricycle,0-8,middle,present,5,0.8076113343238831,0.8048667907714844,5.0,5.0,0.0,5.0,4.6,0.0,0.05714285714285714,0.4375834345817566,0.8057040691375732,0.8033333333333333,4.0,4.0,3.6,0.8,0.8,0.8,0.2,0.2,0.2,0.0,0.0,0.0
E10a,awning-tricycle,16-24,dense,missing,2,0.6928839385509491,0.6560337543487549,23.0,10.0,0.0,10.0,10.0,0.0,0.0,0.24933592975139612,0.6869298219680786,0.55,17.5,5.5,5.5,4.0,3.5,3.5,1.0,1.0,1.0,0.5,0.0,0.0
E10a,awning-tricycle,16-24,dense,present,7,0.8530105778149196,0.8035575917788914,24.714285714285715,10.0,0.0,10.0,9.714285714285714,0.0,0.028571428571428574,0.40390288616929737,0.8520764197622027,0.5603174603174603,18.571428571428573,5.571428571428571,5.428571428571429,4.428571428571429,3.7142857142857144,3.5714285714285716,1.2857142857142858,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.0,0.0
E10a,awning-tricycle,16-24,middle,missing,24,0.6302035227417946,0.6134827385346094,22.458333333333332,10.0,0.0,10.0,9.75,0.0,0.024999999999999998,0.25150150991976256,0.6183540026346842,0.7101851851851851,16.875,7.166666666666667,7.0,4.083333333333333,2.3333333333333335,2.25,1.125,0.5,0.5,0.375,0.0,0.0
E10a,awning-tricycle,16-24,middle,present,33,0.8472590067169883,0.8223832014835242,23.848484848484848,9.848484848484848,0.0,9.848484848484848,9.696969696969697,0.0,0.015151515151515152,0.42780249227177014,0.8439295219652581,0.6814574314574314,17.696969696969695,6.787878787878788,6.636363636363637,4.757575757575758,2.696969696969697,2.696969696969697,1.2424242424242424,0.36363636363636365,0.36363636363636365,0.15151515151515152,0.0,0.0
E10a,awning-tricycle,16-24,sparse,missing,2,0.6379619240760803,0.6192193329334259,41.0,10.0,0.0,10.0,10.0,0.0,0.0,0.21585696190595624,0.6365987658500671,0.35,31.0,3.5,3.5,7.0,5.0,5.0,3.0,1.5,1.5,0.0,0.0,0.0
E10a,awning-tricycle,16-24,sparse,present,30,0.8788144588470459,0.8600654323895772,32.3,10.0,0.0,10.0,10.0,0.0,0.0,0.5487994814912478,0.8624426126480103,0.6066666666666667,24.0,6.066666666666666,6.066666666666666,6.366666666666666,3.6333333333333333,3.6333333333333333,1.6333333333333333,0.3,0.3,0.3,0.0,0.0
E10a,awning-tricycle,24-32,dense,missing,2,0.6403943002223969,0.6189887821674347,18.5,10.0,0.0,10.0,7.0,0.0,0.3,0.21050930023193354,0.6275255084037781,0.4777777777777778,14.0,6.0,3.5,3.5,3.5,3.5,1.0,0.5,0.0,0.0,0.0,0.0
E10a,awning-tricycle,24-32,dense,present,4,0.8956670165061951,0.7165876179933548,43.75,10.0,0.0,10.0,9.5,0.0,0.05,0.5089018531143665,0.8908154964447021,0.30625,32.75,3.25,2.75,8.25,5.5,5.5,2.0,1.25,1.25,0.75,0.0,0.0
E10a,awning-tricycle,24-32,middle,missing,23,0.6539007658543794,0.6401475771613743,38.30434782608695,10.0,0.0,10.0,8.956521739130435,0.0,0.10434782608695652,0.2669958216340645,0.644515872001648,0.7067632850241546,28.695652173913043,6.782608695652174,6.478260869565218,7.434782608695652,2.608695652173913,1.9565217391304348,1.7826086956521738,0.6086956521739131,0.5217391304347826,0.391304347826087,0.0,0.0
E10a,awning-tricycle,24-32,middle,present,26,0.8585047951111426,0.7847768595585456,42.42307692307692,10.0,0.0,10.0,9.884615384615385,0.0,0.01153846153846154,0.41895441309763837,0.8434426876214834,0.47264957264957264,31.384615384615383,4.6923076923076925,4.653846153846154,8.653846153846153,4.423076923076923,4.346153846153846,1.8461538461538463,0.8846153846153846,0.8846153846153846,0.5384615384615384,0.0,0.0
E10a,awning-tricycle,24-32,sparse,missing,5,0.7088454723358154,0.6126200377941131,38.8,10.0,0.0,10.0,10.0,0.0,0.0,0.26472322642803187,0.70454261302948,0.38,30.4,3.8,3.8,6.0,5.2,5.2,2.2,1.0,1.0,0.2,0.0,0.0
E10a,awning-tricycle,24-32,sparse,present,58,0.8773432384277212,0.8254688084125519,49.5,10.0,0.0,10.0,10.0,0.0,0.0,0.5217516920689879,0.8568418087630436,0.3620689655172414,37.672413793103445,3.6206896551724137,3.6206896551724137,8.913793103448276,5.4655172413793105,5.4655172413793105,2.2586206896551726,0.9137931034482759,0.9137931034482759,0.6551724137931034,0.0,0.0
E10a,awning-tricycle,8-16,dense,missing,6,0.6030446042617162,0.5875312487284342,7.166666666666667,5.666666666666667,0.0,5.666666666666667,4.666666666666667,0.0,0.13333333333333333,0.297507494688034,0.5575764526923498,0.7261904761904762,5.333333333333333,4.166666666666667,3.5,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
E10a,awning-tricycle,8-16,dense,present,8,0.8173549324274063,0.8084464892745018,10.875,9.125,0.0,9.125,8.625,0.0,0.05138888888888889,0.45630770921707153,0.8079133406281471,0.7135416666666666,7.625,6.625,6.125,2.625,2.125,2.125,0.375,0.375,0.375,0.25,0.0,0.0
E10a,awning-tricycle,8-16,middle,missing,26,0.6574067977758554,0.6536730333016469,9.384615384615385,8.038461538461538,0.0,7.961538461538462,7.576923076923077,0.0,0.038461538461538464,0.3085209747346548,0.6443937787642846,0.7478479853479854,6.923076923076923,6.076923076923077,5.6923076923076925,1.8076923076923077,1.4230769230769231,1.4230769230769231,0.5,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.15384615384615385
E10a,awning-tricycle,8-16,middle,present,23,0.8256555381028549,0.8184561392535334,14.73913043478261,9.0,0.0,9.0,9.0,0.0,0.0,0.42764496284982434,0.824223386204761,0.7578674948240165,11.521739130434783,6.826086956521739,6.826086956521739,2.8260869565217392,2.0434782608695654,2.0434782608695654,0.2608695652173913,0.08695652173913043,0.08695652173913043,0.13043478260869565,0.043478260869565216,0.043478260869565216
