model,iou,class,n,top500_survival_rate,failed,raw_geometry_missing,raw_geometry_missing_rate_all,raw_geometry_missing_share_failed,confidence_floor,confidence_floor_rate_all,confidence_floor_share_failed,class_argmax_confusion,class_argmax_confusion_rate_all,class_argmax_confusion_share_failed,nms_suppression,nms_suppression_rate_all,nms_suppression_share_failed,rank_budget_501_1000,rank_budget_501_1000_rate_all,rank_budget_501_1000_share_failed,survives_top500,survives_top500_rate_all,survives_top500_share_failed,class_selection_share_failed
E10a,0.5,awning-tricycle,305,0.43934426229508194,171,9,0.029508196721311476,0.05263157894736842,28,0.09180327868852459,0.16374269005847952,116,0.380327868852459,0.6783625730994152,5,0.01639344262295082,0.029239766081871343,13,0.04262295081967213,0.07602339181286549,134,0.43934426229508194,0.783625730994152,0.8421052631578947
E10a,0.5,bicycle,1053,0.6058879392212726,415,59,0.0560303893637227,0.14216867469879518,37,0.03513770180436847,0.0891566265060241,184,0.17473884140550808,0.4433734939759036,58,0.055080721747388414,0.13975903614457832,77,0.0731244064577398,0.1855421686746988,638,0.6058879392212726,1.5373493975903614,0.5325301204819277
E10a,0.5,bus,116,0.5344827586206896,54,10,0.08620689655172414,0.18518518518518517,11,0.09482758620689655,0.2037037037037037,28,0.2413793103448276,0.5185185185185185,1,0.008620689655172414,0.018518518518518517,4,0.034482758620689655,0.07407407407407407,62,0.5344827586206896,1.1481481481481481,0.7222222222222222
E10a,0.5,car,6910,0.9243125904486251,523,223,0.03227206946454414,0.42638623326959846,53,0.007670043415340087,0.10133843212237094,78,0.011287988422575976,0.1491395793499044,77,0.011143270622286542,0.14722753346080306,92,0.013314037626628075,0.17590822179732313,6387,0.9243125904486251,12.212237093690248,0.25047801147227533
E10a,0.5,motor,3978,0.8536953242835595,582,112,0.02815485168426345,0.19243986254295534,55,0.013826043237807943,0.09450171821305842,271,0.06812468577174459,0.46563573883161513,71,0.017848164906988435,0.12199312714776632,73,0.018350930115636,0.1254295532646048,3396,0.8536953242835595,5.835051546391752,0.5601374570446735
E10a,0.5,pedestrian,7746,0.804286083139685,1516,481,0.06209656596953266,0.31728232189973615,97,0.012522592305706171,0.06398416886543536,474,0.061192873741285826,0.31266490765171506,183,0.023625096824167312,0.12071240105540897,281,0.03627678801962303,0.1853562005277045,6230,0.804286083139685,4.1094986807387865,0.3766490765171504
E10a,0.5,people,4631,0.7343986180090694,1230,413,0.08918160224573526,0.3357723577235772,85,0.018354567048153747,0.06910569105691057,433,0.09350032390412438,0.35203252032520327,144,0.03109479594040164,0.11707317073170732,155,0.033470092852515655,0.12601626016260162,3401,0.7343986180090694,2.765040650406504,0.4211382113821138
E10a,0.5,tricycle,621,0.573268921095008,265,18,0.028985507246376812,0.06792452830188679,53,0.0853462157809984,0.2,158,0.25442834138486314,0.5962264150943396,15,0.024154589371980676,0.05660377358490566,21,0.033816425120772944,0.07924528301886792,356,0.573268921095008,1.3433962264150943,0.7962264150943397
E10a,0.5,truck,289,0.47750865051903113,151,10,0.03460207612456748,0.06622516556291391,25,0.08650519031141868,0.16556291390728478,100,0.3460207612456747,0.6622516556291391,6,0.020761245674740483,0.039735099337748346,10,0.03460207612456748,0.06622516556291391,138,0.47750865051903113,0.9139072847682119,0.8278145695364238
E10a,0.5,van,937,0.41728922091782283,546,16,0.017075773745997867,0.029304029304029304,23,0.02454642475987193,0.04212454212454213,491,0.5240128068303095,0.8992673992673993,4,0.004268943436499467,0.007326007326007326,12,0.012806830309498399,0.02197802197802198,391,0.41728922091782283,0.7161172161172161,0.9413919413919414
E10a,0.75,awning-tricycle,305,0.29180327868852457,216,101,0.33114754098360655,0.4675925925925926,22,0.07213114754098361,0.10185185185185185,81,0.26557377049180325,0.375,11,0.036065573770491806,0.05092592592592592,1,0.003278688524590164,0.004629629629629629,89,0.29180327868852457,0.41203703703703703,0.47685185185185186
E10a,0.75,bicycle,1053,0.25451092117758783,785,459,0.4358974358974359,0.5847133757961783,24,0.022792022792022793,0.030573248407643312,149,0.14150047483380818,0.18980891719745224,119,0.11301044634377967,0.15159235668789808,34,0.032288698955365625,0.04331210191082802,268,0.25451092117758783,0.3414012738853503,0.22038216560509555
