model,iou,density_bin,n,top500_survival_rate,failed,raw_geometry_missing,raw_geometry_missing_rate_all,raw_geometry_missing_share_failed,confidence_floor,confidence_floor_rate_all,confidence_floor_share_failed,class_argmax_confusion,class_argmax_confusion_rate_all,class_argmax_confusion_share_failed,nms_suppression,nms_suppression_rate_all,nms_suppression_share_failed,rank_budget_501_1000,rank_budget_501_1000_rate_all,rank_budget_501_1000_share_failed,survives_top500,survives_top500_rate_all,survives_top500_share_failed,class_selection_share_failed
E10a,0.5,dense,6714,0.7074769139112302,1964,807,0.12019660411081323,0.4108961303462322,67,0.009979148048853142,0.03411405295315682,742,0.11051534107834377,0.37780040733197556,163,0.024277628835269585,0.0829938900203666,185,0.02755436401549002,0.09419551934826884,4750,0.7074769139112302,2.4185336048879837,0.4119144602851324
E10a,0.5,middle,14232,0.8135890949971895,2653,495,0.03478077571669477,0.18658122879758765,262,0.018409218662169758,0.09875612514134942,1180,0.08291174817313098,0.44477949491142105,301,0.021149522203485104,0.11345646437994723,415,0.02915964024732996,0.15642668676969468,11579,0.8135890949971895,4.3644930267621564,0.5435356200527705
E10a,0.5,sparse,5640,0.85177304964539,836,49,0.008687943262411348,0.05861244019138756,138,0.02446808510638298,0.16507177033492823,411,0.07287234042553191,0.4916267942583732,100,0.01773049645390071,0.11961722488038277,138,0.02446808510638298,0.16507177033492823,4804,0.85177304964539,5.746411483253588,0.6566985645933014
E10a,0.75,dense,6714,0.279416145367888,4838,3602,0.5364909145070003,0.7445225299710624,61,0.009085492999702115,0.012608515915667631,426,0.06344950848972297,0.08805291442744936,680,0.1012809055704498,0.14055394791236048,69,0.010277033065236819,0.014262091773460108,1876,0.279416145367888,0.38776353865233565,0.10066143034311699
E10a,0.75,middle,14232,0.4655705452501405,7606,4383,0.30796795952782463,0.5762555876939258,336,0.023608768971332208,0.04417565080199842,856,0.060146149522203485,0.11254272942413884,1793,0.12598369870713885,0.235734946095188,238,0.016722878021360316,0.03129108598474888,6626,0.4655705452501405,0.8711543518275046,0.15671838022613727
E10a,0.75,sparse,5640,0.6015957446808511,2247,869,0.15407801418439715,0.38673787271918114,279,0.04946808510638298,0.12416555407209613,424,0.075177304964539,0.1886960391633289,589,0.10443262411347518,0.2621272808188696,86,0.01524822695035461,0.03827325322652426,3393,0.6015957446808511,1.5100133511348464,0.312861593235425
E16a,0.5,dense,6714,0.7129877867143283,1927,785,0.1169198689305928,0.40736896730669436,96,0.014298480786416443,0.049818370524130774,723,0.10768543342269883,0.3751946030098599,156,0.02323503127792672,0.08095485210171251,167,0.02487339886803694,0.08666320705760248,4787,0.7129877867143283,2.484172288531396,0.42501297353399065
E16a,0.5,middle,14232,0.8132377740303541,2658,503,0.03534288926363125,0.1892400300978179,266,0.018690275435637997,0.1000752445447705,1182,0.08305227655986509,0.44469525959367945,292,0.020517144463181564,0.10985703536493605,415,0.02915964024732996,0.1561324303987961,11574,0.8132377740303541,4.354401805869075,0.54477050413845
E16a,0.5,sparse,5640,0.85177304964539,836,48,0.00851063829787234,0.05741626794258373,149,0.026418439716312057,0.17822966507177032,418,0.07411347517730496,0.5,95,0.016843971631205674,0.11363636363636363,126,0.022340425531914895,0.1507177033492823,4804,0.85177304964539,5.746411483253588,0.6782296650717703
E16a,0.75,dense,6714,0.28820375335120646,4779,3567,0.531277926720286,0.746390458254865,68,0.01012809055704498,0.014228918183720443,424,0.06315162347333929,0.08872148985143335,662,0.09859994042299672,0.13852270349445492,58,0.008638665475126601,0.01213643021552626,1935,0.28820375335120646,0.4048964218455744,0.1029504080351538
