model,iou,size_bin,n,top500_survival_rate,failed,raw_geometry_missing,raw_geometry_missing_rate_all,raw_geometry_missing_share_failed,confidence_floor,confidence_floor_rate_all,confidence_floor_share_failed,class_argmax_confusion,class_argmax_confusion_rate_all,class_argmax_confusion_share_failed,nms_suppression,nms_suppression_rate_all,nms_suppression_share_failed,rank_budget_501_1000,rank_budget_501_1000_rate_all,rank_budget_501_1000_share_failed,survives_top500,survives_top500_rate_all,survives_top500_share_failed,class_selection_share_failed
E10a,0.5,0-8,2423,0.529508873297565,1140,709,0.2926124638877425,0.6219298245614036,38,0.015683037556747832,0.03333333333333333,267,0.1101939744118861,0.23421052631578948,65,0.026826248452331822,0.05701754385964912,61,0.025175402393726783,0.05350877192982456,1283,0.529508873297565,1.1254385964912281,0.2675438596491228
E10a,0.5,16-24,8596,0.8579571893904141,1221,71,0.008259655653792462,0.05814905814905815,118,0.013727315030246627,0.09664209664209664,635,0.07387156817124244,0.5200655200655201,162,0.018845974872033502,0.13267813267813267,235,0.027338296882270824,0.19246519246519248,7375,0.8579571893904141,6.04013104013104,0.6167076167076168
E10a,0.5,24-32,6035,0.8742336371168186,759,21,0.0034797017398508698,0.02766798418972332,115,0.019055509527754765,0.15151515151515152,386,0.063960231980116,0.5085638998682477,99,0.016404308202154102,0.13043478260869565,138,0.022866611433305716,0.18181818181818182,5276,0.8742336371168186,6.951251646903821,0.6600790513833992
E10a,0.5,8-16,9532,0.7552454888795636,2333,550,0.05770037767519933,0.2357479639948564,196,0.020562316407889216,0.08401200171453065,1045,0.10963071758287872,0.4479211315902272,238,0.024968527066722618,0.1020145735105015,304,0.03189257238774654,0.13030432918988427,7199,0.7552454888795636,3.085726532361766,0.5319331333047578
E10a,0.75,0-8,2423,0.11762278167560875,2138,1976,0.8155179529508874,0.9242282507015903,15,0.006190672719768881,0.007015902712815715,58,0.023937267849773007,0.027128157156220765,84,0.034667767230705734,0.03928905519176801,5,0.0020635575732562937,0.0023386342376052385,285,0.11762278167560875,0.1333021515434986,0.034144059869036486
E10a,0.75,16-24,8596,0.5366449511400652,3983,1729,0.2011400651465798,0.43409490333919154,261,0.03036295951605398,0.06552849610846095,605,0.07038157282456957,0.1518955561134823,1227,0.14274080967892042,0.308059251820236,161,0.018729641693811076,0.040421792618629174,4613,0.5366449511400652,1.1581722319859402,0.21742405222194325
E10a,0.75,24-32,6035,0.6447390223695112,2144,644,0.10671085335542668,0.3003731343283582,269,0.044573322286661145,0.12546641791044777,429,0.07108533554266777,0.20009328358208955,688,0.1140016570008285,0.3208955223880597,114,0.01888980944490472,0.05317164179104478,3891,0.6447390223695112,1.8148320895522387,0.3255597014925373
E10a,0.75,8-16,9532,0.3258497691984893,6426,4505,0.47261854804867814,0.701058201058201,131,0.013743180864456568,0.020385932150638032,614,0.0644146034410407,0.0955493308434485,1063,0.11151909357952161,0.16542172424525367,113,0.01185480486781368,0.01758481170245876,3106,0.3258497691984893,0.483348895113601,0.11593526299408652
E16a,0.5,0-8,2423,0.5361122575319851,1124,669,0.2761040033016921,0.5951957295373665,60,0.024762690879075525,0.05338078291814947,265,0.10936855138258357,0.23576512455516013,60,0.024762690879075525,0.05338078291814947,70,0.028889806025588115,0.06227758007117438,1299,0.5361122575319851,1.155693950177936,0.2891459074733096
E16a,0.5,16-24,8596,0.859004187994416,1212,72,0.00837598883201489,0.0594059405940594,126,0.014657980456026058,0.10396039603960396,633,0.07363890181479758,0.5222772277227723,155,0.018031642624476502,0.12788778877887788,226,0.02629129827826896,0.18646864686468648,7384,0.859004187994416,6.092409240924092,0.6262376237623762
E16a,0.5,24-32,6035,0.8732394366197183,765,16,0.002651201325600663,0.02091503267973856,131,0.021706710853355425,0.17124183006535948,371,0.06147473073736537,0.4849673202614379,106,0.01756420878210439,0.13856209150326798,141,0.02336371168185584,0.1843137254901961,5270,0.8732394366197183,6.888888888888889,0.6562091503267974
E16a,0.5,8-16,9532,0.7566093159882501,2320,579,0.0607427612253462,0.2495689655172414,194,0.020352496852706674,0.08362068965517241,1054,0.11057490558120017,0.4543103448275862,222,0.023289970625262276,0.09568965517241379,271,0.028430549727234578,0.1168103448275862,7212,0.7566093159882501,3.1086206896551722,0.5379310344827586
E16a,0.75,0-8,2423,0.11225753198514239,2151,1975,0.8151052414362361,0.9181775918177592,13,0.005365249690466364,0.00604370060437006,65,0.026826248452331822,0.030218503021850304,84,0.034667767230705734,0.03905160390516039,14,0.005777961205117622,0.006508600650860065,272,0.11225753198514239,0.12645281264528127,0.03626220362622036
