model,size_bin,n,zero_in_gt_rate,zero_final_positive_rate,final_positive_mean,final_positive_median,conflict_loss_fraction_mean,p2_final_share_mean,target_weight_mean
E10a,0-8,2423,0.04292199752373091,0.1172100701609575,2.2748658687577383,2.0,0.17108826306611805,0.7528501302344219,0.40458749997931454
E10a,16-24,8596,0.0,0.0003489995346672871,9.600395532805956,10.0,0.034541536484300556,0.7979601252672357,0.49639047880341736
E10a,24-32,6035,0.0,0.0,9.84540182270091,10.0,0.015448771057718863,0.677849891984109,0.5684148859859204
E10a,8-16,9532,0.0015736466638690725,0.014687368862778011,6.592530423835502,7.0,0.12467486591764049,0.7662057074455925,0.40669871399258467
E16a,0-8,2423,0.04292199752373091,0.11473380107304994,2.2806438299628558,2.0,0.1697648646044136,0.7512914862914862,0.4061021828887711
E16a,16-24,8596,0.0,0.00011633317822242904,9.59632387156817,10.0,0.034999252143854284,0.7992362795242377,0.4975790563249151
E16a,24-32,6035,0.0,0.00033140016570008286,9.84341342170671,10.0,0.01564392893307558,0.684753499534703,0.5699509459273072
E16a,8-16,9532,0.0015736466638690725,0.014582459085186739,6.5963071758287875,7.0,0.12411868478342468,0.7660101762864457,0.4091897542743106
E21a,0-8,2423,0.04292199752373091,0.1130829550144449,2.2798184069335536,2.0,0.16867779910692782,0.753177003700503,0.41214949654786537
E21a,16-24,8596,0.0,0.00023266635644485808,9.593531875290832,10.0,0.035279882854336087,0.8016167034101058,0.4978938016447496
E21a,24-32,6035,0.0,0.00033140016570008286,9.845236122618061,10.0,0.015463499953972198,0.6898949150192313,0.5716307654861993
E21a,8-16,9532,0.0015736466638690725,0.01395300041963911,6.595887536718422,7.0,0.1242860062224224,0.7659556211423431,0.4098380707589012
