model,confidence,area_group,tp,fp,neutral,fp_ignore,fp_others,fp_class0_ignore_fraction,fp_class11_others_fraction
e0,0.05,all,27830,42803,0,6684,68,0.15615727869541854,0.0015886736910964185
e0,0.05,small,16923,33897,0,6099,29,0.17992742720594743,0.0008555329380181137
e0,0.1,all,26714,26457,0,4016,52,0.151793476206675,0.0019654533771780625
e0,0.1,small,15970,20601,0,3635,21,0.1764477452550847,0.0010193679918450561
e0,0.25,all,23846,10251,0,1428,37,0.13930348258706468,0.0036094039605892108
e0,0.25,small,13472,7288,0,1246,14,0.17096597145993414,0.0019209659714599342
e1,0.05,all,30204,57434,0,8987,82,0.15647525855764877,0.0014277257373681094
e1,0.05,small,19229,48056,0,8393,42,0.17465040785749958,0.0008739803562510405
e1,0.1,all,28802,32138,0,4938,54,0.1536498848714917,0.0016802539050345385
e1,0.1,small,18006,26243,0,4582,25,0.17459894066989293,0.0009526349883778531
e1,0.25,all,25617,11259,0,1659,33,0.14734878763655743,0.002930988542499334
e1,0.25,small,15247,8370,0,1508,12,0.18016726403823177,0.0014336917562724014
e10a,0.05,all,30151,55590,0,8801,83,0.15831984169814714,0.0014930742939377585
e10a,0.05,small,19148,47139,0,8205,44,0.17405969579329217,0.0009334097032181421
e10a,0.1,all,28801,31070,0,4894,57,0.1575152880592211,0.0018345671065336337
e10a,0.1,small,17982,25680,0,4532,26,0.1764797507788162,0.0010124610591900312
e10a,0.25,all,25576,10990,0,1658,30,0.15086442220200183,0.00272975432211101
e10a,0.25,small,15169,8298,0,1511,11,0.18209207037840444,0.0013256206314774645
e16a,0.05,all,30159,55539,0,8637,75,0.1555123426781181,0.0013504024199211366
e16a,0.05,small,19216,47445,0,8144,44,0.17165138581515438,0.0009273896090209716
e16a,0.1,all,28788,31360,0,4818,54,0.15363520408163264,0.0017219387755102041
e16a,0.1,small,18006,26162,0,4520,29,0.17276966592768137,0.00110847794511123
e16a,0.25,all,25691,11129,0,1670,27,0.1500584059663941,0.002426093988678228
e16a,0.25,small,15279,8442,0,1535,9,0.1818289504856669,0.0010660980810234541
e21a,0.05,all,30256,55666,0,8845,72,0.15889411849243704,0.0012934286638163332
e21a,0.05,small,19312,47554,0,8267,38,0.17384447154813476,0.0007990915590696892
e21a,0.1,all,28963,31617,0,4991,49,0.1578581143055951,0.0015497991586804567
e21a,0.1,small,18164,26332,0,4627,23,0.17571775786115754,0.0008734619474403768
e21a,0.25,all,25820,11290,0,1666,31,0.14756421612046058,0.002745792736935341
e21a,0.25,small,15400,8578,0,1515,11,0.1766145954768011,0.0012823501981813943
e26a,0.05,all,30287,56945,0,8590,73,0.15084730880674335,0.001281938712793046
e26a,0.05,small,19301,48024,0,8011,38,0.16681242711977345,0.0007912710311510911
e26a,0.1,all,28903,31962,0,4828,50,0.15105437707277392,0.0015643576747387522
e26a,0.1,small,18106,26286,0,4471,25,0.17009054249410333,0.0009510766187324051
e26a,0.25,all,25646,11193,0,1594,28,0.14241043509336193,0.0025015634771732333
e26a,0.25,small,15262,8404,0,1459,13,0.1736078058067587,0.001546882436934793
