model,class_id,class_name,images_with_class_weight,AP50_95_percent,AP50_percent,AP75_percent
e0,1,pedestrian,520,28.497444897103293,58.39101454079978,24.252501834775334
e0,2,people,482,17.68961276016669,42.616155174135855,11.441907491701128
e0,3,bicycle,364,13.961882636659976,27.686862520489374,11.787961053533268
e0,4,car,515,61.48136776286973,85.66106022729242,69.40142517707925
e0,5,van,421,33.44038878208521,45.13186680348682,38.36814224703959
e0,6,truck,265,29.890185290098668,44.07634767173977,32.23479460250408
e0,7,tricycle,337,21.30034957277938,36.30044484161551,22.085332212047838
e0,8,awning-tricycle,219,11.366271988176807,16.88719898454465,12.620698300434693
e0,9,bus,130,47.25327861439351,61.04558797245969,55.56439086175916
e0,10,motor,485,28.535117724578214,58.49453555660116,23.810858930526937
e1,1,pedestrian,520,32.62802906637212,65.45796922081617,27.767896689082438
e1,2,people,482,22.239362540099656,51.39444262190462,14.958838610802733
e1,3,bicycle,364,15.555179959331792,31.194054219367395,12.974036823134577
e1,4,car,515,63.74220295611316,88.32532813646799,72.16444939563348
e1,5,van,421,34.565317767853124,47.07884392511379,39.94008651406282
e1,6,truck,265,31.480083965781574,46.40298150458626,34.71482654051531
e1,7,tricycle,337,22.01528178510265,37.497786108487674,22.940682785863356
e1,8,awning-tricycle,219,11.616071629876618,18.1715495047833,12.976642325394478
e1,9,bus,130,50.106900038226236,68.00080109202533,58.50125596451734
e1,10,motor,485,31.62814563248842,64.28582436443797,26.41450553352877
e10a,1,pedestrian,520,32.99928539575236,65.76893755301536,28.107737892921246
e10a,2,people,482,22.437910533097984,52.213572374106775,14.747836402212064
e10a,3,bicycle,364,15.755722145620942,31.64340064882071,13.113196807432672
e10a,4,car,515,63.48346002659891,87.89014677772067,71.98299551111155
e10a,5,van,421,34.40338558922592,46.77420336945661,39.351359640977016
e10a,6,truck,265,31.618319994938524,45.788797080502654,34.61983936289266
e10a,7,tricycle,337,23.034288081616026,38.80269195388964,25.042224500587896
e10a,8,awning-tricycle,219,12.261447074131635,18.96984478637249,13.61801327765729
e10a,9,bus,130,51.67302504558139,67.6669266380934,61.610599264469435
e10a,10,motor,485,31.758170128988002,64.28295937804542,27.597482936047147
e16a,1,pedestrian,520,33.02316004627967,65.59450756972367,28.78075692378339
e16a,2,people,482,22.55395018870356,52.43227820479475,15.053990505604403
e16a,3,bicycle,364,16.310239910346272,32.884370404227745,14.248010992117926
e16a,4,car,515,63.66316723867234,88.2202937936407,72.3767689093306
e16a,5,van,421,35.06638369971819,47.69372828255107,40.4171057205332
e16a,6,truck,265,31.99932723449107,46.98207243691684,35.24381051768205
e16a,7,tricycle,337,20.978444811922465,35.94745505651499,21.988853649991125
e16a,8,awning-tricycle,219,12.575905833200657,19.236512487930774,14.03923140728651
e16a,9,bus,130,50.033257799996235,64.79383633706016,57.678980986479125
e16a,10,motor,485,31.961746581981565,64.16016006903294,27.660199526279754
e21a,1,pedestrian,520,33.31790282125862,66.31541909954356,28.998091708851483
e21a,2,people,482,22.452259378017903,52.18706497649872,14.53235859810103
e21a,3,bicycle,364,16.927196675401568,33.738817678722434,14.20846201958156
e21a,4,car,515,63.69103032828082,88.2639057274696,72.09517212414428
e21a,5,van,421,35.904621676973235,48.44704385229252,41.556464958109665
e21a,6,truck,265,32.25970924370751,47.93101089998197,36.09661547084496
e21a,7,tricycle,337,21.98072738610727,38.014503172530326,23.527880202023663
e21a,8,awning-tricycle,219,12.483963211979374,19.154946877930946,13.947155395992757
e21a,9,bus,130,50.15870452688347,65.96711663164388,59.81081520106666
e21a,10,motor,485,31.917643995891304,64.62824373144812,27.603811177433933
e26a,1,pedestrian,520,33.00942534615946,65.7738649762727,28.86090387393222
e26a,2,people,482,22.245350773172433,51.878391134049515,14.601950877560524
e26a,3,bicycle,364,15.82679402185168,32.12196149170096,13.316272158898359
e26a,4,car,515,63.321395360041734,87.99924895036969,71.82201952171867
e26a,5,van,421,35.267589731814056,47.9839516078903,40.94915563643925
e26a,6,truck,265,30.83550336169561,45.55973534915523,34.449857927061025
e26a,7,tricycle,337,22.48980707746682,38.363065426594744,23.62532025938689
e26a,8,awning-tricycle,219,12.143895681843263,18.71091270145421,13.602308428598036
e26a,9,bus,130,50.84733011250336,66.63945163775813,59.24369391854623
e26a,10,motor,485,31.63702671916339,64.60666287674182,26.985156470626535
