rank,model,historical_status,official_AP50_95_percent,delta_vs_e1_pp,delta_vs_e0_pp,official_AP50_percent,official_AP75_percent,official_AR500_percent,score_band_vs_e1,old_ultralytics_mAP50_95_percent,old_custom_AP_all_percent,old_custom_AP_small_percent,old_custom_AP_medium_percent,old_custom_AP_large_percent,parameters,GFLOPs,completed_epochs,source_report
1,e18a,CLOSED,32.899390794320304,0.5596085035541947,3.006590676241334,55.30335694369229,33.03631598226762,45.8877296148236,GE_0.50_PP,34.251721266487664,31.707094291720367,22.977817183823028,42.70840987113614,53.40229244518323,10004140,92.22684672,200,/root/autodl-tmp/yolo11_project/comparison_reports/e18a_yolo11s_p2_dssg_fusion_ready_img1024_seed1_20260916_092026_524048
2,e21a,CLOSED,32.882966658855516,0.5431843680894062,2.9901665407765456,55.4839999980532,33.06365710435689,46.0728891729058,GE_0.50_PP,34.35641058011962,31.656709679317775,23.163662009054104,42.838655332793465,48.85745507937861,9779258,90.775617536,200,/root/autodl-tmp/yolo11_project/comparison_reports/e21a_yolo11s_p2_rsg_dssg_img1024_seed1_20260918_140258_356412
3,e15a,CLOSED,32.700417701462996,0.36063541069688654,2.807617583384026,55.06666415253347,32.730631404601695,46.23441628152678,0.35_TO_0.50_PP,34.22158685835074,31.441327578024225,22.9134011136647,42.376588680749656,56.056191353207566,9814987,95.546638336,200,/root/autodl-tmp/yolo11_project/comparison_reports/e15a_yolo11s_p2_dssg_p1sdi_img1024_seed1_20260913_110051_674341
4,e20b,CLOSED,32.67318058450478,0.3333982937386679,2.7803804664258074,54.93863165551516,32.940364987524084,46.1497277767359,0.20_TO_0.35_PP,34.23115827752446,31.49791498768074,22.63391791373835,42.75101784256224,56.601465534110176,9815389,95.4728448,200,/root/autodl-tmp/yolo11_project/comparison_reports/e20b_yolo11s_p2_tsdr_sdqc_img1024_seed1_20260917_161010_938452
5,e25a,CLOSED,32.63138107276741,0.2915987820013015,2.738580954688441,54.87532474227092,32.76400557206992,45.92914498693716,0.20_TO_0.35_PP,34.311643519181786,31.354167806039936,23.004814987117182,42.449903132047474,48.23818508046811,9779258,90.775617536,200,/root/autodl-tmp/yolo11_project/comparison_reports/e25a_yolo11s_p2_gi_rsg_dssg_img1024_seed1_20260920_113452_867783
6,e16a,CLOSED,32.59467758436964,0.254895293603532,2.7018774662906715,54.890887616578226,32.75437131240391,45.932877815666515,0.20_TO_0.35_PP,34.43069533029677,31.37579007022081,22.575069388305966,42.55794546689282,57.70781709544781,9814779,95.37257472,200,/root/autodl-tmp/yolo11_project/comparison_reports/e16a_yolo11s_p2_tsdr_img1024_seed1_20260914_082236_805369
7,e10a,SUPPORTING_RESULT,32.59348955334294,0.25370726257683174,2.700689435263971,54.890107715740854,32.67143892701981,45.950093372953646,0.20_TO_0.35_PP,34.11289446225219,31.499942108659134,22.891708626301423,42.48485316225591,56.63497620746415,9779258,90.775617536,200,/root/autodl-tmp/yolo11_project/comparison_reports/e10a_yolo11s_p2_dssg_img1024_seed1_20260910_222554_227195
8,e5a,CLOSED,32.588902903491615,0.24912061272550545,2.696102785412645,54.602664118642906,32.756106089451634,46.23543012143541,0.20_TO_0.35_PP,34.054018860481044,31.442908005116227,22.806988025044657,42.527851798177394,53.74622899583545,9687624,86.82405888,200,/root/autodl-tmp/yolo11_project/comparison_reports/e5a_yolo11s_p2_dysample_neck_img1024_seed1_20260907_151935_062203
9,e10clean,CLOSED,32.53949663591868,0.19971434515257158,2.646696517839711,54.91921661670629,32.54639193371627,45.83149747739539,0_TO_0.20_PP,34.09782853188705,31.2220421113405,22.75696872154603,42.40051089755394,55.765262769792,9750394,90.71689728,200,/root/autodl-tmp/yolo11_project/comparison_reports/e10clean_yolo11s_p2_hsdg_img1024_seed1_20260915_025225_131941
10,e26a,CLOSED,32.49609003955063,0.15630774878452058,2.60328992147166,54.980679010072336,32.632477234217866,45.950976853938926,0_TO_0.20_PP,33.866909153614806,31.34783190353494,22.741044475128785,42.18205632580767,51.13990838585018,10113974,91.190853632,200,/root/autodl-tmp/yolo11_project/comparison_reports/e26a_yolo11s_p2_terp_img1024_seed1_20260921_032017_958556
