model,class_id,class_name,images_with_class_weight,AP50_95_percent,AP50_percent,AP75_percent
e18a,1,pedestrian,520,33.515386081415706,66.24852903211725,29.08508364459839
e18a,2,people,482,22.416972431416017,52.12867439578783,14.974588791545534
e18a,3,bicycle,364,15.982029203309466,32.36521966166222,13.210639209140037
e18a,4,car,515,63.51719743914505,87.97066662477476,71.93870461009158
e18a,5,van,421,35.46248018344801,48.03506126907446,40.91049932724772
e18a,6,truck,265,32.75648289269498,47.58659475600674,35.37280302145602
e18a,7,tricycle,337,23.117933383925678,39.112240915377136,24.915781259012565
e18a,8,awning-tricycle,219,11.73622901883667,18.00551264218944,12.475081895584127
e18a,9,bus,130,51.47898447585375,68.12360047609658,59.957687627686425
e18a,10,motor,485,32.067439572291356,64.43206166558915,28.392525101442452
e21a,1,pedestrian,520,33.31790282125862,66.31541909954356,28.998091708851483
e21a,2,people,482,22.452259378017903,52.18706497649872,14.53235859810103
e21a,3,bicycle,364,16.927196675401568,33.738817678722434,14.20846201958156
e21a,4,car,515,63.69103032828082,88.2639057274696,72.09517212414428
e21a,5,van,421,35.904621676973235,48.44704385229252,41.556464958109665
e21a,6,truck,265,32.25970924370751,47.93101089998197,36.09661547084496
e21a,7,tricycle,337,21.98072738610727,38.014503172530326,23.527880202023663
e21a,8,awning-tricycle,219,12.483963211979374,19.154946877930946,13.947155395992757
e21a,9,bus,130,50.15870452688347,65.96711663164388,59.81081520106666
e21a,10,motor,485,31.917643995891304,64.62824373144812,27.603811177433933
e15a,1,pedestrian,520,33.59062611930303,66.07200770615817,29.71019962914902
e15a,2,people,482,22.566878481561616,51.91555880281407,15.05130885545026
e15a,3,bicycle,364,15.920691344012024,32.37209764736587,12.55194979170816
e15a,4,car,515,63.59786563817405,88.10961545448536,71.97424507844178
e15a,5,van,421,35.41029140073448,47.900703458232066,41.230103736421825
e15a,6,truck,265,32.09733131640596,46.84345098802673,36.3564918457957
e15a,7,tricycle,337,21.30180316046505,37.268614634320286,21.53622548069702
e15a,8,awning-tricycle,219,12.336126452652826,19.159735879161783,13.072845334031916
e15a,9,bus,130,49.86141869251502,65.361473285654,58.895750402590096
e15a,10,motor,485,32.09471884174622,64.87906034047461,27.294777104501645
e20b,1,pedestrian,520,32.99715948117459,65.56031804866522,28.682177410305993
e20b,2,people,482,22.103406341394017,51.19013796351256,15.141322358967763
e20b,3,bicycle,364,15.992618724633001,32.39709950452451,12.988534581166267
e20b,4,car,515,63.615011783788376,88.0542614951521,72.14522534878202
e20b,5,van,421,35.752053249786805,48.423785295296796,41.420894313076126
e20b,6,truck,265,31.92253058143927,46.36365312630095,35.84542080188725
e20b,7,tricycle,337,22.538459512590332,38.36701513386543,25.009899449545458
e20b,8,awning-tricycle,219,12.053400691388386,19.22029244899982,13.298063569544697
e20b,9,bus,130,50.299862816156235,64.72175360997335,58.93428475892668
e20b,10,motor,485,31.8592106354634,64.39085886890017,27.002711294068956
e25a,1,pedestrian,520,33.13969494359806,65.77349672929125,28.603034617602358
e25a,2,people,482,22.424603345493743,51.84131719809433,15.08791775744128
e25a,3,bicycle,364,15.567171056093121,30.96772444149647,12.9618742259855
e25a,4,car,515,63.63851524400887,88.06925297779365,72.31639852458706
e25a,5,van,421,34.86119224029487,47.38707476806994,40.23340142597483
e25a,6,truck,265,30.361380105022768,44.94641711857474,33.219265544496054
e25a,7,tricycle,337,23.416684477236124,39.68133320703181,24.73191778645598
e25a,8,awning-tricycle,219,12.8687114854004,19.29212709402508,14.688814524567176
e25a,9,bus,130,49.63994826976223,65.01999106546288,58.13132614525847
e25a,10,motor,485,32.18417573510848,64.73272317727049,27.86574137383514
e16a,1,pedestrian,520,33.02316004627967,65.59450756972367,28.78075692378339
