mode,source,policy,strength,AP_all,AP50,AP75,AP_small,AP_medium,AP_large,AR_all,delta_E9b_AP_all,delta_E9b_AP_small,seconds
dynamic_s025,D9d_new,dynamic,0.25,0.3120825873979634,0.5061150961050084,0.32115196456926204,0.22797927783866298,0.42117000220493567,0.5190507171574879,0.45134794787636373,-0.0006634184571302493,-0.0005180147052649409,17.24490714073181
dynamic_s050,D9d_new,dynamic,0.5,0.3124594243086637,0.5063320345279352,0.32067716114008,0.22825035620194462,0.421349786132334,0.5191028954350576,0.4508066034558158,-0.0002865815464299648,-0.00024693634198330594,16.063814744353294
dynamic_s075,D9d_new,dynamic,0.75,0.31263659892669254,0.5056127566744585,0.32097710220114817,0.22805437693881803,0.4219745296244516,0.5191761884786478,0.4508726347524371,-0.00010940692840111232,-0.0004429156051098948,15.127401180565357
f3_s025,D9d_new,f3,0.25,0.3118818791579177,0.5061080515717159,0.32067571422357577,0.2279364836032302,0.4213257613910422,0.5190761768463138,0.451719851217339,-0.0008641266971759487,-0.0005608089406977101,14.7382054887712
f3_s050,D9d_new,f3,0.5,0.31213360961457143,0.5063074637117516,0.32103715022367124,0.2280249454472031,0.42163305653830796,0.5190507171574879,0.4516576125362356,-0.0006123962405222283,-0.00047234709672483444,15.624274913221598
f3_s075,D9d_new,f3,0.75,0.3122379151743927,0.5063988977984905,0.32056214134402894,0.22803457425243331,0.42134281464272305,0.5191028954350576,0.4511019830184491,-0.0005080906807009566,-0.0004627182914946071,15.180938001722097
f5_s025,D9d_new,f5,0.25,0.3120203923534976,0.506222177796794,0.32100886929730965,0.2279642324641065,0.4214213751137313,0.5190761768463138,0.45158037881710605,-0.0007256135015960563,-0.0005330600798214291,15.421361859887838
f5_s050,D9d_new,f5,0.5,0.31225516010819265,0.5060959351433518,0.32009770480047584,0.22802130455159292,0.4213174625802439,0.5191028954350576,0.4509364089230205,-0.000490845746901003,-0.000475987992335003,18.514035154134035
f5_s075,D9d_new,f5,0.75,0.3125407224082734,0.5057976827329043,0.3204143698310621,0.22839946498581462,0.4216728699633481,0.5191028954350576,0.45098559316938913,-0.00020528344682024802,-9.782755811330035e-05,15.265367411077023
mix35_s025,D9d_new,mix35,0.25,0.31193529545575244,0.5062320338872346,0.3206529639145077,0.22793757824255056,0.42136237782952346,0.5190761768463138,0.4515533076233318,-0.000810710399341219,-0.0005597143013773564,18.15787372738123
mix35_s050,D9d_new,mix35,0.5,0.3119532394409834,0.5061334654122364,0.3200113833171397,0.22773958552291487,0.4210920503706268,0.5191028954350576,0.45078368853811024,-0.0007927664141102464,-0.0007577070210130488,15.453480910509825
mix35_s075,D9d_new,mix35,0.75,0.3125651720855232,0.50653953440073,0.3202590597534114,0.22846855755833373,0.42135638646887863,0.5191028954350576,0.4512434167809695,-0.00018083376957045427,-2.8734985594192075e-05,15.120835084468126
mix35_s100,D9d_new,mix35,1.0,0.31252728615608205,0.5057338760792737,0.3206904441463953,0.22832966222883433,0.42199652661174963,0.5191028954350576,0.45102866930107466,-0.0002187196990116047,-0.00016763031509359205,16.56720095872879
identity_s000,D9c_reused,identity,0.0,0.31127403773456247,0.505936236062734,0.32003945705574555,0.22783559243903143,0.42067317424554157,0.5190761768463138,0.4516758794375034,-0.0014719681205311863,-0.0006617001048964954,14.507405254989862
dynamic_s100,D9c_reused,dynamic,1.0,0.31234510670363264,0.5050230794904721,0.3204772306023634,0.22762556562733333,0.4216869979362776,0.5191757012598904,0.4507083809663204,-0.0004008991514610205,-0.0008717269165945951,30.956734586507082
f3_s100,D9c_reused,f3,1.0,0.3124647499969903,0.5060184923711465,0.3200399166645288,0.2283246023882456,0.42159459353568435,0.5191028954350576,0.4508091942070558,-0.0002812558581033464,-0.00017269015568233126,14.795630052685738
f5_s100,D9c_reused,f5,1.0,0.3126628171623738,0.5056770698079006,0.3208896008250626,0.2281674994065622,0.4219981540889408,0.5191761153318977,0.4513277570088011,-8.318869271983775e-05,-0.0003297931373657248,16.062543965876102
f7_s100,D9c_reused,f7,1.0,0.31220688803107016,0.5049066845271708,0.3204938219251962,0.22736699865304874,0.42173818390723233,0.5191757012598904,0.4505558084516996,-0.000539117824023494,-0.0011302938908791804,15.993508726358414
