model,mode,class,AP50_95,AP50,AP75,AP_small,AP_medium,AP_large,Precision_conf025_iou05,Recall_conf025_iou05
e1,full,pedestrian,0.318576065311967,0.6317608571319556,0.2733333400814642,0.28660049625376355,0.5093904173530085,0.7387026560840605,0.6925531914893617,0.5888738127544098
e1,full,people,0.22010139266716514,0.5028721682435642,0.15029440943217387,0.21196322510623092,0.3202131583731595,0.32442244224422445,0.6246124493202957,0.5110243902439024
e1,full,bicycle,0.1547936932268687,0.30495660534574565,0.13083475140704467,0.1168725938456449,0.32053790997319953,0.3227722772277228,0.41058394160583944,0.34965034965034963
e1,full,car,0.6298381756405402,0.8702494703112397,0.7127711852896086,0.47888549289067023,0.7426544355573462,0.8524888044775487,0.7864246964608628,0.8658276450511946
e1,full,van,0.34645774265052837,0.46860536664377617,0.3991061462525765,0.20020685993256881,0.4829566852826139,0.45865470168912653,0.5981682884945622,0.529113924050633
e1,full,truck,0.3114819140672018,0.4547700973244777,0.3435401750487844,0.1422285766451733,0.34874087593082276,0.6684773730982634,0.6243194192377496,0.45866666666666667
e1,full,tricycle,0.2197477069107079,0.3684333019813764,0.2291820902219523,0.1755963231492407,0.2902840986390858,0.4170174833723927,0.5182998819362455,0.4200956937799043
e1,full,awning-tricycle,0.11607821313495265,0.17853699847993143,0.12978739907867606,0.0928553097790357,0.15025482292702702,0.18712871287128707,0.3948220064724919,0.22932330827067668
e1,full,bus,0.487058781396313,0.6590094571884617,0.5672549899824707,0.27944267703192466,0.5882731607471325,0.8222183980997569,0.8082901554404145,0.6215139442231076
e1,full,motor,0.3087634536103601,0.6218883060083761,0.2605207747573532,0.2787283440668632,0.43668825983846243,0.2778847884788479,0.6290518638573744,0.6354891526811297
e1,sliced,pedestrian,0.3475157749249886,0.6875388609418918,0.2956006217015322,0.32505696613769197,0.4866986092343375,0.5405969686655391,0.6628746444979217,0.6852103120759837
e1,sliced,people,0.22650168516706673,0.5377721961462196,0.14347073440994465,0.223306924945328,0.2770464624202197,0.006919931123547138,0.6410621147463252,0.527609756097561
e1,sliced,bicycle,0.17722984368321493,0.36425568841313466,0.1530582260795209,0.14690421878998533,0.30841038120786257,0.02404526166902404,0.4386422976501306,0.3916083916083916
e1,sliced,car,0.6378097302197409,0.88303278360587,0.7208718134319455,0.5013730546647095,0.7417724389651162,0.814029191272345,0.7963212202781517,0.8834613196814562
