class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.6920822930462444,0.6103573043871552,0.665219087946707,0.3426203631427479
people,5125,0.6489056181230607,0.49209756097560975,0.529880898272988,0.23201985908390768
bicycle,1287,0.46592314509897487,0.31934731934731936,0.3314368684557305,0.16519538449555432
car,14064,0.8109051147798289,0.8577310513275164,0.8859559466838178,0.655529468690802
van,1975,0.6144275496945846,0.5468354430379747,0.571115081976046,0.4179924917183221
truck,750,0.597750529246326,0.43733333333333335,0.4758947431408629,0.3301433341811617
tricycle,1045,0.5109417543817453,0.4267942583732057,0.3991836070167341,0.23764113314143617
awning-tricycle,532,0.368746688464992,0.231203007518797,0.20762930691770334,0.13466995307964005
bus,251,0.8111089330994125,0.6294820717131474,0.7078564482429532,0.5442843088121256
motor,4886,0.6411355839993169,0.6326238231682357,0.6391933709158011,0.3249855823680345
