class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.6723172328059416,0.5305643610322996,0.5965141243691788,0.29768529630165425
people,5125,0.6640951905323594,0.41834146341463413,0.4708318165361481,0.1999578867939094
bicycle,1287,0.44026743539884594,0.28438228438228436,0.2961503360809831,0.1480038162323115
car,14064,0.7966760931096529,0.8450003553234112,0.8665157703471279,0.6386509795308969
van,1975,0.6132620785349379,0.5235443037974683,0.5440114357915778,0.395755478404814
truck,750,0.6025227009341383,0.4365702819403517,0.4778037031317308,0.32733776864043823
tricycle,1045,0.4893833349511159,0.4172248803827751,0.4030166585918272,0.24006534579349373
awning-tricycle,532,0.3436232809997309,0.22928408244244874,0.21025710802712358,0.13753852788581594
bus,251,0.7944222545688221,0.5976095617529881,0.6791877571190686,0.515361182835763
motor,4886,0.6105140413652125,0.5912812116250512,0.5978507575728356,0.2971166800426804
