                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5393,                 1.6346,                0.99232,                0.32397,                0.26133,                0.23032,                0.12957,                 1.4267,                 1.1699,                0.93465,               0.070074,              0.0033251,              0.0033251
                      2,                 1.4936,                 1.2075,                0.95276,                0.34514,                0.27734,                0.24676,                0.13864,                 1.4397,                 1.1612,                0.92928,               0.040074,               0.006658,               0.006658
                      3,                 1.5394,                  1.217,                 0.9585,                0.37414,                0.26885,                0.24813,                0.13992,                 1.4494,                 1.1583,                 0.9338,               0.010072,              0.0099893,              0.0099893
                      4,                 1.5434,                 1.1947,                0.96159,                0.35902,                0.26741,                0.25277,                0.14112,                 1.4766,                 1.1754,                0.94726,              0.0099945,              0.0099945,              0.0099945
                      5,                 1.5128,                 1.1702,                0.95436,                0.38002,                0.29891,                0.27882,                0.15644,                 1.4208,                 1.1023,                0.93245,              0.0099902,              0.0099902,              0.0099902
                      6,                 1.4916,                 1.1318,                0.94675,                0.37662,                0.29855,                0.27615,                0.15504,                 1.4329,                 1.0993,                0.93286,              0.0099847,              0.0099847,              0.0099847
                      7,                 1.4595,                 1.1063,                0.94323,                0.39285,                0.31605,                0.29082,                0.16246,                 1.4062,                 1.0913,                0.92633,               0.009978,               0.009978,               0.009978
                      8,                 1.4464,                 1.0848,                 0.9361,                0.40266,                0.31559,                0.29817,                0.16868,                 1.3658,                 1.0709,                0.92416,              0.0099701,              0.0099701,              0.0099701
                      9,                 1.4316,                 1.0736,                0.93487,                0.40982,                0.31592,                0.30602,                 0.1746,                  1.375,                 1.0492,                0.92294,               0.009961,               0.009961,               0.009961
                     10,                 1.4201,                 1.0525,                0.93308,                0.43017,                0.31754,                 0.3107,                 0.1805,                 1.3454,                 1.0436,                0.91779,              0.0099506,              0.0099506,              0.0099506
                     11,                 1.3986,                 1.0397,                0.92756,                0.43944,                0.32907,                0.32111,                0.18706,                 1.3302,                 1.0126,                0.91567,              0.0099391,              0.0099391,              0.0099391
                     12,                 1.3929,                 1.0276,                0.92614,                0.42216,                 0.3334,                0.32249,                0.18507,                 1.3393,                 1.0087,                0.91175,              0.0099263,              0.0099263,              0.0099263
                     13,                 1.3893,                 1.0187,                0.92364,                0.42983,                0.32838,                 0.3186,                0.18361,                 1.3398,                  1.015,                0.91427,              0.0099123,              0.0099123,              0.0099123
                     14,                 1.3678,                 1.0003,                0.91968,                0.44288,                0.33286,                0.32833,                0.19058,                 1.3202,                0.99674,                0.90891,              0.0098972,              0.0098972,              0.0098972
                     15,                 1.3713,                0.99811,                0.92039,                0.46053,                0.34479,                 0.3376,                0.19537,                 1.3165,                0.98853,                0.90775,              0.0098808,              0.0098808,              0.0098808
                     16,                 1.3658,                0.99247,                0.91844,                0.44812,                0.34468,                0.34148,                0.19698,                 1.3124,                0.97464,                0.90854,              0.0098632,              0.0098632,              0.0098632
                     17,                 1.3516,                0.97639,                0.91819,                0.45344,                0.34144,                0.33761,                0.19629,                  1.316,                0.97966,                0.90922,              0.0098445,              0.0098445,              0.0098445
                     18,                 1.3567,                0.97577,                0.91541,                0.44304,                0.34855,                0.34372,                0.20006,                 1.2984,                0.97132,                0.90638,              0.0098246,              0.0098246,              0.0098246
                     19,                 1.3444,                0.96716,                0.91365,                0.45689,                0.35194,                0.35064,                0.20411,                 1.3012,                0.96235,                 0.9069,              0.0098035,              0.0098035,              0.0098035
                     20,                 1.3402,                0.95746,                0.91474,                0.45845,                 0.3433,                0.34866,                0.20299,                 1.2979,                0.96093,                0.90386,              0.0097812,              0.0097812,              0.0097812
                     21,                 1.3325,                0.95521,                0.91149,                 0.4585,                0.34756,                0.34262,                0.19953,                 1.2986,                 0.9675,                0.90469,              0.0097577,              0.0097577,              0.0097577
                     22,                 1.3275,                0.94602,                0.90996,                0.44286,                0.34892,                0.34259,                0.20021,                 1.2969,                0.96424,                 0.9075,              0.0097331,              0.0097331,              0.0097331
                     23,                 1.3225,                0.93781,                0.90897,                0.45638,                0.35168,                0.34752,                 0.2026,                 1.2992,                0.95885,                0.90528,              0.0097074,              0.0097074,              0.0097074
                     24,                 1.3201,                0.93686,                0.90735,                0.46591,                0.35929,                0.35576,                 0.2073,                 1.2865,                0.94975,                0.90357,              0.0096804,              0.0096804,              0.0096804
