class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.6987701248010911,0.5961103573043871,0.661472978255263,0.3402565617450678
people,5125,0.6499825023170549,0.49229268292682926,0.5310491810215093,0.23439043602546636
bicycle,1287,0.4601667073747127,0.2975912975912976,0.31992478669316804,0.1601519435678737
car,14064,0.8204810941394548,0.8550910125142207,0.8858644838030113,0.657216352533714
van,1975,0.6165643533816418,0.5463127730105154,0.5675631178341061,0.41434675119692405
truck,750,0.6158544557334645,0.4488909425921777,0.493674000033875,0.34294923919375336
tricycle,1045,0.5165731204654154,0.42538124029219143,0.4189162151749754,0.24822048971470037
awning-tricycle,532,0.35513742603853476,0.212406015037594,0.21843467119038548,0.1412847778203919
bus,251,0.7721478703085011,0.649402390438247,0.7112037823975675,0.5432279625566304
motor,4886,0.6449020410391381,0.6221858370855505,0.6402360582436557,0.32463166521526077
