                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2103,                0.80598,                 1.0077,                0.61391,                0.50912,                0.54285,                0.33846,                 1.3072,                0.96048,                 1.0734,              0.0011224,             0.00099876,             0.00099876
                      2,                 1.2109,                0.80374,                 1.0084,                0.61308,                0.51235,                0.54007,                0.33553,                  1.309,                0.95842,                 1.0703,             0.00099753,             0.00099753,             0.00099753
                      3,                 1.2109,                0.79965,                 1.0087,                0.61188,                 0.5135,                0.54099,                0.33669,                  1.308,                0.95945,                 1.0714,             0.00099017,             0.00099017,             0.00099017
                      4,                 1.2071,                 0.7968,                 1.0085,                0.62015,                0.51158,                 0.5425,                0.33736,                 1.3088,                0.95832,                 1.0708,             0.00097798,             0.00097798,             0.00097798
                      5,                 1.2074,                0.79763,                 1.0088,                0.62138,                0.50978,                0.54168,                0.33657,                 1.3075,                0.95876,                  1.071,              0.0009611,              0.0009611,              0.0009611
                      6,                 1.2147,                0.80009,                 1.0099,                 0.6226,                0.51177,                0.54331,                0.33772,                 1.3095,                 0.9579,                 1.0721,             0.00093971,             0.00093971,             0.00093971
                      7,                 1.2139,                 0.8002,                 1.0101,                0.62109,                0.50806,                0.54327,                0.33755,                 1.3082,                 0.9567,                 1.0715,             0.00091406,             0.00091406,             0.00091406
                      8,                 1.2125,                0.79791,                 1.0092,                0.60944,                0.51736,                0.54268,                0.33721,                 1.3082,                0.95519,                 1.0713,             0.00088442,             0.00088442,             0.00088442
                      9,                 1.2106,                0.79861,                 1.0085,                0.62462,                0.50841,                0.54132,                0.33621,                 1.3073,                0.95749,                 1.0703,             0.00085111,             0.00085111,             0.00085111
                     10,                 1.2111,                0.79464,                 1.0088,                0.61438,                0.51452,                0.54053,                0.33585,                 1.3061,                0.95833,                 1.0711,              0.0008145,              0.0008145,              0.0008145
                     11,                 1.2112,                0.79671,                 1.0104,                0.62968,                0.50825,                0.54199,                0.33689,                 1.3069,                0.95764,                 1.0706,               0.000775,               0.000775,               0.000775
                     12,                 1.2151,                0.79808,                 1.0078,                0.61255,                0.51287,                0.54318,                0.33749,                  1.307,                0.95566,                 1.0693,             0.00073303,             0.00073303,             0.00073303
                     13,                 1.2128,                  0.797,                 1.0092,                0.61671,                0.50939,                0.54248,                0.33763,                 1.3078,                0.95665,                 1.0686,             0.00068906,             0.00068906,             0.00068906
                     14,                 1.2121,                0.79548,                 1.0097,                0.62495,                0.50846,                0.54292,                  0.338,                 1.3072,                0.95598,                 1.0705,             0.00064356,             0.00064356,             0.00064356
                     15,                 1.2151,                0.79792,                 1.0105,                0.62765,                0.50505,                0.54402,                0.33853,                  1.308,                0.95319,                 1.0704,             0.00059704,             0.00059704,             0.00059704
                     16,                 1.2059,                0.79171,                 1.0074,                0.61553,                0.51272,                0.54436,                0.33879,                 1.3077,                0.95498,                 1.0707,                0.00055,                0.00055,                0.00055
                     17,                  1.213,                0.79542,                 1.0093,                0.62655,                0.50636,                0.54207,                0.33714,                 1.3076,                0.95544,                 1.0706,             0.00050296,             0.00050296,             0.00050296
                     18,                  1.213,                0.79446,                 1.0085,                0.62479,                0.50879,                0.54323,                0.33844,                 1.3071,                0.95464,                 1.0709,             0.00045644,             0.00045644,             0.00045644
                     19,                  1.209,                0.79361,                 1.0067,                0.62304,                0.50967,                0.54354,                 0.3385,                 1.3069,                0.95359,                 1.0691,             0.00041094,             0.00041094,             0.00041094
                     20,                 1.2069,                0.79001,                 1.0093,                0.62134,                0.51066,                0.54296,                0.33785,                 1.3082,                0.95488,                 1.0702,             0.00036697,             0.00036697,             0.00036697
                     21,                 1.2127,                0.79418,                 1.0098,                0.62235,                0.51112,                0.54231,                0.33799,                 1.3067,                0.95458,                 1.0696,               0.000325,               0.000325,               0.000325
                     22,                 1.2112,                0.79143,                 1.0117,                0.60937,                0.51718,                0.54371,                0.33888,                 1.3073,                0.95362,                 1.0697,              0.0002855,              0.0002855,              0.0002855
                     23,                 1.2082,                0.79379,                 1.0085,                0.62388,                0.51083,                0.54399,                0.33876,                 1.3072,                0.95347,                 1.0703,             0.00024889,             0.00024889,             0.00024889
                     24,                 1.2025,                0.78729,                 1.0052,                0.61934,                 0.5103,                0.54388,                0.33899,                 1.3073,                0.95329,                 1.0703,             0.00021558,             0.00021558,             0.00021558
                     25,                 1.2085,                0.79184,                 1.0078,                0.62796,                0.50718,                0.54388,                0.33871,                 1.3074,                0.95268,                 1.0704,             0.00018594,             0.00018594,             0.00018594
                     26,                  1.205,                0.76412,                 1.0131,                0.61539,                0.51241,                0.54332,                0.33841,                 1.3065,                0.95399,                 1.0697,             0.00016029,             0.00016029,             0.00016029
                     27,                 1.2024,                0.76271,                 1.0116,                0.61053,                0.51463,                0.54384,                0.33883,                 1.3071,                0.95264,                 1.0697,              0.0001389,              0.0001389,              0.0001389
                     28,                 1.2029,                0.76263,                 1.0135,                0.61945,                 0.5108,                0.54312,                0.33832,                 1.3063,                0.95347,                 1.0697,             0.00012202,             0.00012202,             0.00012202
                     29,                  1.202,                0.76154,                  1.013,                0.61523,                0.51387,                0.54361,                0.33862,                 1.3069,                0.95408,                 1.0712,             0.00010983,             0.00010983,             0.00010983
                     30,                 1.2026,                0.76064,                 1.0132,                0.62139,                0.51247,                0.54333,                0.33865,                 1.3067,                0.95402,                 1.0705,             0.00010247,             0.00010247,             0.00010247
