class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.6917121510096866,0.6006331976481231,0.6614785062272082,0.3397938274580462
people,5125,0.6430112042837633,0.49697560975609756,0.5341780048656095,0.23631285294375223
bicycle,1287,0.45041320010813984,0.2913752913752914,0.32162514082593546,0.16070578611943415
car,14064,0.8111008128268438,0.8587172923777019,0.885328792186634,0.6564340686771439
van,1975,0.6106307204991711,0.5432911392405063,0.5641828065385068,0.4123920643961435
truck,750,0.6250299563224044,0.452,0.49401609738457847,0.3432838830791166
tricycle,1045,0.5201647658756263,0.43636363636363634,0.4182736005156414,0.24922513230064364
awning-tricycle,532,0.3662647005524082,0.22556390977443608,0.2245036414044635,0.1449622102336175
bus,251,0.7751154571547044,0.6374501992031872,0.7127998616135233,0.5425761807141142
motor,4886,0.640237979208068,0.6264838313548915,0.6419857558960003,0.3256034403032065
