                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4244,                 1.5182,                 1.0239,                 0.4288,                0.36104,                 0.3459,                 0.2063,                 1.3252,                 1.0889,                0.98232,               0.070037,              0.0033292,              0.0033292
                      2,                 1.3843,                 1.1832,                0.99136,                0.46316,                0.38029,                0.36513,                0.21817,                 1.3127,                 1.0818,                0.97899,               0.040037,              0.0066621,              0.0066621
                      3,                 1.4146,                 1.1772,                0.99473,                0.44704,                0.36591,                0.35539,                0.20876,                 1.3551,                 1.1323,                 1.0003,               0.010035,              0.0099934,              0.0099934
                      4,                 1.4208,                 1.1611,                 1.0011,                0.47725,                 0.3827,                0.38428,                 0.2271,                 1.3383,                  1.065,                0.99075,              0.0099945,              0.0099945,              0.0099945
                      5,                 1.3929,                 1.1196,                0.99195,                 0.4805,                0.38967,                0.39148,                0.23335,                 1.3141,                 1.0379,                0.98024,              0.0099902,              0.0099902,              0.0099902
                      6,                 1.3805,                 1.0881,                0.98688,                0.47116,                0.39514,                0.39453,                0.23659,                 1.3035,                 1.0341,                0.97994,              0.0099847,              0.0099847,              0.0099847
                      7,                 1.4227,                 1.1456,                 1.0012,                0.49876,                0.38956,                0.39423,                0.23889,                 1.4273,                 1.2044,                 1.0408,               0.009978,               0.009978,               0.009978
                      8,                 1.5073,                  1.255,                 1.0432,                  0.514,                0.41348,                 0.4225,                 0.2578,                 1.4213,                   1.18,                 1.0565,              0.0099701,              0.0099701,              0.0099701
                      9,                 1.4926,                 1.2413,                 1.0485,                0.51253,                0.41258,                  0.421,                0.25488,                 1.4086,                  1.179,                 1.0492,               0.009961,               0.009961,               0.009961
                     10,                 1.4791,                 1.2163,                 1.0491,                0.51855,                0.41301,                0.42721,                0.26082,                 1.3972,                 1.1628,                 1.0517,              0.0099506,              0.0099506,              0.0099506
                     11,                 1.4662,                 1.2013,                 1.0514,                 0.5298,                0.42802,                0.44386,                0.26948,                 1.3858,                 1.1497,                 1.0497,              0.0099391,              0.0099391,              0.0099391
                     12,                 1.4619,                 1.1868,                 1.0491,                0.54532,                0.43182,                  0.453,                0.27397,                 1.3853,                 1.1377,                 1.0541,              0.0099263,              0.0099263,              0.0099263
                     13,                 1.4492,                 1.1693,                 1.0505,                 0.5546,                0.43823,                0.45671,                0.27797,                 1.3862,                 1.1309,                 1.0611,              0.0099123,              0.0099123,              0.0099123
                     14,                 1.4383,                   1.15,                 1.0492,                0.54317,                0.43243,                0.45312,                0.27895,                 1.3713,                 1.1138,                 1.0577,              0.0098972,              0.0098972,              0.0098972
