class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.7058918470253056,0.590529043238721,0.6602390009051776,0.34027898300877557
people,5125,0.6473113254783063,0.49241415700428826,0.5307029276466249,0.23535878115982922
bicycle,1287,0.4905911646143356,0.3165303589990571,0.3418376640453027,0.16942766344601862
car,14064,0.8182756564062119,0.8560864618885097,0.8871034327901741,0.6564487776217234
van,1975,0.6174232922753431,0.5377215189873418,0.5701448972643948,0.4188041772286291
truck,750,0.6298901193602922,0.43733333333333335,0.4831592798029365,0.33863702185284644
tricycle,1045,0.5342897556153613,0.4143540669856459,0.42141790834930715,0.25194267163518996
awning-tricycle,532,0.3897520703912,0.23308270676691728,0.22402012662071608,0.14177837839754956
bus,251,0.7899490884279845,0.6143090233910767,0.7013644693593252,0.5305305605242847
motor,4886,0.6451641270851661,0.6381498158002455,0.6479370144654051,0.3265758383138583
