                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4246,                 1.5171,                 1.0245,                0.43588,                0.35609,                0.34578,                 0.2057,                 1.3308,                 1.0947,                0.98243,               0.070037,              0.0033292,              0.0033292
                      2,                 1.3827,                 1.1817,                0.99156,                0.46929,                0.38327,                0.37405,                0.22317,                 1.3078,                 1.0784,                 0.9762,               0.040037,              0.0066621,              0.0066621
                      3,                 1.4159,                 1.1759,                0.99625,                0.43696,                0.35679,                0.33963,                0.20064,                 1.3696,                 1.2104,                 1.0054,               0.010035,              0.0099934,              0.0099934
                      4,                 1.4208,                 1.1596,                  1.001,                0.47587,                 0.3783,                 0.3806,                0.22233,                  1.339,                 1.0689,                0.98532,              0.0099945,              0.0099945,              0.0099945
                      5,                 1.3906,                 1.1186,                0.99106,                0.48821,                0.39562,                0.39904,                0.23686,                 1.3123,                 1.0313,                0.98277,              0.0099902,              0.0099902,              0.0099902
                      6,                 1.3816,                 1.0859,                0.98811,                0.47632,                0.39433,                 0.3953,                0.23542,                 1.3077,                 1.0385,                0.98382,              0.0099847,              0.0099847,              0.0099847
                      7,                 1.4101,                  1.128,                0.99703,                0.48071,                0.39859,                0.39775,                0.24272,                 1.3964,                 1.1828,                 1.0303,               0.009978,               0.009978,               0.009978
                      8,                 1.5043,                 1.2506,                 1.0399,                0.51361,                0.40597,                0.41666,                0.25333,                 1.4323,                 1.1913,                 1.0581,              0.0099701,              0.0099701,              0.0099701
                      9,                 1.4938,                 1.2421,                 1.0479,                0.52792,                0.41767,                0.42949,                0.26191,                  1.404,                 1.1675,                  1.049,               0.009961,               0.009961,               0.009961
                     10,                 1.4817,                 1.2155,                 1.0498,                0.53963,                0.41445,                0.43355,                 0.2637,                 1.3958,                 1.1521,                  1.047,              0.0099506,              0.0099506,              0.0099506
                     11,                 1.4663,                 1.2029,                 1.0512,                0.53651,                0.42797,                 0.4446,                0.27179,                 1.3848,                 1.1513,                 1.0521,              0.0099391,              0.0099391,              0.0099391
                     12,                 1.4601,                 1.1862,                 1.0487,                0.54016,                0.43394,                0.45045,                 0.2744,                 1.3865,                 1.1372,                 1.0531,              0.0099263,              0.0099263,              0.0099263
                     13,                 1.4495,                 1.1694,                 1.0502,                0.55599,                0.43836,                0.45424,                0.27514,                 1.3853,                  1.123,                 1.0576,              0.0099123,              0.0099123,              0.0099123
                     14,                 1.4384,                  1.152,                 1.0496,                0.54013,                0.43908,                0.45909,                0.27911,                 1.3713,                 1.1115,                 1.0562,              0.0098972,              0.0098972,              0.0098972
                     15,                 1.4352,                 1.1482,                 1.0498,                 0.5357,                0.44452,                 0.4563,                0.27712,                 1.3837,                 1.1204,                 1.0608,              0.0098808,              0.0098808,              0.0098808
