class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.6932185440427157,0.5996155585707824,0.6606699625596538,0.3396545883679233
people,5125,0.6409509101411981,0.496,0.5328481471907605,0.2358720739900452
bicycle,1287,0.4561834559693524,0.29603729603729606,0.32218891000363203,0.1604746333696738
car,14064,0.8106027946077061,0.8592861205915814,0.8852862410874596,0.6561572866186658
van,1975,0.6076227394607702,0.5465072370533366,0.5644733666709041,0.4122953249838148
truck,750,0.6170752652691691,0.452,0.49285676289131697,0.3433695395092287
tricycle,1045,0.5197037062364683,0.43923444976076553,0.41877905121344927,0.24968528175233562
awning-tricycle,532,0.3629604123750599,0.231203007518797,0.22503333096745917,0.14512085616551523
bus,251,0.767576809801863,0.6414342629482072,0.7139809736970959,0.543425301807483
motor,4886,0.63691125483475,0.6285304952926729,0.6415309756550628,0.3250926239936427
