                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.209,                0.79967,                 1.0075,                0.61077,                0.51746,                0.54437,                0.33885,                  1.307,                0.95644,                   1.07,              0.0011224,             0.00099876,             0.00099876
                      2,                 1.2098,                0.80119,                 1.0078,                0.61029,                0.51655,                 0.5444,                0.33886,                 1.3069,                0.95626,                 1.0697,             0.00099753,             0.00099753,             0.00099753
                      3,                 1.2097,                0.79868,                 1.0082,                0.61146,                0.51725,                0.54456,                0.33918,                 1.3062,                0.95664,                 1.0696,             0.00099017,             0.00099017,             0.00099017
                      4,                  1.206,                0.79606,                 1.0079,                0.61298,                0.51589,                0.54433,                0.33902,                 1.3065,                0.95712,                 1.0697,             0.00097798,             0.00097798,             0.00097798
                      5,                 1.2061,                0.79789,                 1.0083,                0.61062,                0.51782,                0.54448,                0.33912,                 1.3061,                0.95653,                 1.0694,              0.0009611,              0.0009611,              0.0009611
                      6,                 1.2139,                0.80085,                 1.0093,                0.61144,                0.51696,                0.54452,                0.33925,                 1.3058,                0.95671,                 1.0695,             0.00093971,             0.00093971,             0.00093971
                      7,                 1.2128,                0.80158,                 1.0095,                0.61421,                 0.5152,                0.54398,                0.33847,                 1.3072,                0.95788,                 1.0701,             0.00091406,             0.00091406,             0.00091406
                      8,                 1.2113,                0.80023,                 1.0086,                0.60933,                0.51718,                0.54449,                0.33901,                  1.306,                0.95642,                 1.0692,             0.00088442,             0.00088442,             0.00088442
                      9,                 1.2096,                0.80121,                 1.0078,                0.61528,                0.51452,                0.54413,                0.33875,                 1.3065,                0.95786,                 1.0698,             0.00085111,             0.00085111,             0.00085111
                     10,                 1.2102,                0.79704,                 1.0082,                0.61643,                0.51407,                0.54458,                0.33915,                 1.3063,                0.95734,                 1.0697,              0.0008145,              0.0008145,              0.0008145
                     11,                 1.2103,                0.79933,                 1.0099,                0.61606,                0.51342,                0.54431,                0.33889,                 1.3066,                0.95766,                 1.0698,               0.000775,               0.000775,               0.000775
                     12,                 1.2142,                0.80168,                 1.0073,                0.61939,                0.51142,                0.54399,                0.33866,                 1.3066,                0.95788,                 1.0698,             0.00073303,             0.00073303,             0.00073303
                     13,                  1.212,                0.80019,                 1.0088,                0.61645,                0.51319,                0.54386,                0.33835,                 1.3072,                0.95826,                   1.07,             0.00068906,             0.00068906,             0.00068906
                     14,                 1.2112,                0.79928,                  1.009,                0.61721,                0.51334,                0.54391,                0.33843,                 1.3072,                0.95799,                   1.07,             0.00064356,             0.00064356,             0.00064356
                     15,                 1.2143,                0.80202,                 1.0097,                0.61161,                0.51654,                0.54417,                0.33903,                 1.3062,                0.95682,                 1.0693,             0.00059704,             0.00059704,             0.00059704
                     16,                  1.205,                 0.7962,                 1.0068,                0.61621,                 0.5134,                0.54373,                 0.3383,                 1.3073,                0.95898,                 1.0703,                0.00055,                0.00055,                0.00055
                     17,                 1.2122,                0.79998,                 1.0086,                0.61424,                0.51544,                0.54441,                0.33917,                 1.3065,                0.95705,                 1.0695,             0.00050296,             0.00050296,             0.00050296
                     18,                 1.2123,                0.79945,                 1.0079,                0.61406,                0.51546,                0.54423,                0.33894,                 1.3065,                0.95722,                 1.0696,             0.00045644,             0.00045644,             0.00045644
                     19,                 1.2084,                0.79832,                 1.0061,                0.61569,                0.51431,                 0.5442,                0.33899,                 1.3066,                0.95707,                 1.0696,             0.00041094,             0.00041094,             0.00041094
                     20,                 1.2062,                0.79544,                 1.0087,                0.61802,                0.51208,                0.54405,                0.33867,                 1.3071,                0.95759,                 1.0698,             0.00036697,             0.00036697,             0.00036697
                     21,                 1.2121,                0.79975,                 1.0092,                0.61658,                0.51443,                0.54434,                0.33896,                 1.3063,                0.95741,                 1.0694,               0.000325,               0.000325,               0.000325
                     22,                 1.2106,                0.79735,                 1.0113,                0.61511,                0.51475,                0.54395,                 0.3387,                 1.3066,                0.95748,                 1.0696,              0.0002855,              0.0002855,              0.0002855
                     23,                 1.2075,                0.79946,                 1.0082,                0.61683,                 0.5131,                0.54413,                 0.3389,                 1.3067,                0.95761,                 1.0697,             0.00024889,             0.00024889,             0.00024889
                     24,                  1.202,                0.79374,                 1.0048,                0.61625,                0.51382,                0.54407,                0.33873,                 1.3067,                0.95738,                 1.0696,             0.00021558,             0.00021558,             0.00021558
                     25,                 1.2079,                0.79812,                 1.0074,                0.61237,                0.51646,                0.54423,                0.33888,                 1.3062,                0.95675,                 1.0693,             0.00018594,             0.00018594,             0.00018594
                     26,                  1.204,                0.77105,                 1.0128,                0.61002,                0.51758,                0.54467,                0.33913,                 1.3057,                0.95704,                 1.0692,             0.00016029,             0.00016029,             0.00016029
                     27,                 1.2009,                0.77043,                 1.0109,                0.60715,                0.51814,                0.54454,                 0.3391,                  1.306,                0.95703,                 1.0694,              0.0001389,              0.0001389,              0.0001389
                     28,                 1.2012,                0.77065,                  1.013,                 0.6078,                0.51833,                0.54444,                0.33895,                 1.3064,                 0.9577,                 1.0698,             0.00012202,             0.00012202,             0.00012202
                     29,                 1.2006,                0.76936,                 1.0119,                 0.6091,                0.51784,                 0.5446,                0.33911,                 1.3056,                 0.9569,                 1.0691,             0.00010983,             0.00010983,             0.00010983
                     30,                 1.2011,                0.76891,                 1.0125,                0.60916,                0.51804,                0.54455,                0.33904,                 1.3059,                 0.9575,                 1.0695,             0.00010247,             0.00010247,             0.00010247
