class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.6948756641140765,0.5983717774762551,0.661055811940817,0.339214638007001
people,5125,0.6475786962174901,0.4946341463414634,0.5332035432388068,0.23530251005128489
bicycle,1287,0.45546452021910483,0.29836829836829837,0.3237864849745812,0.16164921227143308
car,14064,0.8129401736651042,0.856797497155859,0.8857571798953914,0.6567629898125261
van,1975,0.6089515450627828,0.5453164556962026,0.5643800955922735,0.41219035617709165
truck,750,0.6237421223033259,0.448698733120565,0.49237630810917266,0.3427832601245618
tricycle,1045,0.5138583361307905,0.44019138755980863,0.41924085230043984,0.2495051298504804
awning-tricycle,532,0.36467249176709093,0.22556390977443608,0.2244838014965183,0.14437885510891846
bus,251,0.7790662576188025,0.6454183266932271,0.7128400104479533,0.5437961978301752
motor,4886,0.6468529237412217,0.6195251739664347,0.641901462359886,0.3254017244418979
