                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2097,                0.79792,                 1.0078,                0.61158,                0.51807,                 0.5447,                0.33912,                 1.3083,                 0.9553,                 1.0705,              0.0011224,             0.00099876,             0.00099876
                      2,                 1.2107,                0.79886,                 1.0082,                0.61372,                0.51559,                0.54443,                0.33873,                 1.3088,                0.95603,                 1.0709,             0.00099753,             0.00099753,             0.00099753
                      3,                 1.2106,                0.79614,                 1.0088,                0.61528,                0.51535,                0.54442,                0.33885,                 1.3087,                0.95626,                 1.0707,             0.00099017,             0.00099017,             0.00099017
                      4,                 1.2069,                0.79384,                 1.0084,                0.61837,                0.51357,                 0.5447,                0.33903,                 1.3082,                0.95625,                 1.0708,             0.00097798,             0.00097798,             0.00097798
                      5,                 1.2072,                0.79532,                 1.0089,                0.61528,                0.51442,                0.54458,                 0.3391,                 1.3086,                0.95618,                 1.0707,              0.0009611,              0.0009611,              0.0009611
                      6,                  1.215,                0.79824,                 1.0099,                0.61625,                0.51492,                0.54442,                0.33914,                 1.3081,                0.95618,                 1.0707,             0.00093971,             0.00093971,             0.00093971
                      7,                  1.214,                0.79911,                 1.0102,                0.61873,                0.51355,                0.54454,                0.33904,                 1.3079,                0.95618,                 1.0706,             0.00091406,             0.00091406,             0.00091406
                      8,                 1.2124,                0.79741,                 1.0092,                0.61548,                0.51555,                0.54459,                0.33886,                 1.3082,                 0.9566,                 1.0711,             0.00088442,             0.00088442,             0.00088442
                      9,                 1.2108,                0.79858,                 1.0086,                0.61703,                0.51468,                0.54478,                0.33923,                 1.3074,                0.95637,                 1.0707,             0.00085111,             0.00085111,             0.00085111
                     10,                 1.2113,                0.79436,                  1.009,                0.61737,                0.51388,                0.54455,                0.33905,                 1.3081,                0.95621,                 1.0709,              0.0008145,              0.0008145,              0.0008145
                     11,                 1.2113,                0.79679,                 1.0106,                0.61573,                0.51575,                0.54437,                0.33891,                 1.3092,                0.95611,                 1.0707,               0.000775,               0.000775,               0.000775
                     12,                 1.2156,                0.79879,                  1.008,                  0.617,                0.51389,                0.54476,                0.33895,                 1.3084,                 0.9566,                  1.071,             0.00073303,             0.00073303,             0.00073303
                     13,                  1.213,                0.79756,                 1.0095,                 0.6179,                 0.5127,                0.54463,                0.33898,                 1.3077,                0.95616,                 1.0708,             0.00068906,             0.00068906,             0.00068906
                     14,                 1.2124,                0.79671,                 1.0099,                0.61822,                 0.5127,                0.54428,                0.33884,                  1.308,                0.95644,                  1.071,             0.00064356,             0.00064356,             0.00064356
                     15,                 1.2155,                0.79941,                 1.0105,                0.61797,                0.51411,                0.54462,                0.33912,                  1.308,                0.95665,                  1.071,             0.00059704,             0.00059704,             0.00059704
                     16,                 1.2062,                0.79351,                 1.0075,                0.61604,                0.51509,                0.54467,                 0.3391,                 1.3081,                0.95599,                 1.0707,                0.00055,                0.00055,                0.00055
                     17,                 1.2133,                0.79719,                 1.0093,                0.61144,                0.51879,                0.54446,                  0.339,                 1.3085,                0.95623,                 1.0709,             0.00050296,             0.00050296,             0.00050296
                     18,                 1.2135,                0.79694,                 1.0088,                0.61507,                0.51562,                0.54453,                0.33919,                 1.3084,                0.95627,                 1.0709,             0.00045644,             0.00045644,             0.00045644
                     19,                 1.2094,                0.79575,                 1.0069,                0.61383,                0.51623,                0.54445,                0.33898,                 1.3082,                0.95629,                 1.0709,             0.00041094,             0.00041094,             0.00041094
                     20,                 1.2072,                0.79288,                 1.0095,                0.61688,                0.51379,                0.54451,                0.33916,                 1.3081,                0.95638,                 1.0706,             0.00036697,             0.00036697,             0.00036697
                     21,                 1.2132,                0.79726,                   1.01,                0.61599,                0.51462,                0.54439,                0.33893,                 1.3081,                0.95651,                 1.0709,               0.000325,               0.000325,               0.000325
                     22,                 1.2119,                0.79477,                 1.0121,                0.61472,                0.51515,                0.54446,                0.33914,                 1.3082,                0.95658,                 1.0708,              0.0002855,              0.0002855,              0.0002855
                     23,                 1.2086,                0.79679,                 1.0089,                0.61616,                0.51529,                0.54494,                0.33926,                 1.3077,                0.95638,                 1.0705,             0.00024889,             0.00024889,             0.00024889
                     24,                  1.203,                0.79099,                 1.0053,                0.61791,                0.51392,                0.54465,                 0.3391,                 1.3081,                0.95647,                 1.0708,             0.00021558,             0.00021558,             0.00021558
                     25,                  1.209,                0.79558,                 1.0082,                0.61356,                0.51662,                0.54443,                 0.3391,                  1.308,                0.95615,                 1.0706,             0.00018594,             0.00018594,             0.00018594
                     26,                 1.2056,                0.76782,                 1.0135,                0.61533,                0.51534,                0.54457,                0.33889,                 1.3082,                0.95681,                 1.0707,             0.00016029,             0.00016029,             0.00016029
                     27,                 1.2026,                0.76707,                 1.0115,                0.61237,                0.51824,                0.54404,                 0.3385,                 1.3082,                0.95728,                 1.0708,              0.0001389,              0.0001389,              0.0001389
                     28,                 1.2027,                0.76755,                 1.0137,                0.61344,                0.51589,                0.54394,                0.33862,                 1.3082,                0.95727,                 1.0707,             0.00012202,             0.00012202,             0.00012202
                     29,                 1.2019,                0.76654,                 1.0126,                0.61146,                0.51747,                0.54408,                0.33854,                 1.3085,                0.95731,                 1.0708,             0.00010983,             0.00010983,             0.00010983
                     30,                 1.2023,                0.76569,                  1.013,                0.61253,                0.51765,                0.54412,                0.33869,                 1.3084,                0.95724,                 1.0708,             0.00010247,             0.00010247,             0.00010247
