class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.6921482943522571,0.604279746947242,0.6618570455048484,0.33969704244392224
people,5125,0.6332427997554817,0.49834146341463414,0.532604308021262,0.23380961344218565
bicycle,1287,0.44797156615492817,0.30833263377481074,0.3225954972121391,0.1618939546579154
car,14064,0.8189818189754698,0.8551621160409556,0.8854830418991211,0.6574431272225294
van,1975,0.6160044560279408,0.5463291139240506,0.5674677352082985,0.4146391862656529
truck,750,0.6235198469019197,0.44266666666666665,0.48922702419885833,0.34129060483300827
tricycle,1045,0.5096003066222728,0.4325358851674641,0.4148264218339363,0.24597176231964663
awning-tricycle,532,0.3720308962375866,0.2274436090225564,0.2193768140962851,0.14136764350024308
bus,251,0.7766373845141699,0.6613545816733067,0.7123936792838734,0.5426974487804358
motor,4886,0.6550825004485851,0.6149414861046044,0.6411986468943351,0.32602983543567693
