                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2103,                0.80584,                 1.0076,                0.61213,                0.51173,                0.54279,                0.33829,                 1.3077,                0.95991,                 1.0734,              0.0011224,             0.00099876,             0.00099876
                      2,                 1.2109,                0.80363,                 1.0085,                0.61587,                0.50961,                0.53951,                0.33492,                 1.3088,                0.95868,                 1.0693,             0.00099753,             0.00099753,             0.00099753
                      3,                 1.2108,                0.79937,                 1.0084,                0.61202,                0.51409,                0.54109,                0.33665,                 1.3075,                0.96009,                 1.0707,             0.00099017,             0.00099017,             0.00099017
                      4,                 1.2071,                0.79659,                 1.0085,                0.61981,                0.51313,                0.54208,                0.33692,                 1.3083,                0.95908,                 1.0713,             0.00097798,             0.00097798,             0.00097798
                      5,                 1.2074,                0.79725,                 1.0086,                0.62161,                0.50967,                0.54232,                0.33705,                 1.3082,                0.95843,                 1.0709,              0.0009611,              0.0009611,              0.0009611
                      6,                 1.2147,                0.79961,                 1.0099,                0.62345,                0.51078,                0.54389,                0.33796,                 1.3093,                 0.9578,                  1.072,             0.00093971,             0.00093971,             0.00093971
                      7,                 1.2138,                0.79978,                 1.0101,                 0.6231,                0.50798,                0.54358,                0.33753,                 1.3085,                  0.957,                 1.0712,             0.00091406,             0.00091406,             0.00091406
                      8,                 1.2124,                0.79727,                 1.0091,                0.61316,                0.51425,                 0.5434,                0.33746,                 1.3084,                0.95519,                  1.071,             0.00088442,             0.00088442,             0.00088442
                      9,                 1.2106,                0.79807,                 1.0084,                0.62068,                0.51033,                0.54204,                0.33659,                 1.3074,                0.95773,                 1.0699,             0.00085111,             0.00085111,             0.00085111
                     10,                  1.211,                0.79408,                 1.0089,                0.61734,                0.51326,                0.54086,                 0.3358,                 1.3063,                0.95853,                  1.071,              0.0008145,              0.0008145,              0.0008145
                     11,                 1.2113,                 0.7961,                 1.0103,                0.62669,                0.50938,                0.54268,                0.33723,                 1.3062,                0.95809,                 1.0699,               0.000775,               0.000775,               0.000775
                     12,                 1.2151,                0.79743,                 1.0077,                0.61664,                0.50946,                0.54278,                0.33695,                 1.3072,                0.95631,                 1.0693,             0.00073303,             0.00073303,             0.00073303
                     13,                 1.2127,                0.79626,                 1.0093,                0.62276,                 0.5054,                0.54288,                0.33792,                 1.3075,                0.95714,                 1.0687,             0.00068906,             0.00068906,             0.00068906
                     14,                  1.212,                0.79455,                 1.0098,                 0.6161,                0.51093,                0.54338,                0.33804,                 1.3069,                0.95575,                 1.0705,             0.00064356,             0.00064356,             0.00064356
                     15,                 1.2151,                0.79691,                 1.0106,                 0.6253,                0.50621,                0.54451,                0.33858,                 1.3083,                0.95324,                 1.0708,             0.00059704,             0.00059704,             0.00059704
                     16,                 1.2059,                0.79074,                 1.0075,                0.61889,                0.51362,                0.54432,                0.33859,                 1.3078,                0.95482,                 1.0706,                0.00055,                0.00055,                0.00055
                     17,                  1.213,                0.79421,                 1.0093,                0.62466,                0.50606,                0.54252,                0.33735,                 1.3071,                0.95568,                 1.0699,             0.00050296,             0.00050296,             0.00050296
                     18,                 1.2128,                0.79343,                 1.0085,                0.62067,                0.51212,                0.54312,                0.33806,                 1.3068,                0.95427,                 1.0705,             0.00045644,             0.00045644,             0.00045644
                     19,                 1.2089,                0.79246,                 1.0065,                0.61998,                 0.5121,                0.54382,                0.33845,                 1.3071,                0.95388,                 1.0696,             0.00041094,             0.00041094,             0.00041094
                     20,                 1.2068,                0.78873,                 1.0092,                0.62688,                0.50966,                0.54378,                0.33777,                 1.3082,                0.95479,                  1.071,             0.00036697,             0.00036697,             0.00036697
                     21,                 1.2127,                0.79299,                   1.01,                0.63081,                0.50681,                0.54293,                0.33818,                 1.3071,                0.95416,                 1.0704,               0.000325,               0.000325,               0.000325
                     22,                 1.2111,                0.79017,                 1.0121,                0.61242,                0.51728,                0.54416,                0.33878,                 1.3069,                0.95355,                 1.0697,              0.0002855,              0.0002855,              0.0002855
                     23,                 1.2082,                0.79263,                 1.0086,                0.62382,                0.51232,                0.54408,                 0.3386,                  1.307,                0.95381,                 1.0703,             0.00024889,             0.00024889,             0.00024889
                     24,                 1.2025,                0.78609,                 1.0053,                0.62171,                0.50961,                 0.5437,                0.33858,                 1.3071,                0.95357,                 1.0704,             0.00021558,             0.00021558,             0.00021558
                     25,                 1.2084,                0.79063,                  1.008,                0.62373,                0.51119,                0.54392,                0.33854,                 1.3072,                0.95312,                 1.0707,             0.00018594,             0.00018594,             0.00018594
                     26,                  1.205,                0.76287,                 1.0136,                 0.6198,                0.51263,                0.54328,                0.33807,                 1.3065,                0.95398,                 1.0702,             0.00016029,             0.00016029,             0.00016029
                     27,                 1.2023,                0.76126,                 1.0118,                0.61869,                0.51026,                0.54418,                0.33876,                  1.307,                0.95252,                 1.0698,              0.0001389,              0.0001389,              0.0001389
                     28,                 1.2027,                0.76144,                 1.0135,                 0.6217,                0.51007,                0.54308,                0.33794,                 1.3062,                 0.9539,                   1.07,             0.00012202,             0.00012202,             0.00012202
                     29,                 1.2018,                0.76005,                 1.0128,                0.61912,                0.51384,                0.54388,                0.33881,                 1.3067,                0.95391,                 1.0709,             0.00010983,             0.00010983,             0.00010983
                     30,                 1.2025,                0.75925,                 1.0133,                0.61622,                 0.5144,                0.54339,                0.33833,                 1.3064,                0.95419,                 1.0709,             0.00010247,             0.00010247,             0.00010247
