class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.6927112136846575,0.5996155585707824,0.6614662715735111,0.33949232345262853
people,5125,0.6272973354790553,0.5083795141427772,0.53234786679698,0.2324906383273702
bicycle,1287,0.4497430134165726,0.29914529914529914,0.32287240654547505,0.16154708561455083
car,14064,0.8301342847929211,0.8460608646188851,0.8858005002603442,0.657192360902622
van,1975,0.6046221102790678,0.5569620253164557,0.5677887882689097,0.41548800418108095
truck,750,0.6241439372264349,0.44266666666666665,0.49292735263583853,0.3421205033275195
tricycle,1045,0.5264580372064875,0.43086799756792277,0.42392880943575295,0.2498089788368847
awning-tricycle,532,0.37072081967298054,0.20300751879699247,0.21879213134282066,0.1421027588210108
bus,251,0.7774045913449906,0.6454183266932271,0.7097829699121427,0.5433762214133622
motor,4886,0.6416255000264102,0.628793932902291,0.6430705984274787,0.32565874610095863
