                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2102,                 0.8059,                 1.0077,                0.61427,                0.50901,                0.54284,                0.33856,                 1.3073,                0.96038,                 1.0731,              0.0011224,             0.00099876,             0.00099876
                      2,                  1.211,                0.80379,                 1.0087,                0.61694,                 0.5097,                0.54028,                0.33526,                 1.3088,                0.95828,                 1.0697,             0.00099753,             0.00099753,             0.00099753
                      3,                 1.2108,                0.79953,                 1.0085,                0.61325,                0.51451,                0.54099,                 0.3366,                 1.3074,                0.95975,                 1.0709,             0.00099017,             0.00099017,             0.00099017
                      4,                 1.2071,                0.79693,                 1.0085,                0.62128,                0.51235,                0.54246,                0.33753,                 1.3085,                0.95896,                 1.0703,             0.00097798,             0.00097798,             0.00097798
                      5,                 1.2074,                0.79754,                 1.0088,                0.61707,                0.51389,                0.54216,                0.33711,                 1.3075,                0.95948,                 1.0707,              0.0009611,              0.0009611,              0.0009611
                      6,                 1.2147,                0.79997,                 1.0098,                0.62278,                0.51136,                 0.5429,                0.33765,                 1.3087,                0.95787,                 1.0718,             0.00093971,             0.00093971,             0.00093971
                      7,                 1.2138,                0.80009,                 1.0102,                0.62325,                0.50782,                0.54342,                0.33764,                 1.3084,                0.95643,                 1.0718,             0.00091406,             0.00091406,             0.00091406
                      8,                 1.2124,                0.79783,                 1.0092,                0.61828,                0.51214,                0.54349,                0.33734,                  1.308,                0.95521,                 1.0708,             0.00088442,             0.00088442,             0.00088442
                      9,                 1.2106,                0.79848,                 1.0083,                0.62369,                0.51011,                0.54188,                0.33671,                 1.3074,                0.95752,                 1.0694,             0.00085111,             0.00085111,             0.00085111
                     10,                  1.211,                0.79457,                 1.0088,                0.61726,                0.51371,                0.54034,                 0.3356,                 1.3058,                0.95896,                  1.071,              0.0008145,              0.0008145,              0.0008145
                     11,                 1.2112,                0.79657,                 1.0104,                0.62867,                0.50962,                 0.5427,                0.33732,                 1.3066,                0.95745,                 1.0708,               0.000775,               0.000775,               0.000775
                     12,                 1.2151,                0.79797,                 1.0076,                0.61964,                0.50982,                0.54307,                 0.3373,                 1.3069,                0.95617,                 1.0683,             0.00073303,             0.00073303,             0.00073303
                     13,                 1.2128,                0.79689,                 1.0092,                0.61985,                0.50659,                0.54284,                0.33797,                 1.3078,                0.95677,                 1.0687,             0.00068906,             0.00068906,             0.00068906
                     14,                 1.2122,                0.79526,                 1.0099,                0.62101,                 0.5104,                0.54341,                0.33839,                 1.3067,                0.95599,                 1.0706,             0.00064356,             0.00064356,             0.00064356
                     15,                 1.2151,                0.79772,                 1.0107,                0.62556,                0.50562,                0.54429,                0.33882,                  1.308,                 0.9535,                 1.0708,             0.00059704,             0.00059704,             0.00059704
                     16,                 1.2059,                0.79148,                 1.0072,                0.61524,                0.51434,                0.54486,                0.33924,                 1.3077,                0.95487,                 1.0707,                0.00055,                0.00055,                0.00055
                     17,                  1.213,                0.79503,                  1.009,                0.62489,                0.50807,                0.54244,                0.33742,                 1.3074,                0.95547,                 1.0701,             0.00050296,             0.00050296,             0.00050296
                     18,                  1.213,                0.79429,                 1.0085,                0.62228,                0.51067,                0.54325,                0.33844,                 1.3071,                0.95439,                 1.0708,             0.00045644,             0.00045644,             0.00045644
                     19,                  1.209,                0.79331,                 1.0064,                0.61772,                 0.5128,                0.54371,                0.33888,                 1.3068,                0.95367,                 1.0688,             0.00041094,             0.00041094,             0.00041094
                     20,                 1.2068,                0.78974,                 1.0091,                0.62091,                0.51058,                0.54332,                0.33797,                 1.3083,                 0.9546,                 1.0707,             0.00036697,             0.00036697,             0.00036697
                     21,                 1.2127,                 0.7938,                 1.0097,                0.62548,                0.50958,                0.54234,                0.33862,                 1.3071,                0.95459,                 1.0699,               0.000325,               0.000325,               0.000325
                     22,                 1.2111,                0.79112,                 1.0118,                0.61312,                0.51413,                0.54389,                 0.3389,                 1.3072,                0.95393,                 1.0694,              0.0002855,              0.0002855,              0.0002855
                     23,                 1.2081,                0.79367,                 1.0083,                0.62757,                 0.5114,                0.54425,                0.33918,                 1.3073,                0.95383,                 1.0703,             0.00024889,             0.00024889,             0.00024889
                     24,                 1.2025,                0.78701,                 1.0052,                0.62095,                 0.5112,                0.54411,                0.33924,                 1.3074,                0.95363,                 1.0703,             0.00021558,             0.00021558,             0.00021558
                     25,                 1.2085,                0.79163,                 1.0077,                0.62879,                0.50834,                0.54377,                0.33897,                 1.3075,                0.95318,                 1.0706,             0.00018594,             0.00018594,             0.00018594
                     26,                  1.205,                0.76383,                 1.0132,                   0.62,                0.51096,                 0.5431,                0.33848,                 1.3067,                0.95388,                   1.07,             0.00016029,             0.00016029,             0.00016029
                     27,                 1.2024,                0.76238,                 1.0116,                0.61374,                0.51219,                0.54394,                0.33909,                 1.3073,                0.95252,                   1.07,              0.0001389,              0.0001389,              0.0001389
                     28,                 1.2029,                0.76239,                 1.0135,                0.61662,                0.51227,                0.54266,                0.33842,                 1.3062,                0.95363,                 1.0698,             0.00012202,             0.00012202,             0.00012202
                     29,                  1.202,                0.76116,                 1.0127,                0.61677,                0.51366,                0.54394,                0.33919,                 1.3068,                0.95391,                 1.0707,             0.00010983,             0.00010983,             0.00010983
                     30,                 1.2026,                0.76029,                  1.013,                0.61844,                0.51457,                0.54351,                0.33896,                 1.3068,                0.95392,                 1.0706,             0.00010247,             0.00010247,             0.00010247
