class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.6937635370272768,0.5913613749434645,0.6552517284357801,0.33254040698044496
people,5125,0.6553896354522054,0.4894655957845018,0.5278379738505483,0.23378386499784626
bicycle,1287,0.5194656136831972,0.2828282828282828,0.31979635657195854,0.16097034823234985
car,14064,0.8056669490166263,0.8550199089874858,0.8857385531615817,0.652876409849019
van,1975,0.6044133233207895,0.5286075949367088,0.5546039325419074,0.4056046068574034
truck,750,0.5982881099096345,0.452,0.4724392062440772,0.3264319984408547
tricycle,1045,0.5083625257580653,0.42152384103763074,0.40665287288720053,0.2393408445171475
awning-tricycle,532,0.4006144334679001,0.20101548747365133,0.21414721445419024,0.13747213911732362
bus,251,0.829899991037285,0.6135458167330677,0.7030267644150966,0.5343233189885191
motor,4886,0.6442918733229749,0.6279843430618288,0.6421689944758946,0.3223792279042045
