                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2258,                0.86955,                 1.0048,                0.62445,                0.50614,                0.53638,                0.33294,                 1.3208,                    nan,                 1.0636,              0.0011224,             0.00099876,             0.00099876
                      2,                 1.2247,                0.91309,                 1.0028,                0.62574,                0.50816,                 0.5359,                0.33184,                 1.3176,                    nan,                 1.0628,             0.00099753,             0.00099753,             0.00099753
                      3,                 1.2222,                 0.9503,                 1.0019,                0.63374,                0.49791,                0.53273,                0.33023,                 1.3182,                    nan,                 1.0628,             0.00099017,             0.00099017,             0.00099017
                      4,                 1.2167,                0.98854,                  1.001,                 0.6182,                0.49867,                0.53306,                0.32932,                 1.3234,                    nan,                 1.0633,             0.00097798,             0.00097798,             0.00097798
                      5,                 1.2159,                 1.0297,                 1.0001,                 0.6171,                 0.5058,                0.53328,                 0.3303,                  1.324,                    nan,                 1.0627,              0.0009611,              0.0009611,              0.0009611
                      6,                 1.2217,                 1.0291,                 1.0007,                0.61053,                0.50661,                0.53336,                0.32918,                 1.3235,                    nan,                 1.0627,             0.00093971,             0.00093971,             0.00093971
                      7,                  1.219,                 1.0266,                 1.0005,                0.61903,                 0.5073,                0.53417,                0.32973,                 1.3212,                    nan,                 1.0631,             0.00091406,             0.00091406,             0.00091406
                      8,                 1.2163,                 1.0227,                0.99901,                0.61954,                0.50559,                0.53599,                0.33141,                 1.3199,                    nan,                 1.0621,             0.00088442,             0.00088442,             0.00088442
                      9,                 1.2138,                 1.0219,                0.99852,                 0.6258,                0.50284,                0.53453,                0.33073,                 1.3209,                    nan,                 1.0627,             0.00085111,             0.00085111,             0.00085111
                     10,                 1.2124,                 1.0168,                0.99748,                0.63385,                0.49356,                0.53351,                0.32853,                 1.3236,                    nan,                 1.0628,              0.0008145,              0.0008145,              0.0008145
                     11,                 1.2116,                 1.0168,                0.99884,                0.61119,                 0.5079,                0.53394,                0.32836,                 1.3254,                    nan,                 1.0646,               0.000775,               0.000775,               0.000775
                     12,                 1.2141,                 1.0147,                 0.9969,                0.61776,                0.50621,                0.53365,                0.32925,                 1.3215,                    nan,                 1.0636,             0.00073303,             0.00073303,             0.00073303
                     13,                 1.2111,                 1.0125,                0.99698,                0.63265,                0.50019,                0.53495,                0.33031,                 1.3231,                    nan,                 1.0633,             0.00068906,             0.00068906,             0.00068906
                     14,                 1.2098,                 1.0105,                0.99729,                0.60994,                0.51229,                0.53516,                0.33054,                 1.3197,                    nan,                 1.0623,             0.00064356,             0.00064356,             0.00064356
                     15,                 1.2118,                 1.0107,                0.99766,                0.62201,                0.50893,                0.53633,                0.33185,                 1.3185,                    nan,                 1.0622,             0.00059704,             0.00059704,             0.00059704
                     16,                  1.202,                 1.0028,                0.99449,                0.62314,                0.50568,                0.53754,                0.33276,                 1.3184,                    nan,                 1.0623,                0.00055,                0.00055,                0.00055
                     17,                 1.2075,                 1.0052,                0.99555,                0.62425,                0.50735,                0.53701,                0.33284,                 1.3186,                    nan,                 1.0622,             0.00050296,             0.00050296,             0.00050296
                     18,                  1.207,                 1.0024,                0.99512,                0.61611,                0.50665,                0.53432,                0.33038,                 1.3216,                    nan,                 1.0623,             0.00045644,             0.00045644,             0.00045644
                     19,                  1.203,                 1.0005,                0.99268,                0.62653,                 0.5047,                 0.5365,                0.33227,                 1.3232,                    nan,                 1.0619,             0.00041094,             0.00041094,             0.00041094
                     20,                 1.1993,                0.99531,                0.99551,                 0.6348,                0.49875,                0.53597,                0.33156,                 1.3209,                    nan,                 1.0645,             0.00036697,             0.00036697,             0.00036697
                     21,                 1.2042,                0.99849,                0.99523,                0.62091,                0.50596,                0.53486,                0.33229,                 1.3206,                    nan,                 1.0629,               0.000325,               0.000325,               0.000325
                     22,                 1.2016,                0.99615,                0.99675,                0.62236,                0.50321,                0.53559,                0.33256,                  1.321,                    nan,                 1.0629,              0.0002855,              0.0002855,              0.0002855
                     23,                 1.1982,                0.99751,                 0.9933,                0.62249,                0.50507,                0.53392,                0.33066,                 1.3215,                    nan,                 1.0632,             0.00024889,             0.00024889,             0.00024889
                     24,                 1.1927,                 0.9905,                0.98986,                0.61183,                0.50958,                0.53562,                0.33073,                 1.3238,                    nan,                 1.0638,             0.00021558,             0.00021558,             0.00021558
                     25,                 1.1986,                0.99208,                0.99301,                0.61881,                0.50683,                0.53593,                0.33166,                 1.3201,                    nan,                 1.0627,             0.00018594,             0.00018594,             0.00018594
                     26,                 1.2055,                0.98874,                 1.0015,                 0.6173,                0.49731,                0.52716,                0.32354,                 1.3281,                    nan,                 1.0664,             0.00016029,             0.00016029,             0.00016029
                     27,                 1.1939,                0.97759,                0.99739,                0.61923,                0.49781,                0.52825,                0.32443,                 1.3295,                    nan,                 1.0661,              0.0001389,              0.0001389,              0.0001389
                     28,                  1.191,                0.97299,                0.99836,                0.61858,                0.49984,                0.52964,                0.32562,                 1.3294,                    nan,                 1.0649,             0.00012202,             0.00012202,             0.00012202
                     29,                 1.1887,                0.97151,                0.99684,                0.61686,                0.49869,                0.53009,                0.32595,                 1.3295,                    nan,                 1.0657,             0.00010983,             0.00010983,             0.00010983
                     30,                 1.1863,                0.96561,                0.99645,                0.62483,                0.49774,                0.53073,                0.32743,                 1.3249,                    nan,                 1.0642,             0.00010247,             0.00010247,             0.00010247
