class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.6822509267836216,0.6090004522840343,0.6644558416393065,0.34427774269867867
people,5125,0.6257353102101392,0.5049756097560976,0.5321804049910843,0.23788424464937266
bicycle,1287,0.47900650426676145,0.317016317016317,0.3345261694872147,0.16625670499654902
car,14064,0.800180061013632,0.8636234357224118,0.8872294201156348,0.6569640230487134
van,1975,0.5876095200623601,0.5504750800640661,0.5644054234270167,0.4151299520899669
truck,750,0.6382889596203004,0.46,0.4934947826325171,0.34318580908691326
tricycle,1045,0.4890131973955883,0.4507177033492823,0.41292359477234486,0.2423944075891101
awning-tricycle,532,0.37592651590148435,0.2349624060150376,0.23737276144530003,0.15490038205369658
bus,251,0.7955806334011213,0.6215139442231076,0.704482339215605,0.534716142650182
motor,4886,0.620096156061344,0.654523127302497,0.6442311109923659,0.3264492769718922
