                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4246,                 1.5183,                  1.024,                0.43144,                0.35402,                0.34505,                0.20572,                 1.3272,                  1.095,                0.98398,               0.070037,              0.0033292,              0.0033292
                      2,                 1.3831,                 1.1822,                 0.9909,                0.47892,                0.38223,                0.37618,                0.22537,                 1.3093,                 1.0688,                0.98162,               0.040037,              0.0066621,              0.0066621
                      3,                 1.4149,                 1.1769,                0.99533,                0.45653,                0.37197,                0.36879,                  0.217,                  1.348,                 1.0953,                0.99598,               0.010035,              0.0099934,              0.0099934
                      4,                  1.422,                 1.1621,                 1.0025,                0.45942,                 0.3933,                0.37844,                0.22179,                 1.3412,                 1.0864,                0.99102,              0.0099945,              0.0099945,              0.0099945
                      5,                 1.3905,                 1.1155,                0.99127,                0.49223,                0.39313,                0.39777,                0.23731,                 1.3097,                 1.0447,                0.98204,              0.0099902,              0.0099902,              0.0099902
                      6,                 1.3819,                 1.0884,                0.98767,                0.48918,                0.39201,                0.39589,                0.23722,                 1.3086,                 1.0328,                0.98287,              0.0099847,              0.0099847,              0.0099847
                      7,                 1.4324,                 1.1586,                 1.0051,                0.48974,                0.39219,                    0.4,                0.24127,                 1.4164,                 1.1865,                 1.0401,               0.009978,               0.009978,               0.009978
                      8,                 1.5084,                 1.2578,                 1.0451,                0.49901,                0.41527,                0.42175,                0.25809,                 1.4219,                 1.1869,                 1.0578,              0.0099701,              0.0099701,              0.0099701
                      9,                 1.4913,                 1.2413,                  1.049,                0.51296,                0.42107,                 0.4269,                0.25646,                 1.4134,                 1.1772,                 1.0469,               0.009961,               0.009961,               0.009961
                     10,                 1.4806,                 1.2163,                   1.05,                0.53763,                0.42535,                 0.4388,                0.26758,                 1.3939,                 1.1503,                 1.0513,              0.0099506,              0.0099506,              0.0099506
                     11,                  1.466,                 1.2038,                 1.0526,                0.53558,                0.42035,                0.44248,                 0.2686,                 1.3869,                 1.1454,                 1.0556,              0.0099391,              0.0099391,              0.0099391
                     12,                 1.4615,                 1.1858,                 1.0498,                0.53642,                0.44054,                0.45471,                 0.2758,                  1.382,                  1.137,                 1.0521,              0.0099263,              0.0099263,              0.0099263
                     13,                 1.4485,                   1.17,                 1.0501,                 0.5474,                0.43817,                0.45322,                0.27457,                  1.382,                 1.1314,                 1.0586,              0.0099123,              0.0099123,              0.0099123
                     14,                  1.438,                 1.1506,                 1.0491,                0.54984,                0.43603,                0.45799,                0.27869,                 1.3726,                 1.1122,                 1.0578,              0.0098972,              0.0098972,              0.0098972
                     15,                 1.4355,                 1.1466,                 1.0505,                0.54571,                 0.4457,                0.45662,                0.27946,                 1.3799,                  1.121,                 1.0584,              0.0098808,              0.0098808,              0.0098808
                     16,                 1.4182,                 1.1242,                 1.0463,                0.55687,                0.44593,                0.47166,                0.28745,                 1.3685,                 1.0974,                  1.058,              0.0098632,              0.0098632,              0.0098632
                     17,                 1.4204,                 1.1174,                 1.0479,                0.55298,                0.45735,                0.47788,                0.29216,                 1.3571,                 1.0863,                 1.0558,              0.0098445,              0.0098445,              0.0098445
                     18,                 1.4181,                 1.1045,                 1.0483,                0.55366,                0.44829,                0.47375,                0.29062,                 1.3613,                 1.0902,                 1.0602,              0.0098246,              0.0098246,              0.0098246
                     19,                 1.4045,                  1.098,                 1.0443,                0.57005,                0.45343,                0.47888,                0.29304,                 1.3621,                 1.0847,                 1.0625,              0.0098035,              0.0098035,              0.0098035
                     20,                 1.3957,                 1.0844,                 1.0463,                0.56036,                0.46507,                 0.4858,                0.29754,                 1.3543,                 1.0709,                 1.0608,              0.0097812,              0.0097812,              0.0097812
                     21,                 1.3978,                 1.0828,                  1.047,                0.56686,                0.45899,                0.48361,                0.29787,                 1.3486,                 1.0674,                 1.0584,              0.0097577,              0.0097577,              0.0097577
                     22,                 1.3924,                 1.0723,                 1.0488,                0.56589,                0.46852,                0.49152,                 0.3019,                 1.3546,                 1.0605,                 1.0573,              0.0097331,              0.0097331,              0.0097331
                     23,                 1.3852,                 1.0654,                 1.0452,                   0.56,                0.47359,                 0.4932,                 0.3035,                 1.3429,                 1.0584,                 1.0582,              0.0097074,              0.0097074,              0.0097074
                     24,                 1.3759,                 1.0526,                 1.0417,                0.58486,                0.45874,                0.49388,                0.30348,                 1.3422,                 1.0507,                 1.0564,              0.0096804,              0.0096804,              0.0096804
                     25,                 1.3781,                  1.051,                 1.0438,                0.57383,                0.46396,                0.48707,                0.29884,                 1.3521,                 1.0619,                 1.0652,              0.0096524,              0.0096524,              0.0096524
                     26,                 1.3713,                 1.0511,                 1.0458,                0.57603,                0.46861,                0.49516,                 0.3043,                  1.344,                 1.0528,                 1.0619,              0.0096232,              0.0096232,              0.0096232
                     27,                 1.3682,                  1.039,                 1.0433,                0.57985,                0.47046,                0.49916,                0.30733,                  1.341,                 1.0447,                 1.0624,              0.0095929,              0.0095929,              0.0095929
                     28,                 1.3701,                 1.0335,                  1.045,                0.57815,                0.47882,                0.49958,                0.31002,                 1.3307,                 1.0453,                 1.0605,              0.0095614,              0.0095614,              0.0095614
                     29,                 1.3646,                  1.029,                 1.0428,                0.58774,                0.47378,                0.50139,                0.30883,                 1.3406,                 1.0418,                 1.0622,              0.0095289,              0.0095289,              0.0095289
                     30,                 1.3595,                 1.0249,                 1.0427,                0.60168,                0.47081,                0.50426,                0.30861,                 1.3377,                  1.039,                 1.0658,              0.0094952,              0.0094952,              0.0094952
                     31,                 1.3609,                 1.0194,                 1.0429,                 0.5874,                0.47416,                0.50441,                0.31175,                 1.3386,                 1.0359,                 1.0607,              0.0094605,              0.0094605,              0.0094605
                     32,                 1.3584,                 1.0166,                 1.0419,                0.59754,                0.47347,                 0.5079,                0.31186,                 1.3415,                 1.0272,                 1.0665,              0.0094246,              0.0094246,              0.0094246
                     33,                  1.348,                 1.0078,                  1.041,                 0.5885,                0.47604,                0.50587,                0.31294,                 1.3331,                 1.0277,                  1.063,              0.0093877,              0.0093877,              0.0093877
                     34,                 1.3582,                 1.0091,                 1.0432,                 0.5963,                0.47995,                0.51222,                0.31577,                 1.3305,                 1.0231,                 1.0607,              0.0093497,              0.0093497,              0.0093497
                     35,                 1.3451,                0.99741,                 1.0384,                0.59553,                0.49269,                0.51914,                0.32089,                 1.3297,                 1.0103,                 1.0625,              0.0093107,              0.0093107,              0.0093107
                     36,                 1.3458,                0.99657,                 1.0406,                0.59086,                0.48623,                0.51225,                0.31638,                 1.3255,                 1.0151,                 1.0595,              0.0092706,              0.0092706,              0.0092706
                     37,                 1.3419,                 0.9922,                 1.0418,                 0.5994,                0.48538,                 0.5177,                0.32035,                 1.3265,                 1.0174,                 1.0633,              0.0092294,              0.0092294,              0.0092294
                     38,                  1.334,                0.98351,                 1.0389,                0.60225,                  0.497,                0.52183,                0.32253,                 1.3273,                 1.0111,                 1.0627,              0.0091872,              0.0091872,              0.0091872
                     39,                 1.3304,                0.97926,                  1.038,                0.60606,                0.48541,                0.51921,                0.32086,                  1.329,                 1.0094,                 1.0641,               0.009144,               0.009144,               0.009144
                     40,                 1.3269,                0.97797,                 1.0384,                0.61456,                0.48179,                0.51895,                0.32169,                 1.3211,                 1.0015,                 1.0621,              0.0090998,              0.0090998,              0.0090998
                     41,                 1.3307,                0.96814,                 1.0373,                0.61083,                0.49166,                0.52495,                0.32538,                 1.3201,                0.99804,                 1.0615,              0.0090546,              0.0090546,              0.0090546
                     42,                 1.3259,                0.96865,                 1.0356,                0.61643,                0.48977,                0.52605,                0.32558,                 1.3167,                0.99873,                 1.0637,              0.0090084,              0.0090084,              0.0090084
                     43,                 1.3217,                0.96717,                 1.0386,                0.61168,                0.48463,                0.51922,                0.32116,                 1.3206,                0.99974,                 1.0656,              0.0089613,              0.0089613,              0.0089613
                     44,                 1.3198,                0.96095,                 1.0357,                0.60685,                0.48913,                0.52254,                0.32436,                 1.3167,                0.99536,                 1.0621,              0.0089131,              0.0089131,              0.0089131
                     45,                 1.3173,                0.95851,                 1.0359,                0.62401,                0.48886,                0.52699,                0.32782,                 1.3138,                0.99107,                 1.0614,               0.008864,               0.008864,               0.008864
                     46,                 1.3167,                0.95098,                 1.0352,                0.60197,                0.49416,                0.52144,                0.32357,                  1.317,                0.99077,                 1.0646,               0.008814,               0.008814,               0.008814
                     47,                 1.3229,                0.95373,                 1.0376,                0.61212,                0.49013,                0.52505,                0.32414,                 1.3245,                0.99416,                 1.0661,               0.008763,               0.008763,               0.008763
                     48,                 1.3189,                0.95198,                 1.0374,                0.60869,                0.49362,                0.52412,                0.32316,                 1.3229,                0.98916,                  1.065,              0.0087112,              0.0087112,              0.0087112
                     49,                 1.3105,                0.94736,                 1.0342,                0.61646,                0.49338,                0.52769,                 0.3263,                 1.3205,                0.98899,                 1.0652,              0.0086584,              0.0086584,              0.0086584
                     50,                 1.3102,                0.94113,                 1.0365,                0.62022,                0.49221,                0.53119,                0.33078,                 1.3136,                0.98893,                 1.0641,              0.0086047,              0.0086047,              0.0086047
                     51,                 1.3051,                0.93373,                 1.0355,                0.60435,                0.50531,                0.53251,                0.33118,                 1.3156,                0.98237,                 1.0658,              0.0085502,              0.0085502,              0.0085502
                     52,                  1.301,                0.93024,                 1.0329,                0.61497,                0.50193,                0.53212,                0.33172,                 1.3137,                 0.9805,                 1.0653,              0.0084948,              0.0084948,              0.0084948
                     53,                 1.3044,                0.92864,                 1.0343,                0.61045,                0.50471,                0.53199,                0.32882,                 1.3167,                0.98167,                  1.067,              0.0084385,              0.0084385,              0.0084385
                     54,                 1.3046,                0.93081,                 1.0351,                0.61117,                0.50259,                0.53244,                0.33117,                  1.311,                0.97661,                 1.0636,              0.0083814,              0.0083814,              0.0083814
                     55,                 1.2954,                0.92315,                 1.0335,                 0.6105,                0.49681,                0.53192,                0.33103,                 1.3104,                0.97925,                 1.0654,              0.0083235,              0.0083235,              0.0083235
                     56,                 1.2951,                0.92122,                 1.0337,                0.61445,                0.50382,                 0.5393,                0.33632,                 1.3084,                 0.9715,                 1.0651,              0.0082648,              0.0082648,              0.0082648
                     57,                 1.3014,                0.92264,                 1.0362,                0.61617,                0.50253,                0.53802,                0.33528,                  1.307,                0.97528,                 1.0644,              0.0082052,              0.0082052,              0.0082052
                     58,                 1.2939,                 0.9181,                 1.0322,                0.61589,                0.51049,                0.53604,                0.33304,                 1.3062,                0.97083,                 1.0638,               0.008145,               0.008145,               0.008145
                     59,                  1.292,                0.91364,                 1.0309,                0.61556,                0.50835,                0.53679,                0.33247,                 1.3066,                 0.9716,                 1.0653,              0.0080839,              0.0080839,              0.0080839
                     60,                 1.2883,                 0.9077,                 1.0325,                0.63902,                0.49742,                0.53984,                0.33476,                 1.3052,                0.96622,                 1.0657,              0.0080221,              0.0080221,              0.0080221
                     61,                 1.2854,                0.90557,                   1.03,                0.62457,                0.49765,                0.53591,                0.33271,                  1.303,                0.96764,                 1.0646,              0.0079595,              0.0079595,              0.0079595
                     62,                 1.2863,                0.90298,                 1.0315,                0.61792,                0.51135,                0.54086,                 0.3365,                 1.3047,                0.96428,                 1.0655,              0.0078963,              0.0078963,              0.0078963
                     63,                 1.2846,                0.89888,                 1.0303,                0.61181,                0.50841,                 0.5392,                0.33532,                 1.3017,                0.96761,                 1.0657,              0.0078323,              0.0078323,              0.0078323
