class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.693820333941485,0.5987984382605155,0.6581992668565787,0.3394782489766347
people,5125,0.6358464146409543,0.49834146341463414,0.5310726421144152,0.2342818215318804
bicycle,1287,0.46432967746350273,0.32261608347627946,0.3424448456632763,0.17217272699444935
car,14064,0.8003652327411601,0.8622724687144482,0.886688546813958,0.6565787974096415
van,1975,0.6303166384446393,0.5473417721518987,0.5724154334576674,0.41955188507503804
truck,750,0.6586107931317104,0.4784439279404267,0.49952363175822745,0.3472117002778443
tricycle,1045,0.5199279847943408,0.40382775119617226,0.39983831169580214,0.24030222774766602
awning-tricycle,532,0.3735681815059729,0.22556390977443608,0.23733545241029477,0.15214214538388665
bus,251,0.835369796205973,0.6064842539755823,0.7205324859549394,0.5575324725921512
motor,4886,0.6485217577398947,0.6225951698731068,0.6375915887993316,0.32381750704048506
