                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4244,                 1.5182,                 1.0241,                0.42677,                0.35514,                0.34368,                0.20571,                 1.3313,                 1.0928,                0.98442,               0.070037,              0.0033292,              0.0033292
                      2,                 1.3844,                 1.1835,                0.99125,                0.45932,                0.37261,                0.35576,                0.21119,                 1.3259,                 1.1117,                0.98373,               0.040037,              0.0066621,              0.0066621
                      3,                 1.4166,                 1.1742,                  0.996,                0.46343,                0.39071,                0.37754,                0.22335,                 1.3211,                 1.1035,                0.98932,               0.010035,              0.0099934,              0.0099934
                      4,                 1.4193,                 1.1601,                 1.0003,                0.47933,                0.38445,                0.38328,                0.22573,                 1.3502,                 1.0676,                0.99192,              0.0099945,              0.0099945,              0.0099945
                      5,                 1.3905,                 1.1141,                0.99183,                0.47877,                0.41068,                0.40662,                0.24242,                 1.3113,                 1.0256,                0.98057,              0.0099902,              0.0099902,              0.0099902
                      6,                 1.3807,                 1.0856,                0.98767,                0.49888,                0.38731,                 0.3984,                0.23852,                 1.3061,                 1.0332,                0.98325,              0.0099847,              0.0099847,              0.0099847
                      7,                 1.4144,                 1.1329,                0.99857,                0.50936,                0.38667,                0.40001,                0.24205,                 1.4041,                 1.1771,                 1.0347,               0.009978,               0.009978,               0.009978
                      8,                 1.5053,                 1.2508,                 1.0413,                0.50499,                0.41202,                0.41746,                0.25484,                 1.4148,                 1.1799,                 1.0542,              0.0099701,              0.0099701,              0.0099701
                      9,                 1.4914,                 1.2399,                 1.0479,                0.51709,                0.40525,                 0.4254,                0.26258,                 1.4018,                 1.1811,                  1.048,               0.009961,               0.009961,               0.009961
                     10,                  1.481,                 1.2164,                 1.0496,                0.52496,                0.42649,                0.43806,                0.26869,                 1.3969,                 1.1431,                 1.0503,              0.0099506,              0.0099506,              0.0099506
                     11,                 1.4665,                 1.2035,                 1.0519,                0.52944,                0.42755,                0.44495,                0.27163,                 1.3831,                 1.1435,                 1.0492,              0.0099391,              0.0099391,              0.0099391
                     12,                 1.4621,                 1.1859,                   1.05,                0.54661,                0.43115,                0.45505,                0.27708,                 1.3887,                 1.1478,                 1.0582,              0.0099263,              0.0099263,              0.0099263
                     13,                 1.4507,                 1.1692,                 1.0512,                 0.5404,                0.44443,                0.45405,                0.27795,                  1.386,                 1.1238,                 1.0574,              0.0099123,              0.0099123,              0.0099123
                     14,                 1.4381,                   1.15,                 1.0496,                0.55721,                0.43995,                0.46489,                0.28333,                 1.3711,                  1.101,                 1.0595,              0.0098972,              0.0098972,              0.0098972
                     15,                 1.4358,                 1.1471,                 1.0508,                0.54191,                0.44394,                0.45492,                0.27666,                 1.3848,                 1.1188,                 1.0589,              0.0098808,              0.0098808,              0.0098808
                     16,                 1.4188,                 1.1245,                 1.0465,                0.54557,                0.45034,                0.47041,                 0.2868,                  1.364,                 1.0968,                 1.0594,              0.0098632,              0.0098632,              0.0098632
                     17,                 1.4211,                 1.1188,                 1.0492,                0.55775,                0.45385,                0.47698,                0.29094,                  1.358,                 1.0889,                 1.0558,              0.0098445,              0.0098445,              0.0098445
                     18,                 1.4172,                 1.1065,                 1.0489,                0.54958,                0.45768,                0.47262,                0.29147,                  1.356,                 1.0933,                 1.0564,              0.0098246,              0.0098246,              0.0098246
                     19,                 1.4049,                 1.0983,                 1.0448,                 0.5631,                0.45594,                0.48148,                0.29393,                 1.3581,                 1.0827,                 1.0618,              0.0098035,              0.0098035,              0.0098035
                     20,                 1.3957,                 1.0846,                 1.0476,                0.58003,                0.45542,                 0.4836,                  0.296,                  1.354,                  1.078,                 1.0584,              0.0097812,              0.0097812,              0.0097812
                     21,                 1.3976,                  1.082,                 1.0476,                  0.566,                0.45851,                0.48282,                 0.2965,                  1.348,                 1.0614,                 1.0611,              0.0097577,              0.0097577,              0.0097577
                     22,                 1.3912,                 1.0708,                 1.0495,                0.56651,                0.46542,                0.48739,                0.29978,                 1.3489,                 1.0648,                 1.0599,              0.0097331,              0.0097331,              0.0097331
                     23,                 1.3843,                 1.0667,                 1.0452,                0.56751,                0.46863,                0.49268,                0.30369,                 1.3441,                 1.0549,                  1.056,              0.0097074,              0.0097074,              0.0097074
                     24,                 1.3747,                 1.0533,                 1.0416,                0.57203,                0.46165,                0.49288,                0.30257,                  1.343,                 1.0518,                 1.0587,              0.0096804,              0.0096804,              0.0096804
                     25,                 1.3776,                 1.0517,                 1.0443,                0.56231,                0.46544,                0.48623,                0.30013,                 1.3439,                 1.0617,                 1.0608,              0.0096524,              0.0096524,              0.0096524
                     26,                 1.3706,                 1.0479,                 1.0459,                0.56573,                0.46855,                0.48939,                 0.2998,                 1.3459,                 1.0597,                 1.0647,              0.0096232,              0.0096232,              0.0096232
                     27,                 1.3656,                 1.0383,                 1.0429,                 0.5852,                0.47336,                0.50025,                0.30728,                 1.3392,                 1.0389,                  1.062,              0.0095929,              0.0095929,              0.0095929
                     28,                 1.3685,                  1.033,                 1.0445,                0.57071,                0.47507,                0.49648,                0.30746,                 1.3286,                 1.0422,                 1.0575,              0.0095614,              0.0095614,              0.0095614
                     29,                 1.3638,                 1.0283,                 1.0434,                0.57619,                0.47377,                0.50033,                0.30696,                 1.3382,                 1.0369,                 1.0632,              0.0095289,              0.0095289,              0.0095289
                     30,                 1.3584,                 1.0236,                 1.0432,                0.58614,                0.47521,                0.50211,                0.30986,                 1.3336,                 1.0384,                 1.0626,              0.0094952,              0.0094952,              0.0094952
                     31,                 1.3587,                   1.02,                  1.044,                0.58279,                0.48583,                0.50596,                0.31158,                 1.3324,                 1.0257,                 1.0618,              0.0094605,              0.0094605,              0.0094605
                     32,                 1.3572,                 1.0152,                 1.0425,                0.58916,                0.48215,                0.51061,                0.31437,                 1.3328,                 1.0262,                 1.0627,              0.0094246,              0.0094246,              0.0094246
                     33,                 1.3473,                 1.0079,                 1.0422,                0.59595,                0.48031,                0.50863,                0.31311,                 1.3314,                 1.0239,                 1.0636,              0.0093877,              0.0093877,              0.0093877
                     34,                 1.3563,                 1.0074,                 1.0435,                0.59969,                0.47179,                 0.5091,                0.31295,                 1.3271,                 1.0183,                 1.0615,              0.0093497,              0.0093497,              0.0093497
                     35,                 1.3435,                0.99723,                 1.0398,                0.59847,                0.49411,                0.52057,                0.32139,                 1.3258,                 1.0091,                 1.0616,              0.0093107,              0.0093107,              0.0093107
                     36,                 1.3454,                0.99856,                 1.0424,                0.59429,                0.48663,                 0.5156,                0.31931,                 1.3218,                 1.0113,                 1.0606,              0.0092706,              0.0092706,              0.0092706
                     37,                 1.3406,                 0.9907,                 1.0429,                0.60853,                0.48025,                0.51648,                0.31811,                 1.3238,                 1.0075,                 1.0627,              0.0092294,              0.0092294,              0.0092294
                     38,                 1.3354,                0.98202,                 1.0415,                0.60603,                0.48814,                0.51917,                0.32236,                 1.3205,                 1.0022,                 1.0615,              0.0091872,              0.0091872,              0.0091872
                     39,                 1.3276,                 0.9792,                 1.0385,                0.59769,                0.49006,                0.52075,                0.32134,                 1.3244,                  1.004,                 1.0632,               0.009144,               0.009144,               0.009144
                     40,                 1.3268,                  0.977,                 1.0403,                0.60146,                0.49107,                0.52178,                0.32404,                 1.3155,                0.99792,                 1.0616,              0.0090998,              0.0090998,              0.0090998
                     41,                 1.3291,                0.96887,                 1.0389,                0.60381,                0.48937,                0.52113,                0.32345,                 1.3196,                 1.0008,                 1.0628,              0.0090546,              0.0090546,              0.0090546
                     42,                 1.3244,                0.96836,                 1.0366,                0.60067,                0.49575,                0.52309,                0.32254,                 1.3148,                 0.9949,                 1.0621,              0.0090084,              0.0090084,              0.0090084
                     43,                  1.321,                0.96622,                 1.0395,                0.59846,                0.48691,                0.51724,                0.32084,                 1.3156,                 1.0028,                 1.0665,              0.0089613,              0.0089613,              0.0089613
                     44,                 1.3195,                0.96123,                 1.0368,                0.60353,                0.49258,                0.52438,                0.32412,                 1.3141,                0.99143,                 1.0615,              0.0089131,              0.0089131,              0.0089131
                     45,                 1.3171,                0.95771,                 1.0364,                0.60895,                0.50075,                0.52609,                0.32552,                 1.3125,                0.99298,                 1.0629,               0.008864,               0.008864,               0.008864
                     46,                 1.3154,                0.95268,                 1.0358,                0.60865,                0.49729,                0.52779,                0.32863,                 1.3146,                0.98593,                 1.0636,               0.008814,               0.008814,               0.008814
                     47,                 1.3214,                0.95388,                 1.0393,                0.60527,                 0.4959,                0.52779,                0.32596,                 1.3176,                0.99094,                 1.0646,               0.008763,               0.008763,               0.008763
                     48,                 1.3185,                0.95236,                 1.0385,                0.62216,                0.49082,                0.52789,                0.32729,                 1.3195,                 0.9864,                 1.0647,              0.0087112,              0.0087112,              0.0087112
                     49,                 1.3099,                0.94661,                 1.0359,                0.61972,                0.49911,                0.53019,                0.32879,                 1.3149,                0.98206,                 1.0647,              0.0086584,              0.0086584,              0.0086584
                     50,                 1.3086,                0.94071,                 1.0371,                 0.6006,                0.50355,                0.53007,                0.32893,                 1.3149,                0.98612,                 1.0634,              0.0086047,              0.0086047,              0.0086047
                     51,                 1.3046,                0.93378,                 1.0359,                0.61613,                0.49977,                0.53437,                0.33146,                 1.3149,                0.97827,                 1.0632,              0.0085502,              0.0085502,              0.0085502
                     52,                 1.3002,                0.93018,                  1.034,                0.62079,                0.49714,                0.53116,                0.32922,                 1.3116,                0.97658,                  1.065,              0.0084948,              0.0084948,              0.0084948
                     53,                 1.3031,                0.92773,                 1.0353,                 0.6143,                0.50016,                0.53197,                0.33109,                 1.3122,                0.97906,                 1.0645,              0.0084385,              0.0084385,              0.0084385
                     54,                 1.3051,                0.93131,                 1.0359,                 0.6152,                0.50033,                0.53283,                0.33209,                 1.3094,                0.97638,                 1.0626,              0.0083814,              0.0083814,              0.0083814
                     55,                 1.2945,                0.92604,                 1.0339,                0.62206,                0.49922,                0.53559,                0.33341,                 1.3139,                0.97577,                 1.0662,              0.0083235,              0.0083235,              0.0083235
                     56,                 1.2936,                0.92214,                 1.0344,                0.60864,                0.50767,                0.53826,                0.33366,                 1.3121,                0.97169,                 1.0666,              0.0082648,              0.0082648,              0.0082648
                     57,                 1.2995,                0.92282,                  1.037,                0.61258,                0.50828,                0.53831,                0.33388,                 1.3071,                 0.9726,                 1.0656,              0.0082052,              0.0082052,              0.0082052
                     58,                 1.2923,                0.91742,                 1.0334,                0.62621,                0.50712,                 0.5395,                0.33501,                 1.3063,                0.96405,                 1.0646,               0.008145,               0.008145,               0.008145
                     59,                 1.2914,                0.91375,                 1.0325,                0.61156,                0.51359,                0.54009,                0.33716,                 1.3064,                0.96536,                 1.0652,              0.0080839,              0.0080839,              0.0080839
                     60,                 1.2863,                0.90885,                 1.0328,                 0.6235,                0.50932,                0.54136,                0.33591,                 1.3084,                0.96134,                 1.0674,              0.0080221,              0.0080221,              0.0080221
                     61,                 1.2856,                0.90627,                 1.0311,                0.61505,                0.51521,                 0.5387,                0.33551,                 1.3006,                0.96476,                 1.0636,              0.0079595,              0.0079595,              0.0079595
                     62,                 1.2858,                0.90394,                 1.0323,                0.62097,                 0.5097,                0.53942,                0.33623,                 1.3029,                0.96354,                 1.0637,              0.0078963,              0.0078963,              0.0078963
                     63,                 1.2833,                0.89902,                   1.03,                 0.6201,                0.51262,                0.54198,                0.33972,                  1.303,                0.96123,                 1.0648,              0.0078323,              0.0078323,              0.0078323
                     64,                 1.2835,                 0.8985,                 1.0323,                0.62189,                0.51061,                0.54121,                0.33655,                 1.3109,                 0.9655,                 1.0693,              0.0077677,              0.0077677,              0.0077677
                     65,                 1.2832,                0.89498,                 1.0326,                0.62304,                0.51387,                0.54174,                0.33818,                 1.3015,                0.95909,                 1.0645,              0.0077023,              0.0077023,              0.0077023
                     66,                 1.2791,                0.89034,                 1.0308,                0.62244,                0.51657,                0.54468,                0.33854,                 1.3088,                 0.9578,                 1.0683,              0.0076364,              0.0076364,              0.0076364
                     67,                 1.2777,                0.89156,                 1.0304,                0.63331,                0.51098,                0.54423,                0.33935,                  1.302,                0.95742,                 1.0664,              0.0075698,              0.0075698,              0.0075698
                     68,                 1.2757,                0.88988,                 1.0291,                0.61725,                0.51554,                0.54146,                0.33716,                 1.3046,                0.95808,                 1.0663,              0.0075025,              0.0075025,              0.0075025
                     69,                 1.2693,                0.88508,                 1.0282,                0.62696,                0.51284,                0.54452,                  0.339,                 1.3057,                0.95873,                 1.0687,              0.0074347,              0.0074347,              0.0074347
                     70,                 1.2752,                0.88323,                 1.0304,                 0.6194,                0.51475,                0.54193,                0.33913,                 1.3027,                0.95832,                 1.0673,              0.0073663,              0.0073663,              0.0073663
                     71,                 1.2697,                0.87556,                 1.0287,                0.62115,                0.52155,                0.54442,                0.33945,                 1.3031,                0.95624,                 1.0673,              0.0072973,              0.0072973,              0.0072973
                     72,                 1.2714,                0.87889,                 1.0278,                 0.6136,                0.51805,                0.54207,                0.33756,                  1.305,                0.95639,                 1.0692,              0.0072277,              0.0072277,              0.0072277
                     73,                  1.263,                0.87083,                 1.0255,                0.62374,                0.51535,                 0.5453,                 0.3391,                 1.3042,                0.95622,                 1.0683,              0.0071576,              0.0071576,              0.0071576
                     74,                 1.2663,                0.87057,                 1.0278,                0.63624,                0.51001,                0.54475,                0.33948,                 1.3094,                0.95845,                 1.0699,               0.007087,               0.007087,               0.007087
                     75,                 1.2708,                0.87406,                 1.0279,                0.62006,                0.51363,                0.54322,                0.33937,                 1.3051,                0.95795,                  1.069,              0.0070159,              0.0070159,              0.0070159
                     76,                 1.2603,                0.86323,                 1.0252,                0.61588,                0.51787,                0.54252,                 0.3382,                 1.2997,                 0.9557,                 1.0671,              0.0069443,              0.0069443,              0.0069443
                     77,                 1.2611,                0.86276,                 1.0264,                0.62174,                0.51329,                0.54454,                0.33936,                 1.3071,                0.95476,                 1.0702,              0.0068722,              0.0068722,              0.0068722
                     78,                 1.2572,                0.85883,                 1.0257,                0.61443,                0.51827,                0.54454,                0.33953,                  1.304,                0.95346,                 1.0691,              0.0067997,              0.0067997,              0.0067997
                     79,                 1.2611,                0.86239,                 1.0256,                0.62052,                 0.5163,                0.54331,                0.33869,                 1.3061,                0.95341,                 1.0705,              0.0067268,              0.0067268,              0.0067268
                     80,                 1.2595,                0.85747,                 1.0271,                0.61868,                0.51692,                0.54558,                0.33972,                 1.3068,                0.95258,                 1.0715,              0.0066534,              0.0066534,              0.0066534
                     81,                 1.2512,                0.85067,                 1.0224,                0.61836,                0.51643,                0.54321,                0.33967,                 1.3064,                0.95207,                  1.071,              0.0065796,              0.0065796,              0.0065796
                     82,                 1.2506,                0.85038,                 1.0226,                0.60541,                0.51565,                0.54056,                0.33752,                  1.307,                0.95297,                 1.0713,              0.0065055,              0.0065055,              0.0065055
                     83,                 1.2534,                0.84951,                 1.0252,                0.61853,                0.51608,                0.54405,                0.33941,                 1.3076,                0.95268,                 1.0724,               0.006431,               0.006431,               0.006431
                     84,                 1.2493,                0.84487,                 1.0219,                0.62009,                0.51243,                0.54311,                0.33995,                 1.3073,                 0.9536,                 1.0726,              0.0063562,              0.0063562,              0.0063562
                     85,                  1.251,                0.84491,                 1.0207,                0.62314,                0.51674,                0.54402,                 0.3396,                 1.3075,                0.95253,                 1.0727,               0.006281,               0.006281,               0.006281
                     86,                 1.2524,                0.84322,                  1.024,                 0.6357,                0.50794,                0.54541,                0.34089,                  1.305,                0.95232,                 1.0719,              0.0062056,              0.0062056,              0.0062056
                     87,                 1.2485,                0.83889,                 1.0229,                0.62469,                0.51382,                0.54398,                0.33997,                 1.3096,                 0.9544,                 1.0736,              0.0061298,              0.0061298,              0.0061298
                     88,                 1.2421,                0.83381,                 1.0224,                0.62475,                0.51568,                0.54771,                0.34235,                 1.3095,                0.95177,                 1.0726,              0.0060538,              0.0060538,              0.0060538
                     89,                 1.2434,                0.83352,                  1.022,                0.62094,                 0.5132,                0.54575,                0.34019,                 1.3079,                0.95328,                 1.0731,              0.0059775,              0.0059775,              0.0059775
                     90,                 1.2383,                0.83296,                 1.0207,                0.62227,                0.51286,                0.54574,                0.34056,                 1.3072,                0.95157,                 1.0734,               0.005901,               0.005901,               0.005901
                     91,                 1.2416,                0.83132,                   1.02,                0.62477,                0.51255,                0.54572,                 0.3402,                 1.3061,                0.95035,                 1.0727,              0.0058244,              0.0058244,              0.0058244
                     92,                 1.2395,                0.82759,                 1.0196,                0.62187,                0.51541,                0.54504,                0.34065,                 1.3069,                0.95177,                 1.0735,              0.0057475,              0.0057475,              0.0057475
                     93,                  1.239,                0.82541,                 1.0184,                0.62603,                0.51038,                0.54439,                0.34031,                 1.3048,                0.95266,                 1.0726,              0.0056704,              0.0056704,              0.0056704
                     94,                 1.2348,                0.82072,                 1.0188,                 0.6213,                0.51553,                0.54301,                0.33907,                 1.3063,                0.95249,                 1.0729,              0.0055932,              0.0055932,              0.0055932
                     95,                 1.2344,                0.82007,                 1.0203,                0.61476,                0.51893,                0.54324,                0.33872,                 1.3073,                 0.9514,                 1.0737,              0.0055158,              0.0055158,              0.0055158
                     96,                 1.2295,                0.81483,                 1.0182,                0.61845,                 0.5141,                0.54281,                 0.3385,                 1.3082,                0.95249,                 1.0748,              0.0054384,              0.0054384,              0.0054384
                     97,                 1.2313,                0.81499,                  1.018,                0.61829,                0.51836,                0.54279,                0.33858,                 1.3094,                0.95205,                 1.0749,              0.0053608,              0.0053608,              0.0053608
                     98,                 1.2226,                0.81092,                 1.0156,                0.61847,                 0.5148,                0.54253,                0.33814,                 1.3087,                0.95171,                 1.0747,              0.0052832,              0.0052832,              0.0052832
                     99,                 1.2254,                0.80909,                 1.0159,                0.61158,                0.52107,                0.54127,                0.33722,                 1.3093,                0.95183,                 1.0749,              0.0052055,              0.0052055,              0.0052055
                    100,                 1.2238,                0.80355,                 1.0161,                0.61366,                 0.5211,                0.54147,                 0.3372,                 1.3102,                0.95246,                 1.0756,              0.0051278,              0.0051278,              0.0051278
                    101,                 1.2207,                0.80214,                 1.0146,                0.62356,                0.51227,                0.54023,                0.33645,                 1.3117,                0.95402,                 1.0765,                0.00505,                0.00505,                0.00505
                    102,                  1.226,                 0.8057,                 1.0182,                0.62482,                 0.5121,                 0.5418,                0.33733,                 1.3113,                0.95266,                 1.0764,              0.0049722,              0.0049722,              0.0049722
                    103,                 1.2205,                0.80148,                 1.0148,                0.62884,                 0.5078,                0.54148,                0.33732,                 1.3114,                0.95386,                 1.0761,              0.0048945,              0.0048945,              0.0048945
                    104,                 1.2182,                 0.7968,                 1.0154,                0.62576,                0.51147,                0.54151,                0.33675,                 1.3102,                0.95247,                  1.076,              0.0048168,              0.0048168,              0.0048168
                    105,                  1.215,                0.79412,                 1.0109,                0.62473,                 0.5152,                0.54217,                0.33706,                 1.3101,                0.95178,                 1.0765,              0.0047392,              0.0047392,              0.0047392
                    106,                 1.2184,                0.79512,                 1.0138,                 0.6276,                0.51104,                0.54149,                0.33725,                  1.311,                0.95156,                 1.0769,              0.0046616,              0.0046616,              0.0046616
                    107,                 1.2156,                0.79194,                  1.013,                0.63044,                0.51182,                0.54122,                0.33683,                 1.3112,                0.95115,                 1.0771,              0.0045842,              0.0045842,              0.0045842
                    108,                 1.2113,                0.78761,                 1.0106,                0.62699,                0.51165,                0.54115,                0.33711,                 1.3115,                 0.9522,                 1.0773,              0.0045068,              0.0045068,              0.0045068
                    109,                 1.2095,                0.78691,                 1.0119,                0.62753,                0.51263,                0.54052,                0.33623,                 1.3119,                0.95286,                  1.078,              0.0044296,              0.0044296,              0.0044296
                    110,                 1.2111,                0.78462,                 1.0112,                0.63524,                0.50433,                0.54068,                0.33654,                  1.313,                0.95405,                 1.0783,              0.0043525,              0.0043525,              0.0043525
