class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.6906465604801483,0.5989371325192221,0.6600047970248148,0.3405356924705579
people,5125,0.66064282314208,0.4815609756097561,0.5337065364649949,0.23704444849018674
bicycle,1287,0.4917623010797362,0.3037325219263501,0.3315715880381274,0.16134628009642493
car,14064,0.8066965042562017,0.8545221843003413,0.8846480373256278,0.6559770541424934
van,1975,0.6340996339626823,0.5220890116775185,0.5633103563051474,0.4136946818274162
truck,750,0.6181177956965767,0.461843530816427,0.4922772006075935,0.34113402131625015
tricycle,1045,0.5252480178868426,0.4143540669856459,0.42350793750082616,0.2520473286746111
awning-tricycle,532,0.3848184156803052,0.2462406015037594,0.23132251957468725,0.15300907197580182
bus,251,0.797531408588901,0.6120465703003694,0.7135693898494607,0.5489079016142647
motor,4886,0.647243067218567,0.6187065083913221,0.6379941107051489,0.32093256488536215
