                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4237,                 1.5156,                 1.0241,                0.42368,                0.36168,                0.34228,                0.20402,                 1.3266,                 1.0951,                0.98204,               0.070037,              0.0033292,              0.0033292
                      2,                 1.3831,                 1.1838,                0.99094,                0.47946,                0.37751,                0.37268,                 0.2236,                 1.3045,                 1.0657,                0.97995,               0.040037,              0.0066621,              0.0066621
                      3,                 1.4146,                 1.1759,                0.99547,                0.47299,                0.37461,                0.37313,                0.22235,                 1.3428,                    1.1,                0.99266,               0.010035,              0.0099934,              0.0099934
                      4,                 1.4199,                 1.1624,                 1.0012,                0.45651,                0.37532,                0.36613,                0.21394,                 1.3409,                 1.0915,                0.99347,              0.0099945,              0.0099945,              0.0099945
                      5,                 1.3923,                  1.118,                 0.9924,                0.48489,                0.38749,                 0.3913,                0.23209,                 1.3156,                 1.0353,                0.98347,              0.0099902,              0.0099902,              0.0099902
                      6,                   1.38,                  1.089,                0.98724,                 0.4871,                 0.3941,                0.39213,                0.23138,                 1.3172,                 1.0495,                0.98302,              0.0099847,              0.0099847,              0.0099847
                      7,                  1.439,                 1.1627,                 1.0065,                0.51173,                0.39152,                0.40647,                0.24375,                 1.4187,                 1.1899,                 1.0409,               0.009978,               0.009978,               0.009978
                      8,                 1.5093,                 1.2561,                 1.0456,                0.51428,                0.40932,                0.41692,                0.25238,                 1.4288,                 1.1953,                 1.0548,              0.0099701,              0.0099701,              0.0099701
                      9,                 1.4913,                   1.24,                  1.048,                0.52674,                0.41703,                0.43101,                0.26154,                 1.4073,                 1.1704,                 1.0459,               0.009961,               0.009961,               0.009961
                     10,                 1.4807,                  1.217,                 1.0493,                0.52273,                0.42186,                0.43555,                0.26636,                 1.3961,                 1.1513,                 1.0481,              0.0099506,              0.0099506,              0.0099506
                     11,                 1.4677,                 1.2056,                 1.0521,                0.54259,                0.41752,                0.44046,                0.26796,                 1.3875,                 1.1501,                 1.0514,              0.0099391,              0.0099391,              0.0099391
                     12,                 1.4629,                 1.1866,                 1.0495,                0.55215,                0.43684,                0.45968,                0.27833,                 1.3836,                 1.1325,                 1.0552,              0.0099263,              0.0099263,              0.0099263
                     13,                 1.4504,                 1.1713,                 1.0498,                0.53262,                0.44951,                0.45513,                0.27698,                 1.3811,                 1.1276,                 1.0577,              0.0099123,              0.0099123,              0.0099123
                     14,                 1.4399,                 1.1518,                  1.049,                0.55362,                 0.4369,                0.45885,                0.28146,                 1.3675,                 1.1015,                 1.0549,              0.0098972,              0.0098972,              0.0098972
                     15,                 1.4358,                 1.1483,                 1.0494,                0.54622,                 0.4343,                0.45288,                0.27434,                 1.3853,                 1.1159,                 1.0601,              0.0098808,              0.0098808,              0.0098808
                     16,                 1.4186,                 1.1253,                 1.0451,                0.54272,                0.45035,                0.47034,                0.28666,                 1.3653,                 1.0984,                 1.0575,              0.0098632,              0.0098632,              0.0098632
                     17,                  1.421,                 1.1177,                 1.0469,                0.54595,                0.45872,                0.47287,                0.28959,                 1.3604,                 1.0978,                 1.0565,              0.0098445,              0.0098445,              0.0098445
                     18,                 1.4186,                 1.1098,                 1.0471,                0.55132,                0.44599,                 0.4709,                0.28921,                 1.3556,                 1.1033,                 1.0541,              0.0098246,              0.0098246,              0.0098246
                     19,                 1.4067,                 1.1015,                 1.0432,                0.56254,                0.45809,                0.47959,                0.29316,                 1.3613,                 1.0885,                 1.0595,              0.0098035,              0.0098035,              0.0098035
                     20,                 1.3971,                 1.0871,                 1.0444,                0.56431,                0.45667,                0.47953,                 0.2941,                 1.3595,                  1.082,                 1.0585,              0.0097812,              0.0097812,              0.0097812
                     21,                 1.3993,                 1.0859,                 1.0447,                0.56202,                 0.4601,                0.48158,                0.29607,                 1.3541,                 1.0734,                 1.0618,              0.0097577,              0.0097577,              0.0097577
                     22,                 1.3923,                  1.076,                 1.0468,                0.57004,                0.46281,                  0.487,                0.29822,                 1.3548,                 1.0673,                 1.0553,              0.0097331,              0.0097331,              0.0097331
                     23,                 1.3849,                 1.0695,                 1.0429,                0.56667,                0.46647,                0.49004,                0.30101,                 1.3459,                 1.0621,                 1.0563,              0.0097074,              0.0097074,              0.0097074
                     24,                 1.3761,                 1.0569,                 1.0391,                0.56412,                0.47201,                0.49265,                0.30209,                 1.3467,                 1.0569,                 1.0549,              0.0096804,              0.0096804,              0.0096804
                     25,                 1.3787,                 1.0558,                 1.0421,                0.56981,                0.47255,                0.49244,                0.30351,                 1.3469,                 1.0637,                 1.0606,              0.0096524,              0.0096524,              0.0096524
                     26,                 1.3724,                 1.0533,                  1.044,                0.57908,                0.46574,                0.49785,                0.30595,                 1.3436,                  1.058,                   1.06,              0.0096232,              0.0096232,              0.0096232
                     27,                 1.3683,                 1.0429,                 1.0409,                0.58252,                 0.4664,                 0.4978,                0.30649,                   1.34,                  1.052,                 1.0609,              0.0095929,              0.0095929,              0.0095929
                     28,                 1.3711,                 1.0405,                 1.0423,                0.56557,                0.47244,                0.49364,                0.30673,                 1.3323,                 1.0515,                 1.0566,              0.0095614,              0.0095614,              0.0095614
                     29,                 1.3651,                 1.0337,                 1.0404,                0.58634,                0.47155,                0.50107,                0.30771,                 1.3426,                 1.0445,                 1.0598,              0.0095289,              0.0095289,              0.0095289
                     30,                   1.36,                 1.0298,                 1.0403,                0.58286,                0.47271,                0.49921,                0.30753,                  1.339,                 1.0515,                 1.0621,              0.0094952,              0.0094952,              0.0094952
                     31,                 1.3615,                 1.0268,                 1.0415,                0.58519,                0.48235,                0.50681,                0.31289,                 1.3355,                 1.0375,                 1.0589,              0.0094605,              0.0094605,              0.0094605
                     32,                 1.3593,                 1.0217,                 1.0394,                0.58778,                0.48232,                0.50958,                0.31537,                   1.33,                  1.028,                 1.0612,              0.0094246,              0.0094246,              0.0094246
                     33,                 1.3491,                 1.0148,                 1.0393,                0.59701,                0.47881,                0.50934,                0.31626,                 1.3363,                 1.0321,                 1.0616,              0.0093877,              0.0093877,              0.0093877
                     34,                 1.3589,                 1.0168,                 1.0412,                0.58803,                 0.4915,                 0.5156,                 0.3189,                 1.3264,                 1.0195,                  1.057,              0.0093497,              0.0093497,              0.0093497
                     35,                 1.3458,                 1.0053,                 1.0372,                0.59385,                0.48928,                0.51949,                0.32073,                 1.3255,                 1.0189,                 1.0595,              0.0093107,              0.0093107,              0.0093107
                     36,                 1.3471,                 1.0043,                 1.0397,                0.59388,                0.48191,                0.51633,                0.31897,                  1.322,                 1.0219,                 1.0569,              0.0092706,              0.0092706,              0.0092706
                     37,                 1.3437,                0.99896,                 1.0405,                0.59853,                0.48836,                0.51969,                 0.3224,                 1.3197,                 1.0118,                 1.0594,              0.0092294,              0.0092294,              0.0092294
                     38,                 1.3363,                0.99015,                 1.0366,                0.59589,                 0.4944,                0.51804,                0.32107,                  1.323,                 1.0142,                 1.0574,              0.0091872,              0.0091872,              0.0091872
                     39,                 1.3311,                0.98759,                 1.0363,                0.60264,                0.49185,                0.51879,                0.32001,                 1.3296,                 1.0173,                 1.0615,               0.009144,               0.009144,               0.009144
                     40,                 1.3292,                 0.9857,                  1.037,                0.60201,                0.48764,                0.52006,                0.32144,                 1.3212,                 1.0073,                 1.0603,              0.0090998,              0.0090998,              0.0090998
                     41,                 1.3328,                 0.9774,                 1.0367,                0.60607,                0.49333,                0.52531,                0.32433,                 1.3256,                 1.0062,                 1.0605,              0.0090546,              0.0090546,              0.0090546
                     42,                 1.3284,                0.97763,                 1.0339,                0.60764,                 0.4915,                0.52562,                0.32488,                 1.3189,                 1.0009,                 1.0583,              0.0090084,              0.0090084,              0.0090084
                     43,                 1.3245,                0.97556,                 1.0363,                0.59655,                0.49028,                0.52003,                0.32211,                 1.3196,                 1.0064,                 1.0611,              0.0089613,              0.0089613,              0.0089613
                     44,                 1.3235,                0.97099,                 1.0335,                0.60014,                0.49426,                0.52199,                0.32205,                 1.3214,                 1.0027,                 1.0603,              0.0089131,              0.0089131,              0.0089131
                     45,                 1.3194,                0.96589,                 1.0324,                0.59828,                0.50134,                 0.5267,                0.32452,                 1.3157,                0.99481,                 1.0595,               0.008864,               0.008864,               0.008864
                     46,                 1.3192,                0.96033,                 1.0333,                0.60994,                0.49932,                0.52837,                0.32773,                 1.3165,                0.99328,                 1.0603,               0.008814,               0.008814,               0.008814
                     47,                 1.3262,                0.96312,                 1.0362,                0.61214,                0.49359,                0.52548,                0.32218,                 1.3222,                0.99917,                 1.0619,               0.008763,               0.008763,               0.008763
                     48,                 1.3218,                0.96079,                 1.0355,                0.59794,                0.49665,                0.52116,                0.32153,                 1.3239,                0.99973,                  1.063,              0.0087112,              0.0087112,              0.0087112
                     49,                 1.3135,                0.95708,                 1.0327,                0.60729,                0.49956,                0.52816,                 0.3263,                 1.3207,                0.99235,                 1.0618,              0.0086584,              0.0086584,              0.0086584
                     50,                 1.3135,                0.95123,                 1.0341,                0.61078,                0.50031,                0.53112,                0.32815,                 1.3186,                0.99387,                 1.0622,              0.0086047,              0.0086047,              0.0086047
                     51,                 1.3092,                0.94457,                 1.0334,                0.62045,                 0.4998,                 0.5333,                0.32988,                  1.319,                0.98724,                 1.0628,              0.0085502,              0.0085502,              0.0085502
                     52,                 1.3047,                0.94091,                 1.0311,                0.60708,                0.49825,                0.53039,                0.32948,                 1.3148,                0.98668,                 1.0629,              0.0084948,              0.0084948,              0.0084948
                     53,                 1.3078,                0.93831,                 1.0323,                0.59682,                 0.5101,                0.53281,                 0.3307,                 1.3181,                0.98602,                 1.0633,              0.0084385,              0.0084385,              0.0084385
                     54,                 1.3093,                0.94127,                 1.0319,                  0.606,                0.50305,                0.53208,                0.33054,                  1.313,                0.98261,                 1.0594,              0.0083814,              0.0083814,              0.0083814
                     55,                 1.2986,                0.93535,                 1.0297,                0.60524,                0.51051,                0.53742,                0.33524,                  1.314,                 0.9829,                 1.0605,              0.0083235,              0.0083235,              0.0083235
                     56,                 1.2979,                0.93107,                 1.0304,                0.60679,                0.51082,                0.53808,                0.33376,                 1.3136,                0.97971,                 1.0617,              0.0082648,              0.0082648,              0.0082648
                     57,                 1.3042,                0.93202,                 1.0321,                0.60549,                0.51108,                0.53591,                0.33235,                  1.313,                0.98254,                 1.0624,              0.0082052,              0.0082052,              0.0082052
                     58,                 1.2983,                0.92977,                 1.0308,                0.61794,                 0.5042,                0.53782,                0.33471,                  1.309,                0.97667,                 1.0615,               0.008145,               0.008145,               0.008145
                     59,                 1.2963,                0.92461,                  1.029,                0.61689,                0.50784,                0.53914,                0.33454,                 1.3108,                0.97492,                 1.0614,              0.0080839,              0.0080839,              0.0080839
                     60,                 1.2913,                0.91894,                 1.0287,                0.63504,                0.50067,                0.53895,                0.33449,                 1.3072,                0.97105,                 1.0609,              0.0080221,              0.0080221,              0.0080221
                     61,                   1.29,                0.91742,                  1.028,                0.63041,                0.50123,                0.53643,                0.33392,                 1.3075,                0.97545,                 1.0609,              0.0079595,              0.0079595,              0.0079595
                     62,                 1.2903,                0.91571,                 1.0288,                0.62224,                0.50703,                0.53984,                0.33538,                 1.3074,                 0.9739,                  1.061,              0.0078963,              0.0078963,              0.0078963
                     63,                 1.2888,                0.91129,                 1.0269,                0.61902,                0.51682,                0.54344,                0.33774,                 1.3097,                0.97117,                 1.0626,              0.0078323,              0.0078323,              0.0078323
