class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.6979216193757677,0.6049298959746721,0.6669012711139831,0.34552263633297414
people,5125,0.6540714464888132,0.4899401008558309,0.5382113310865881,0.2380111963360052
bicycle,1287,0.48951119927760656,0.3177933177933178,0.3345620820449546,0.1664342570291571
car,14064,0.809380219228819,0.8548777019340159,0.8853894260584443,0.6559895472696265
van,1975,0.6092862893685923,0.5437974683544303,0.5669026943597169,0.4155935454057131
truck,750,0.6601713725181206,0.4493333333333333,0.5007327682358026,0.34803672593211293
tricycle,1045,0.5215800922721658,0.43157894736842106,0.41754076077715785,0.2512540008724974
awning-tricycle,532,0.3982704642999773,0.24060150375939848,0.22744314190724327,0.14765235599066934
bus,251,0.8184178259149612,0.6454183266932271,0.7007072884683855,0.5287206441302771
motor,4886,0.6635655650214881,0.6191158411788784,0.6431542486192441,0.327957217349733
