                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4251,                  1.521,                 1.0244,                0.41703,                 0.3605,                0.33971,                0.20248,                 1.3324,                 1.0973,                0.98383,               0.070037,              0.0033292,              0.0033292
                      2,                 1.3822,                 1.1844,                0.99103,                0.47032,                0.37866,                0.36759,                0.21954,                 1.3037,                 1.0813,                0.97847,               0.040037,              0.0066621,              0.0066621
                      3,                 1.4153,                 1.1752,                0.99551,                0.45764,                0.36562,                0.35404,                0.20689,                 1.3564,                 1.1179,                0.99693,               0.010035,              0.0099934,              0.0099934
                      4,                 1.4208,                 1.1599,                 1.0007,                0.48943,                0.39226,                0.38993,                0.22668,                 1.3334,                 1.0479,                0.98646,              0.0099945,              0.0099945,              0.0099945
                      5,                 1.3916,                  1.119,                0.99178,                0.48433,                0.39803,                0.39856,                  0.238,                 1.3096,                 1.0372,                0.97962,              0.0099902,              0.0099902,              0.0099902
                      6,                 1.3814,                 1.0877,                0.98794,                0.48657,                0.39319,                0.39813,                0.23884,                 1.3023,                 1.0439,                  0.983,              0.0099847,              0.0099847,              0.0099847
                      7,                 1.4346,                 1.1612,                 1.0054,                0.49444,                 0.3962,                0.40201,                0.24422,                  1.414,                 1.1983,                 1.0407,               0.009978,               0.009978,               0.009978
                      8,                 1.5091,                 1.2559,                 1.0463,                0.50313,                0.41962,                0.42603,                0.26007,                 1.4205,                 1.1768,                 1.0573,              0.0099701,              0.0099701,              0.0099701
                      9,                 1.4913,                 1.2403,                 1.0496,                0.52759,                0.41329,                0.43315,                0.26193,                 1.4158,                 1.1744,                 1.0576,               0.009961,               0.009961,               0.009961
                     10,                 1.4812,                 1.2156,                 1.0509,                0.52992,                0.41693,                0.43564,                0.26759,                 1.3931,                 1.1431,                 1.0501,              0.0099506,              0.0099506,              0.0099506
                     11,                 1.4668,                 1.2037,                 1.0524,                0.53143,                0.42933,                0.44642,                0.27282,                 1.3851,                 1.1491,                 1.0527,              0.0099391,              0.0099391,              0.0099391
                     12,                 1.4615,                 1.1848,                   1.05,                0.54679,                0.43784,                0.45607,                0.27628,                   1.39,                 1.1362,                 1.0567,              0.0099263,              0.0099263,              0.0099263
                     13,                 1.4507,                   1.17,                 1.0517,                0.53819,                0.44123,                 0.4512,                0.27286,                 1.3897,                 1.1263,                 1.0621,              0.0099123,              0.0099123,              0.0099123
                     14,                 1.4387,                 1.1488,                 1.0502,                0.54312,                0.43723,                0.45524,                0.27989,                 1.3721,                 1.1108,                 1.0587,              0.0098972,              0.0098972,              0.0098972
                     15,                 1.4348,                 1.1446,                 1.0504,                0.54813,                0.43688,                0.45536,                0.27712,                 1.3776,                 1.1147,                  1.057,              0.0098808,              0.0098808,              0.0098808
