class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.7031647368311829,0.587516960651289,0.6555135447008891,0.33684512075926487
people,5125,0.6567954949622526,0.4660128709171615,0.519870644170136,0.23033798214823986
bicycle,1287,0.4750028775109364,0.29456078075917624,0.3298700844099976,0.16417150039215508
car,14064,0.804896143576234,0.8572241183162684,0.8849587470517195,0.655045900262291
van,1975,0.6254085079265812,0.5372151898734178,0.5636514684373587,0.4159629550548932
truck,750,0.6001676625141666,0.448,0.4748059675119889,0.3310187759383373
tricycle,1045,0.50904982142053,0.4277511961722488,0.41579132140384445,0.2510663322361883
awning-tricycle,532,0.37544406028228405,0.231203007518797,0.2291214738565347,0.14541148871281367
bus,251,0.8119845222406004,0.6022135062689314,0.7013313569710422,0.5357529813735583
motor,4886,0.6466535083287234,0.6209578387228817,0.631051345276611,0.3187592683111761
