                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4239,                 1.5152,                 1.0244,                0.43057,                0.35253,                 0.3422,                0.20447,                 1.3326,                 1.0898,                0.98283,               0.070037,              0.0033292,              0.0033292
                      2,                 1.3835,                 1.1822,                0.99086,                0.47102,                0.37396,                0.36718,                0.21812,                 1.3152,                 1.0844,                0.98135,               0.040037,              0.0066621,              0.0066621
                      3,                 1.4145,                 1.1742,                0.99584,                0.45209,                0.37794,                0.37019,                 0.2197,                 1.3324,                 1.1081,                 0.9901,               0.010035,              0.0099934,              0.0099934
                      4,                 1.4199,                 1.1593,                 1.0023,                  0.478,                0.38212,                0.38244,                0.22308,                 1.3481,                 1.0671,                0.99245,              0.0099945,              0.0099945,              0.0099945
                      5,                 1.3898,                  1.119,                0.99097,                0.47234,                0.40523,                0.40027,                 0.2395,                 1.3151,                  1.034,                0.98016,              0.0099902,              0.0099902,              0.0099902
                      6,                 1.3811,                 1.0872,                0.98815,                 0.4807,                 0.3966,                0.39543,                0.23735,                 1.2973,                 1.0292,                0.98152,              0.0099847,              0.0099847,              0.0099847
                      7,                 1.4357,                 1.1611,                 1.0058,                0.49188,                0.40669,                0.41176,                0.24892,                 1.4104,                 1.1717,                 1.0332,               0.009978,               0.009978,               0.009978
                      8,                 1.5097,                 1.2581,                 1.0457,                0.51548,                0.40644,                0.41316,                0.25044,                 1.4333,                 1.1921,                 1.0641,              0.0099701,              0.0099701,              0.0099701
                      9,                 1.4917,                 1.2421,                 1.0487,                0.51895,                0.42101,                0.43008,                0.26063,                 1.4166,                 1.1709,                 1.0567,               0.009961,               0.009961,               0.009961
                     10,                 1.4805,                 1.2171,                 1.0493,                0.51171,                 0.4241,                0.42871,                0.26374,                  1.391,                 1.1556,                 1.0495,              0.0099506,              0.0099506,              0.0099506
                     11,                 1.4681,                 1.2053,                 1.0516,                0.53416,                0.42747,                0.44412,                0.27108,                 1.3879,                  1.145,                 1.0499,              0.0099391,              0.0099391,              0.0099391
                     12,                 1.4629,                 1.1869,                 1.0489,                0.54348,                0.43139,                0.45338,                0.27439,                 1.3864,                 1.1394,                 1.0561,              0.0099263,              0.0099263,              0.0099263
                     13,                 1.4503,                 1.1721,                   1.05,                0.54148,                0.43847,                0.45461,                0.27763,                  1.379,                  1.126,                 1.0543,              0.0099123,              0.0099123,              0.0099123
                     14,                 1.4392,                 1.1509,                 1.0486,                0.55606,                 0.4384,                0.46325,                0.28357,                  1.369,                 1.1098,                 1.0558,              0.0098972,              0.0098972,              0.0098972
                     15,                  1.436,                 1.1476,                 1.0491,                0.53402,                0.45386,                0.45931,                0.28007,                 1.3834,                 1.1147,                 1.0554,              0.0098808,              0.0098808,              0.0098808
