class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.6988015319034813,0.5868381507811544,0.6571501856226403,0.33570434534889826
people,5125,0.6506002163212121,0.49697560975609756,0.5326204571771377,0.23635440727416515
bicycle,1287,0.4500469668465634,0.3185703185703186,0.3191479197524546,0.1610259225573288
car,14064,0.808973536848663,0.8578757117711783,0.8872449029141151,0.6566906160063861
van,1975,0.5885005850715724,0.5372151898734178,0.5611023674940024,0.409429051810937
truck,750,0.6042344735205992,0.45866666666666667,0.48072096877950243,0.3318351968678379
tricycle,1045,0.5212776042057516,0.42826357095410084,0.41260929931650614,0.24646071508896356
awning-tricycle,532,0.3919784735341716,0.2199248120300752,0.2188592225319792,0.14133530239786485
bus,251,0.7928431693520207,0.6374501992031872,0.7141160585948847,0.5402083630977371
motor,4886,0.6534234359825293,0.6227956687597032,0.6408838477438352,0.3231882437652491
