                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4422,                 1.5707,                 1.0386,                 0.4279,                0.35215,                0.34515,                0.20526,                 1.3309,                 1.0938,                0.98026,               0.070037,              0.0033292,              0.0033292
                      2,                 1.3828,                 1.1826,                0.98664,                0.48703,                0.37385,                0.36773,                0.21885,                 1.3167,                 1.1059,                0.97602,               0.040037,              0.0066621,              0.0066621
                      3,                 1.4137,                 1.1785,                0.99155,                0.46688,                0.36603,                0.36972,                0.21863,                  1.331,                 1.0967,                 0.9827,               0.010035,              0.0099934,              0.0099934
                      4,                 1.4178,                 1.1637,                0.99852,                0.47949,                0.38726,                0.38535,                0.22281,                 1.3466,                 1.0591,                0.98746,              0.0099945,              0.0099945,              0.0099945
                      5,                 1.3916,                  1.116,                0.99029,                0.50428,                0.38837,                0.39378,                0.23628,                  1.321,                 1.0381,                0.98546,              0.0099902,              0.0099902,              0.0099902
                      6,                  1.381,                 1.0842,                  0.986,                0.49456,                0.39826,                0.40141,                0.23902,                 1.2993,                 1.0227,                0.97783,              0.0099847,              0.0099847,              0.0099847
                      7,                 1.3657,                 1.0677,                0.98146,                0.51623,                0.40797,                0.41649,                0.24702,                 1.2891,                 1.0074,                0.97345,               0.009978,               0.009978,               0.009978
                      8,                 1.3891,                 1.0982,                0.98933,                0.48911,                0.39412,                0.40402,                0.24524,                 1.3765,                 1.1576,                 1.0199,              0.0099701,              0.0099701,              0.0099701
                      9,                 1.4886,                 1.2292,                 1.0323,                0.53544,                 0.4105,                0.42751,                0.26023,                 1.4112,                  1.168,                 1.0399,               0.009961,               0.009961,               0.009961
                     10,                 1.4865,                 1.2229,                 1.0426,                0.52759,                0.41565,                0.42985,                0.26322,                 1.4026,                 1.1625,                 1.0439,              0.0099506,              0.0099506,              0.0099506
                     11,                 1.4715,                 1.2103,                 1.0468,                0.52925,                0.42107,                0.44236,                0.27042,                 1.3881,                 1.1435,                 1.0445,              0.0099391,              0.0099391,              0.0099391
                     12,                 1.4663,                 1.1916,                 1.0452,                0.54606,                0.42711,                0.44745,                0.27215,                 1.3906,                 1.1429,                 1.0483,              0.0099263,              0.0099263,              0.0099263
                     13,                 1.4525,                 1.1751,                 1.0464,                0.54386,                0.43736,                0.45039,                0.27324,                 1.3896,                 1.1279,                 1.0554,              0.0099123,              0.0099123,              0.0099123
                     14,                 1.4415,                 1.1555,                 1.0458,                 0.5428,                0.43808,                0.45657,                0.28036,                 1.3743,                 1.1173,                 1.0536,              0.0098972,              0.0098972,              0.0098972
                     15,                 1.4387,                 1.1524,                 1.0479,                0.54926,                 0.4365,                0.45219,                0.27451,                  1.392,                 1.1202,                 1.0577,              0.0098808,              0.0098808,              0.0098808
                     16,                 1.4215,                 1.1285,                 1.0439,                0.55956,                0.44353,                 0.4661,                0.28438,                 1.3738,                 1.0992,                 1.0566,              0.0098632,              0.0098632,              0.0098632
