class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.7096870718323248,0.5999547715965626,0.6677368975686915,0.34334174772768644
people,5125,0.6471293696754107,0.5034146341463415,0.5425350566484789,0.23891194793786438
bicycle,1287,0.4934899699443417,0.31340965930885073,0.34448453972171555,0.17398227597374324
car,14064,0.8055942937650109,0.8578640500568828,0.8861481156046755,0.6563803886582661
van,1975,0.6214459904387409,0.5458227848101266,0.5690821381089136,0.41964042719497885
truck,750,0.6308631380240969,0.44890374328727234,0.4901594796796909,0.3394679392904868
tricycle,1045,0.5402646894764114,0.430622009569378,0.4235800418638752,0.2507905161526453
awning-tricycle,532,0.36781624176261307,0.22932330827067668,0.23357328762809507,0.15328634690465381
bus,251,0.8215666193167437,0.605351650554383,0.700282701389304,0.5354020405314954
motor,4886,0.6508495386037976,0.6334424887433483,0.6444172391344284,0.32443742764014105
