class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.6855599851432492,0.6025042612520273,0.6603832380506718,0.3414925281418125
people,5125,0.6526453909569032,0.4839319287366325,0.5306939073804539,0.2347037386513576
bicycle,1287,0.5003189977944983,0.3076923076923077,0.33015812996304905,0.1636398109105799
car,14064,0.8049723266275929,0.8580062571103527,0.8865774649848813,0.6564375928905827
van,1975,0.597134772026087,0.5561138770330837,0.5659093858648054,0.4168014615445193
truck,750,0.6068255237472495,0.4573333333333333,0.4867026455083345,0.33841939488575157
tricycle,1045,0.5069515513832336,0.4200956937799043,0.40665271636992073,0.2445851400096414
awning-tricycle,532,0.37099551081523063,0.2199248120300752,0.21668436532564392,0.1401485076058077
bus,251,0.7940872844078914,0.6145739013098145,0.698590003338885,0.5446487443020909
motor,4886,0.6449911750571493,0.6242325010233319,0.6382761564832551,0.32452496710596057
