                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4213,                 1.5156,                 1.0231,                0.39899,                0.34406,                0.32417,                0.19159,                 1.3477,                 1.1224,                0.99288,               0.070037,              0.0033292,              0.0033292
                      2,                 1.3805,                 1.1809,                0.99046,                0.45724,                0.37869,                0.36962,                0.22043,                 1.3144,                 1.0798,                0.98154,               0.040037,              0.0066621,              0.0066621
                      3,                 1.4146,                 1.1735,                0.99527,                0.45454,                0.36578,                0.35769,                0.21166,                 1.3547,                 1.1059,                0.99896,               0.010035,              0.0099934,              0.0099934
                      4,                 1.4157,                 1.1627,                0.99981,                0.48002,                0.37722,                0.38057,                0.22422,                 1.3228,                 1.0658,                0.98631,              0.0099945,              0.0099945,              0.0099945
                      5,                   1.39,                 1.1173,                0.99185,                0.47714,                  0.399,                0.39533,                 0.2336,                 1.3168,                 1.0424,                0.98156,              0.0099902,              0.0099902,              0.0099902
                      6,                 1.3795,                 1.0825,                0.98735,                0.47435,                  0.389,                0.39246,                0.23339,                 1.3105,                 1.0367,                0.98275,              0.0099847,              0.0099847,              0.0099847
                      7,                 1.3935,                 1.1056,                 0.9908,                0.49908,                0.38697,                0.38495,                0.23737,                 1.3683,                 1.1695,                 1.0078,               0.009978,               0.009978,               0.009978
                      8,                 1.4964,                 1.2384,                 1.0354,                0.51508,                  0.398,                0.41627,                0.25312,                 1.4185,                   1.19,                 1.0507,              0.0099701,              0.0099701,              0.0099701
                      9,                 1.4904,                 1.2403,                 1.0467,                 0.5102,                0.41776,                0.42609,                 0.2573,                 1.4141,                 1.1748,                 1.0527,               0.009961,               0.009961,               0.009961
                     10,                 1.4791,                  1.213,                 1.0483,                0.52855,                0.42877,                0.44132,                0.27177,                 1.3895,                 1.1405,                 1.0461,              0.0099506,              0.0099506,              0.0099506
                     11,                  1.465,                 1.2006,                 1.0502,                0.54982,                 0.4253,                0.44952,                0.27457,                 1.3846,                 1.1355,                 1.0458,              0.0099391,              0.0099391,              0.0099391
                     12,                 1.4604,                 1.1807,                 1.0476,                0.54301,                0.43394,                0.45198,                0.27565,                 1.3808,                 1.1348,                 1.0552,              0.0099263,              0.0099263,              0.0099263
                     13,                 1.4478,                 1.1654,                 1.0482,                0.54694,                0.44267,                0.45754,                0.27737,                 1.3881,                 1.1202,                 1.0597,              0.0099123,              0.0099123,              0.0099123
                     14,                 1.4363,                 1.1471,                 1.0473,                0.55313,                0.43426,                0.45582,                0.27995,                 1.3732,                 1.1164,                 1.0606,              0.0098972,              0.0098972,              0.0098972
                     15,                 1.4328,                 1.1439,                 1.0473,                0.52586,                0.44946,                0.45772,                0.27837,                 1.3887,                 1.1139,                 1.0577,              0.0098808,              0.0098808,              0.0098808
