class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.685091677898018,0.6016892817667117,0.661432581167576,0.34166475368939164
people,5125,0.6541109338530245,0.47609756097560973,0.5319798408763691,0.2376131836567784
bicycle,1287,0.47799590419911914,0.29603729603729606,0.3249217233410687,0.1594105134009539
car,14064,0.8092226528315493,0.8593572241183163,0.8869485513415776,0.656851265031935
van,1975,0.6140279222141126,0.549873417721519,0.565367909202813,0.41379353943546116
truck,750,0.598598592782792,0.44266666666666665,0.48974400670510265,0.341595868200964
tricycle,1045,0.4999285337685574,0.4257157253976029,0.416695395286298,0.252750307354511
awning-tricycle,532,0.3898709837198902,0.24262731838519108,0.23524317093557198,0.15422950564614935
bus,251,0.7800988767791918,0.6374501992031872,0.690529853446981,0.5316615654166873
motor,4886,0.6546778241535343,0.622799836266885,0.6396651645703303,0.3187028936039308
