                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4244,                 1.5162,                 1.0246,                0.41468,                0.36389,                0.34142,                0.20388,                 1.3279,                 1.0976,                0.98322,               0.070037,              0.0033292,              0.0033292
                      2,                 1.3832,                 1.1828,                0.99108,                0.46342,                0.37085,                0.35701,                 0.2113,                 1.3418,                 1.1127,                0.98659,               0.040037,              0.0066621,              0.0066621
                      3,                 1.4166,                 1.1778,                0.99638,                0.46436,                0.37946,                0.36564,                0.21299,                  1.345,                 1.0978,                0.99666,               0.010035,              0.0099934,              0.0099934
                      4,                 1.4218,                 1.1613,                 1.0016,                0.47782,                 0.3826,                0.37718,                0.21811,                 1.3726,                 1.0722,                0.99569,              0.0099945,              0.0099945,              0.0099945
                      5,                 1.3921,                 1.1177,                0.99189,                0.49307,                0.39966,                 0.3994,                 0.2382,                 1.3125,                  1.036,                0.98205,              0.0099902,              0.0099902,              0.0099902
                      6,                 1.3821,                 1.0876,                0.98795,                0.47764,                0.39014,                0.38961,                0.23366,                 1.3175,                 1.0424,                0.99048,              0.0099847,              0.0099847,              0.0099847
                      7,                 1.4414,                 1.1684,                 1.0083,                0.49878,                0.39328,                0.39753,                 0.2372,                 1.4253,                 1.2103,                 1.0417,               0.009978,               0.009978,               0.009978
                      8,                 1.5082,                 1.2604,                 1.0454,                0.50798,                0.40319,                0.41916,                0.25483,                 1.4216,                 1.1886,                 1.0555,              0.0099701,              0.0099701,              0.0099701
                      9,                 1.4927,                 1.2434,                 1.0493,                 0.5186,                0.42215,                0.42875,                0.25826,                 1.4148,                 1.1714,                 1.0515,               0.009961,               0.009961,               0.009961
                     10,                 1.4806,                  1.217,                 1.0501,                0.51027,                 0.4266,                 0.4288,                0.26215,                 1.3991,                 1.1627,                 1.0531,              0.0099506,              0.0099506,              0.0099506
                     11,                 1.4675,                 1.2052,                  1.052,                0.53251,                0.42326,                 0.4406,                0.26856,                 1.3856,                 1.1501,                 1.0514,              0.0099391,              0.0099391,              0.0099391
                     12,                 1.4618,                 1.1871,                 1.0486,                0.54609,                0.43081,                0.45397,                0.27199,                 1.3856,                 1.1401,                 1.0554,              0.0099263,              0.0099263,              0.0099263
                     13,                 1.4504,                 1.1738,                 1.0495,                 0.5467,                0.44001,                0.45222,                0.27561,                 1.3831,                 1.1293,                 1.0579,              0.0099123,              0.0099123,              0.0099123
                     14,                 1.4391,                 1.1533,                 1.0486,                0.55718,                0.44231,                 0.4654,                0.28574,                 1.3673,                 1.1065,                  1.056,              0.0098972,              0.0098972,              0.0098972
                     15,                 1.4338,                 1.1502,                 1.0485,                0.53415,                0.45119,                0.45613,                 0.2764,                 1.3917,                 1.1201,                 1.0583,              0.0098808,              0.0098808,              0.0098808
                     16,                 1.4189,                 1.1263,                 1.0452,                0.55047,                0.44541,                0.46843,                0.28496,                 1.3656,                  1.094,                 1.0571,              0.0098632,              0.0098632,              0.0098632
                     17,                 1.4213,                   1.12,                 1.0477,                0.55913,                0.45124,                0.47528,                0.28902,                 1.3639,                  1.093,                 1.0557,              0.0098445,              0.0098445,              0.0098445
                     18,                  1.418,                 1.1082,                  1.047,                0.54354,                0.45633,                0.47479,                0.29297,                 1.3543,                  1.094,                 1.0542,              0.0098246,              0.0098246,              0.0098246
                     19,                 1.4046,                 1.1004,                 1.0432,                0.57628,                0.46074,                0.48487,                  0.294,                 1.3612,                 1.0874,                 1.0597,              0.0098035,              0.0098035,              0.0098035
                     20,                 1.3964,                 1.0881,                 1.0446,                 0.5668,                0.45805,                0.48137,                0.29428,                 1.3522,                 1.0814,                 1.0547,              0.0097812,              0.0097812,              0.0097812
                     21,                 1.3976,                 1.0849,                 1.0445,                0.56837,                 0.4582,                0.48421,                0.29776,                  1.352,                 1.0663,                 1.0558,              0.0097577,              0.0097577,              0.0097577
                     22,                 1.3923,                  1.077,                 1.0464,                0.56098,                0.46177,                0.48571,                0.29808,                 1.3553,                  1.067,                 1.0551,              0.0097331,              0.0097331,              0.0097331
                     23,                  1.385,                 1.0709,                 1.0426,                0.55973,                0.46663,                0.48991,                0.30071,                 1.3456,                 1.0661,                 1.0558,              0.0097074,              0.0097074,              0.0097074
                     24,                 1.3753,                 1.0574,                 1.0385,                0.57464,                0.46664,                 0.4926,                 0.3027,                 1.3495,                 1.0555,                 1.0544,              0.0096804,              0.0096804,              0.0096804
                     25,                 1.3774,                 1.0558,                  1.041,                0.57288,                0.46647,                0.49114,                0.30264,                 1.3474,                 1.0609,                 1.0604,              0.0096524,              0.0096524,              0.0096524
                     26,                 1.3717,                 1.0518,                 1.0429,                0.55484,                0.47517,                0.49188,                0.30245,                 1.3425,                 1.0574,                 1.0584,              0.0096232,              0.0096232,              0.0096232
                     27,                 1.3682,                  1.042,                 1.0407,                0.58124,                0.47289,                0.49722,                0.30473,                 1.3411,                 1.0473,                 1.0602,              0.0095929,              0.0095929,              0.0095929
                     28,                 1.3701,                  1.039,                 1.0418,                0.56562,                 0.4765,                0.49663,                0.30826,                 1.3314,                 1.0512,                 1.0557,              0.0095614,              0.0095614,              0.0095614
                     29,                 1.3659,                 1.0346,                  1.041,                0.58408,                0.48115,                0.50389,                0.31107,                 1.3437,                   1.04,                  1.061,              0.0095289,              0.0095289,              0.0095289
                     30,                 1.3604,                 1.0304,                 1.0406,                0.58211,                0.48013,                0.50252,                0.30936,                 1.3314,                 1.0434,                 1.0601,              0.0094952,              0.0094952,              0.0094952
                     31,                 1.3603,                 1.0244,                 1.0409,                0.59463,                0.47729,                 0.5033,                0.31154,                 1.3371,                 1.0392,                 1.0569,              0.0094605,              0.0094605,              0.0094605
                     32,                 1.3595,                 1.0216,                 1.0398,                0.60062,                0.47013,                0.50634,                0.31057,                 1.3379,                 1.0317,                 1.0617,              0.0094246,              0.0094246,              0.0094246
                     33,                 1.3494,                 1.0143,                 1.0392,                0.58707,                 0.4799,                0.50682,                  0.313,                 1.3353,                 1.0346,                 1.0615,              0.0093877,              0.0093877,              0.0093877
                     34,                 1.3586,                 1.0154,                 1.0414,                0.59169,                0.47579,                0.50953,                0.31521,                 1.3296,                 1.0265,                 1.0597,              0.0093497,              0.0093497,              0.0093497
                     35,                 1.3457,                 1.0042,                 1.0369,                0.59969,                0.48559,                0.51769,                0.31881,                 1.3291,                 1.0175,                  1.061,              0.0093107,              0.0093107,              0.0093107
                     36,                 1.3459,                 1.0036,                 1.0386,                0.59239,                0.48969,                0.51629,                0.31925,                 1.3247,                 1.0157,                 1.0582,              0.0092706,              0.0092706,              0.0092706
                     37,                 1.3424,                 0.9989,                 1.0392,                0.59083,                0.48266,                0.51089,                0.31617,                 1.3236,                 1.0209,                 1.0603,              0.0092294,              0.0092294,              0.0092294
                     38,                 1.3346,                0.98762,                 1.0363,                0.59806,                0.48907,                0.51838,                0.32105,                 1.3216,                 1.0111,                 1.0569,              0.0091872,              0.0091872,              0.0091872
                     39,                 1.3309,                0.98577,                 1.0357,                  0.588,                0.49064,                0.51464,                0.31778,                 1.3291,                  1.017,                 1.0612,               0.009144,               0.009144,               0.009144
                     40,                 1.3279,                0.98263,                  1.037,                0.59848,                0.49149,                0.51741,                0.32037,                 1.3214,                 1.0109,                 1.0619,              0.0090998,              0.0090998,              0.0090998
                     41,                 1.3309,                0.97538,                 1.0352,                0.60758,                0.48509,                0.52183,                0.32242,                 1.3193,                 1.0038,                 1.0587,              0.0090546,              0.0090546,              0.0090546
                     42,                 1.3266,                0.97548,                 1.0334,                 0.5989,                0.49115,                0.52352,                0.32296,                 1.3162,                 1.0032,                 1.0582,              0.0090084,              0.0090084,              0.0090084
                     43,                 1.3236,                0.97404,                 1.0359,                0.60429,                0.48532,                0.52091,                0.32204,                 1.3209,                  1.004,                 1.0625,              0.0089613,              0.0089613,              0.0089613
                     44,                 1.3203,                0.96754,                 1.0333,                0.60213,                0.49236,                0.52212,                0.32267,                  1.318,                0.99812,                  1.058,              0.0089131,              0.0089131,              0.0089131
                     45,                 1.3181,                0.96453,                 1.0321,                 0.6038,                0.50545,                0.52753,                0.32695,                 1.3167,                0.99689,                 1.0603,               0.008864,               0.008864,               0.008864
                     46,                 1.3182,                0.95944,                 1.0321,                0.59042,                0.50167,                0.52422,                0.32618,                 1.3163,                0.98961,                 1.0583,               0.008814,               0.008814,               0.008814
                     47,                 1.3237,                0.96096,                 1.0353,                0.60974,                0.49223,                0.52469,                0.32364,                 1.3222,                 0.9949,                 1.0595,               0.008763,               0.008763,               0.008763
                     48,                 1.3199,                0.95808,                  1.035,                 0.6066,                0.48571,                0.52406,                0.32444,                 1.3196,                0.99685,                 1.0608,              0.0087112,              0.0087112,              0.0087112
                     49,                 1.3111,                0.95431,                 1.0322,                0.61369,                0.49159,                0.52818,                0.32626,                 1.3204,                0.99169,                 1.0617,              0.0086584,              0.0086584,              0.0086584
                     50,                 1.3112,                0.94875,                 1.0343,                0.60176,                0.49511,                0.52984,                0.32834,                   1.32,                0.99199,                 1.0604,              0.0086047,              0.0086047,              0.0086047
                     51,                 1.3073,                 0.9427,                 1.0322,                0.59821,                0.50958,                0.53425,                0.33043,                 1.3199,                0.98427,                 1.0601,              0.0085502,              0.0085502,              0.0085502
                     52,                 1.3026,                0.93799,                 1.0299,                0.61182,                 0.4997,                0.53279,                0.33082,                 1.3143,                0.98059,                 1.0607,              0.0084948,              0.0084948,              0.0084948
                     53,                 1.3054,                0.93558,                 1.0321,                0.61642,                0.49472,                0.53234,                0.32982,                 1.3203,                0.98754,                 1.0622,              0.0084385,              0.0084385,              0.0084385
                     54,                 1.3063,                0.93777,                 1.0315,                0.61479,                0.49419,                0.53272,                0.32892,                 1.3154,                0.98298,                   1.06,              0.0083814,              0.0083814,              0.0083814
                     55,                 1.2968,                0.93247,                 1.0298,                0.61233,                0.49922,                0.53373,                0.33202,                 1.3149,                 0.9822,                 1.0618,              0.0083235,              0.0083235,              0.0083235
                     56,                 1.2957,                0.92857,                 1.0308,                0.61673,                0.50644,                0.53752,                0.33293,                 1.3136,                0.97608,                 1.0636,              0.0082648,              0.0082648,              0.0082648
                     57,                 1.3024,                0.92962,                 1.0326,                0.60346,                0.50202,                0.53505,                0.33212,                 1.3117,                0.97971,                 1.0609,              0.0082052,              0.0082052,              0.0082052
                     58,                 1.2957,                0.92574,                 1.0299,                0.60684,                 0.5025,                0.53352,                0.33036,                 1.3126,                0.97721,                 1.0627,               0.008145,               0.008145,               0.008145
                     59,                 1.2934,                0.92124,                 1.0284,                 0.6008,                0.51018,                  0.536,                0.33188,                 1.3113,                0.97315,                 1.0622,              0.0080839,              0.0080839,              0.0080839
                     60,                 1.2895,                 0.9162,                 1.0293,                0.63178,                0.49753,                0.53751,                0.33309,                 1.3117,                0.97535,                 1.0623,              0.0080221,              0.0080221,              0.0080221
                     61,                 1.2881,                0.91279,                 1.0279,                0.61566,                0.49951,                0.53397,                0.33026,                 1.3077,                  0.972,                 1.0616,              0.0079595,              0.0079595,              0.0079595
                     62,                 1.2888,                0.91129,                 1.0295,                0.62574,                0.50136,                0.53518,                0.33208,                 1.3088,                0.96855,                 1.0622,              0.0078963,              0.0078963,              0.0078963
                     63,                 1.2865,                0.90711,                 1.0265,                0.61755,                0.50674,                0.53759,                0.33427,                 1.3109,                0.97168,                 1.0623,              0.0078323,              0.0078323,              0.0078323
                     64,                 1.2867,                0.90823,                 1.0287,                0.61118,                0.50399,                0.53735,                0.33327,                 1.3147,                0.96958,                 1.0656,              0.0077677,              0.0077677,              0.0077677
