class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.7011749646495004,0.6044776119402985,0.6671206457714279,0.3443939656158071
people,5125,0.6541805899711667,0.48917073170731706,0.5290688749904979,0.23352293935575194
bicycle,1287,0.4818084980418884,0.3139083139083139,0.33053381176493213,0.16541377781105715
car,14064,0.8104636827077092,0.8570819112627986,0.8856808902266697,0.6559733754656103
van,1975,0.6089062108781003,0.5478822159778693,0.5704664797580437,0.4175873523179054
truck,750,0.5893850800482555,0.43733333333333335,0.47660231977188355,0.3301967535173729
tricycle,1045,0.5031039337041092,0.43309547490445555,0.3989952824043474,0.23813460051898275
awning-tricycle,532,0.3718380732741863,0.24033972032309753,0.209994566819761,0.1358229825872555
bus,251,0.8012343343447278,0.6263418242638301,0.7081931349840074,0.5437046563515513
motor,4886,0.6411049382063917,0.6311911584117887,0.6396832591723057,0.32580287742839537
